inner_capacity_n,outer_capacity_n,incremental_shell_n,paired_month_n,inner_top_mean,outer_top_mean,outer_minus_inner_mean,incremental_shell_mean,incremental_shell_positive_rate
5,10,5,63,0.0024260844125965912,0.0028902622674613753,0.0004641778548647846,0.00335444012232616,0.47619047619047616
10,20,10,63,0.0028902622674613753,0.002073948593202598,-0.0008163136742587784,0.0012576349189438209,0.42857142857142855
20,30,10,63,0.002073948593202598,0.004381544981763579,0.0023075963885609797,0.008996737758885539,0.38095238095238093
30,40,10,63,0.004381544981763579,0.004947558492100063,0.0005660135103364862,0.0066455990231095215,0.5238095238095238
40,50,10,63,0.004947558492100063,0.005240332010387514,0.0002927735182874486,0.006411426083537312,0.47619047619047616
