episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
all,all,all,before_episode_high,capture_any_event,1838,2493,0,0.7372643401524268
all,all,all,before_first_50pct,capture_any_event,1796,2493,0,0.7204171680705976
all,all,all,low_plus_120,capture_any_event,1912,2493,0,0.7669474528680305
all,all,all,low_plus_20,capture_any_event,1047,2493,0,0.41997593261131166
all,all,all,low_plus_30,capture_any_event,1367,2493,0,0.5483353389490574
all,all,all,low_plus_60,capture_any_event,1691,2493,0,0.6782992378660249
all,all,all,low_to_first_50pct,capture_any_event,1812,2493,0,0.7268351383874849
all,all,all,low_to_high,capture_any_event,1840,2493,0,0.7380665864420377
robustness,all,all,before_episode_high,capture_any_event,535,758,0,0.7058047493403694
robustness,all,all,before_first_50pct,capture_any_event,522,758,0,0.6886543535620053
robustness,all,all,low_plus_120,capture_any_event,555,758,0,0.7321899736147758
robustness,all,all,low_plus_20,capture_any_event,322,758,0,0.42480211081794195
robustness,all,all,low_plus_30,capture_any_event,364,758,0,0.48021108179419525
robustness,all,all,low_plus_60,capture_any_event,479,758,0,0.6319261213720316
robustness,all,all,low_to_first_50pct,capture_any_event,528,758,0,0.6965699208443272
robustness,all,all,low_to_high,capture_any_event,537,758,0,0.7084432717678101
train,all,all,before_episode_high,capture_any_event,936,1290,0,0.7255813953488373
train,all,all,before_first_50pct,capture_any_event,921,1290,0,0.713953488372093
train,all,all,low_plus_120,capture_any_event,978,1290,0,0.7581395348837209
train,all,all,low_plus_20,capture_any_event,508,1290,0,0.3937984496124031
train,all,all,low_plus_30,capture_any_event,692,1290,0,0.5364341085271318
train,all,all,low_plus_60,capture_any_event,853,1290,0,0.6612403100775194
train,all,all,low_to_first_50pct,capture_any_event,923,1290,0,0.7155038759689922
train,all,all,low_to_high,capture_any_event,936,1290,0,0.7255813953488373
validation,all,all,before_episode_high,capture_any_event,367,445,0,0.8247191011235955
validation,all,all,before_first_50pct,capture_any_event,353,445,0,0.7932584269662921
validation,all,all,low_plus_120,capture_any_event,379,445,0,0.851685393258427
validation,all,all,low_plus_20,capture_any_event,217,445,0,0.48764044943820223
validation,all,all,low_plus_30,capture_any_event,311,445,0,0.698876404494382
validation,all,all,low_plus_60,capture_any_event,359,445,0,0.8067415730337079
