episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
all,all,all,before_episode_high,bridge_positive_event,887,2493,0,0.3557962294424388
all,all,all,before_first_50pct,bridge_positive_event,865,2489,4,0.34752912816392123
all,all,all,low_plus_120,bridge_positive_event,925,2493,0,0.37103890894504615
all,all,all,low_plus_20,bridge_positive_event,386,2492,1,0.1548956661316212
all,all,all,low_plus_30,bridge_positive_event,524,2493,0,0.21018852787805856
all,all,all,low_plus_60,bridge_positive_event,751,2493,0,0.3012434817488969
all,all,all,low_to_first_50pct,bridge_positive_event,870,2489,4,0.3495379670550422
all,all,all,low_to_high,bridge_positive_event,887,2493,0,0.3557962294424388
robustness,all,all,before_episode_high,bridge_positive_event,270,758,0,0.3562005277044855
robustness,all,all,before_first_50pct,bridge_positive_event,264,757,1,0.3487450462351387
robustness,all,all,low_plus_120,bridge_positive_event,287,758,0,0.3786279683377309
robustness,all,all,low_plus_20,bridge_positive_event,104,757,1,0.13738441215323646
robustness,all,all,low_plus_30,bridge_positive_event,133,758,0,0.17546174142480211
robustness,all,all,low_plus_60,bridge_positive_event,219,758,0,0.28891820580474936
robustness,all,all,low_to_first_50pct,bridge_positive_event,264,757,1,0.3487450462351387
robustness,all,all,low_to_high,bridge_positive_event,270,758,0,0.3562005277044855
train,all,all,before_episode_high,bridge_positive_event,489,1290,0,0.37906976744186044
train,all,all,before_first_50pct,bridge_positive_event,481,1288,2,0.3734472049689441
train,all,all,low_plus_120,bridge_positive_event,505,1290,0,0.39147286821705424
train,all,all,low_plus_20,bridge_positive_event,217,1290,0,0.1682170542635659
train,all,all,low_plus_30,bridge_positive_event,304,1290,0,0.23565891472868217
train,all,all,low_plus_60,bridge_positive_event,416,1290,0,0.32248062015503876
train,all,all,low_to_first_50pct,bridge_positive_event,482,1288,2,0.37422360248447206
train,all,all,low_to_high,bridge_positive_event,489,1290,0,0.37906976744186044
validation,all,all,before_episode_high,bridge_positive_event,128,445,0,0.2876404494382023
validation,all,all,before_first_50pct,bridge_positive_event,120,444,1,0.2702702702702703
validation,all,all,low_plus_120,bridge_positive_event,133,445,0,0.298876404494382
validation,all,all,low_plus_20,bridge_positive_event,65,445,0,0.14606741573033707
validation,all,all,low_plus_30,bridge_positive_event,87,445,0,0.19550561797752808
validation,all,all,low_plus_60,bridge_positive_event,116,445,0,0.2606741573033708
validation,all,all,low_to_first_50pct,bridge_positive_event,124,444,1,0.27927927927927926
validation,all,all,low_to_high,bridge_positive_event,128,445,0,0.2876404494382023
robustness,risk_off,all,before_episode_high,bridge_positive_event,174,477,0,0.36477987421383645
robustness,risk_off,all,before_first_50pct,bridge_positive_event,170,476,1,0.35714285714285715
robustness,risk_off,all,low_plus_120,bridge_positive_event,189,477,0,0.39622641509433965
robustness,risk_off,all,low_plus_20,bridge_positive_event,74,476,1,0.15546218487394958
robustness,risk_off,all,low_plus_30,bridge_positive_event,96,477,0,0.20125786163522014
robustness,risk_off,all,low_plus_60,bridge_positive_event,164,477,0,0.3438155136268344
robustness,risk_off,all,low_to_first_50pct,bridge_positive_event,170,476,1,0.35714285714285715
robustness,risk_off,all,low_to_high,bridge_positive_event,174,477,0,0.36477987421383645
robustness,risk_on,all,before_episode_high,bridge_positive_event,70,181,0,0.3867403314917127
robustness,risk_on,all,before_first_50pct,bridge_positive_event,68,181,0,0.3756906077348066
robustness,risk_on,all,low_plus_120,bridge_positive_event,70,181,0,0.3867403314917127
robustness,risk_on,all,low_plus_20,bridge_positive_event,20,181,0,0.11049723756906077
robustness,risk_on,all,low_plus_30,bridge_positive_event,23,181,0,0.1270718232044199
robustness,risk_on,all,low_plus_60,bridge_positive_event,35,181,0,0.19337016574585636
robustness,risk_on,all,low_to_first_50pct,bridge_positive_event,68,181,0,0.3756906077348066
robustness,risk_on,all,low_to_high,bridge_positive_event,70,181,0,0.3867403314917127
robustness,transition,all,before_episode_high,bridge_positive_event,26,100,0,0.26
robustness,transition,all,before_first_50pct,bridge_positive_event,26,100,0,0.26
robustness,transition,all,low_plus_120,bridge_positive_event,28,100,0,0.28
robustness,transition,all,low_plus_20,bridge_positive_event,10,100,0,0.1
robustness,transition,all,low_plus_30,bridge_positive_event,14,100,0,0.14
robustness,transition,all,low_plus_60,bridge_positive_event,20,100,0,0.2
robustness,transition,all,low_to_first_50pct,bridge_positive_event,26,100,0,0.26
robustness,transition,all,low_to_high,bridge_positive_event,26,100,0,0.26
train,risk_off,all,before_episode_high,bridge_positive_event,317,761,0,0.41655716162943496
train,risk_off,all,before_first_50pct,bridge_positive_event,311,760,1,0.40921052631578947
train,risk_off,all,low_plus_120,bridge_positive_event,320,761,0,0.4204993429697766
train,risk_off,all,low_plus_20,bridge_positive_event,148,761,0,0.19448094612352168
train,risk_off,all,low_plus_30,bridge_positive_event,206,761,0,0.2706964520367937
train,risk_off,all,low_plus_60,bridge_positive_event,269,761,0,0.35348226018396844
train,risk_off,all,low_to_first_50pct,bridge_positive_event,311,760,1,0.40921052631578947
train,risk_off,all,low_to_high,bridge_positive_event,317,761,0,0.41655716162943496
train,risk_on,all,before_episode_high,bridge_positive_event,67,225,0,0.29777777777777775
train,risk_on,all,before_first_50pct,bridge_positive_event,67,225,0,0.29777777777777775
train,risk_on,all,low_plus_120,bridge_positive_event,75,225,0,0.3333333333333333
train,risk_on,all,low_plus_20,bridge_positive_event,25,225,0,0.1111111111111111
train,risk_on,all,low_plus_30,bridge_positive_event,36,225,0,0.16
train,risk_on,all,low_plus_60,bridge_positive_event,56,225,0,0.24888888888888888
train,risk_on,all,low_to_first_50pct,bridge_positive_event,67,225,0,0.29777777777777775
train,risk_on,all,low_to_high,bridge_positive_event,67,225,0,0.29777777777777775
train,transition,all,before_episode_high,bridge_positive_event,105,304,0,0.34539473684210525
train,transition,all,before_first_50pct,bridge_positive_event,103,303,1,0.33993399339933994
train,transition,all,low_plus_120,bridge_positive_event,110,304,0,0.3618421052631579
train,transition,all,low_plus_20,bridge_positive_event,44,304,0,0.14473684210526316
train,transition,all,low_plus_30,bridge_positive_event,62,304,0,0.20394736842105263
train,transition,all,low_plus_60,bridge_positive_event,91,304,0,0.2993421052631579
train,transition,all,low_to_first_50pct,bridge_positive_event,104,303,1,0.3432343234323432
train,transition,all,low_to_high,bridge_positive_event,105,304,0,0.34539473684210525
validation,risk_off,all,before_episode_high,bridge_positive_event,95,342,0,0.2777777777777778
validation,risk_off,all,before_first_50pct,bridge_positive_event,88,341,1,0.25806451612903225
validation,risk_off,all,low_plus_120,bridge_positive_event,98,342,0,0.28654970760233917
validation,risk_off,all,low_plus_20,bridge_positive_event,53,342,0,0.15497076023391812
validation,risk_off,all,low_plus_30,bridge_positive_event,73,342,0,0.2134502923976608
validation,risk_off,all,low_plus_60,bridge_positive_event,92,342,0,0.26900584795321636
validation,risk_off,all,low_to_first_50pct,bridge_positive_event,92,341,1,0.2697947214076246
validation,risk_off,all,low_to_high,bridge_positive_event,95,342,0,0.2777777777777778
validation,risk_on,all,before_episode_high,bridge_positive_event,5,22,0,0.22727272727272727
validation,risk_on,all,before_first_50pct,bridge_positive_event,5,22,0,0.22727272727272727
validation,risk_on,all,low_plus_120,bridge_positive_event,5,22,0,0.22727272727272727
validation,risk_on,all,low_plus_20,bridge_positive_event,3,22,0,0.13636363636363635
validation,risk_on,all,low_plus_30,bridge_positive_event,3,22,0,0.13636363636363635
validation,risk_on,all,low_plus_60,bridge_positive_event,4,22,0,0.18181818181818182
validation,risk_on,all,low_to_first_50pct,bridge_positive_event,5,22,0,0.22727272727272727
validation,risk_on,all,low_to_high,bridge_positive_event,5,22,0,0.22727272727272727
validation,transition,all,before_episode_high,bridge_positive_event,28,81,0,0.345679012345679
validation,transition,all,before_first_50pct,bridge_positive_event,27,81,0,0.3333333333333333
validation,transition,all,low_plus_120,bridge_positive_event,30,81,0,0.37037037037037035
validation,transition,all,low_plus_20,bridge_positive_event,9,81,0,0.1111111111111111
validation,transition,all,low_plus_30,bridge_positive_event,11,81,0,0.13580246913580246
validation,transition,all,low_plus_60,bridge_positive_event,20,81,0,0.24691358024691357
validation,transition,all,low_to_first_50pct,bridge_positive_event,27,81,0,0.3333333333333333
validation,transition,all,low_to_high,bridge_positive_event,28,81,0,0.345679012345679
robustness,all,chinext,before_episode_high,bridge_positive_event,98,244,0,0.4016393442622951
robustness,all,chinext,before_first_50pct,bridge_positive_event,95,244,0,0.38934426229508196
robustness,all,chinext,low_plus_120,bridge_positive_event,110,244,0,0.45081967213114754
robustness,all,chinext,low_plus_20,bridge_positive_event,35,244,0,0.14344262295081966
robustness,all,chinext,low_plus_30,bridge_positive_event,42,244,0,0.1721311475409836
robustness,all,chinext,low_plus_60,bridge_positive_event,74,244,0,0.30327868852459017
robustness,all,chinext,low_to_first_50pct,bridge_positive_event,95,244,0,0.38934426229508196
robustness,all,chinext,low_to_high,bridge_positive_event,98,244,0,0.4016393442622951
robustness,all,main_board,before_episode_high,bridge_positive_event,172,514,0,0.3346303501945525
robustness,all,main_board,before_first_50pct,bridge_positive_event,169,513,1,0.32943469785575047
robustness,all,main_board,low_plus_120,bridge_positive_event,177,514,0,0.3443579766536965
robustness,all,main_board,low_plus_20,bridge_positive_event,69,513,1,0.13450292397660818
robustness,all,main_board,low_plus_30,bridge_positive_event,91,514,0,0.17704280155642024
robustness,all,main_board,low_plus_60,bridge_positive_event,145,514,0,0.2821011673151751
robustness,all,main_board,low_to_first_50pct,bridge_positive_event,169,513,1,0.32943469785575047
robustness,all,main_board,low_to_high,bridge_positive_event,172,514,0,0.3346303501945525
train,all,chinext,before_episode_high,bridge_positive_event,120,325,0,0.36923076923076925
train,all,chinext,before_first_50pct,bridge_positive_event,118,325,0,0.3630769230769231
train,all,chinext,low_plus_120,bridge_positive_event,129,325,0,0.39692307692307693
train,all,chinext,low_plus_20,bridge_positive_event,61,325,0,0.18769230769230769
train,all,chinext,low_plus_30,bridge_positive_event,85,325,0,0.26153846153846155
train,all,chinext,low_plus_60,bridge_positive_event,105,325,0,0.3230769230769231
train,all,chinext,low_to_first_50pct,bridge_positive_event,119,325,0,0.36615384615384616
train,all,chinext,low_to_high,bridge_positive_event,120,325,0,0.36923076923076925
train,all,main_board,before_episode_high,bridge_positive_event,369,965,0,0.38238341968911915
train,all,main_board,before_first_50pct,bridge_positive_event,363,963,2,0.37694704049844235
train,all,main_board,low_plus_120,bridge_positive_event,376,965,0,0.38963730569948185
train,all,main_board,low_plus_20,bridge_positive_event,156,965,0,0.1616580310880829
train,all,main_board,low_plus_30,bridge_positive_event,219,965,0,0.22694300518134716
train,all,main_board,low_plus_60,bridge_positive_event,311,965,0,0.322279792746114
train,all,main_board,low_to_first_50pct,bridge_positive_event,363,963,2,0.37694704049844235
train,all,main_board,low_to_high,bridge_positive_event,369,965,0,0.38238341968911915
validation,all,chinext,before_episode_high,bridge_positive_event,32,110,0,0.2909090909090909
validation,all,chinext,before_first_50pct,bridge_positive_event,30,110,0,0.2727272727272727
validation,all,chinext,low_plus_120,bridge_positive_event,35,110,0,0.3181818181818182
validation,all,chinext,low_plus_20,bridge_positive_event,13,110,0,0.11818181818181818
validation,all,chinext,low_plus_30,bridge_positive_event,21,110,0,0.19090909090909092
validation,all,chinext,low_plus_60,bridge_positive_event,29,110,0,0.2636363636363636
validation,all,chinext,low_to_first_50pct,bridge_positive_event,31,110,0,0.2818181818181818
validation,all,chinext,low_to_high,bridge_positive_event,32,110,0,0.2909090909090909
validation,all,main_board,before_episode_high,bridge_positive_event,96,335,0,0.2865671641791045
validation,all,main_board,before_first_50pct,bridge_positive_event,90,334,1,0.2694610778443114
validation,all,main_board,low_plus_120,bridge_positive_event,98,335,0,0.29253731343283584
validation,all,main_board,low_plus_20,bridge_positive_event,52,335,0,0.15522388059701492
validation,all,main_board,low_plus_30,bridge_positive_event,66,335,0,0.19701492537313434
validation,all,main_board,low_plus_60,bridge_positive_event,87,335,0,0.25970149253731345
validation,all,main_board,low_to_first_50pct,bridge_positive_event,93,334,1,0.27844311377245506
validation,all,main_board,low_to_high,bridge_positive_event,96,335,0,0.2865671641791045
