target_episode_id,instrument,symbol,episode_low_date,source_first_50pct_touch_date,source_first_50pct_touch_pos,recomputed_first_50pct_touch_date,recomputed_first_50pct_touch_pos,effective_first_50pct_touch_date,first_50pct_difference_sessions,source_first_100pct_touch_date,source_first_100pct_touch_pos,recomputed_first_100pct_touch_date,recomputed_first_100pct_touch_pos,effective_first_100pct_touch_date,first_100pct_difference_sessions,source,reconciliation_status
SH600000_20250407_0000,SH600000,SH600000,2025-04-07,,-1,2025-07-01,2060,2025-07-01,,,-1,,-1,,,derived_in_07,match_or_derived
SH600004_20181030_0000,SH600004,SH600004,2018-10-30,,-1,2019-03-18,535,2019-03-18,,,-1,,-1,,,derived_in_07,match_or_derived
SH600009_20180209_0000,SH600009,SH600009,2018-02-09,,-1,2018-07-13,372,2018-07-13,,,-1,,-1,,,derived_in_07,match_or_derived
SH600009_20181029_0001,SH600009,SH600009,2018-10-29,,-1,2019-04-04,548,2019-04-04,,,-1,,-1,,,derived_in_07,match_or_derived
SH600009_20210802_0002,SH600009,SH600009,2021-08-02,,-1,2022-01-21,1220,2022-01-21,,,-1,,-1,,,derived_in_07,match_or_derived
SH600010_20201102_0000,SH600010,SH600010,2020-11-02,,-1,2021-03-02,1001,2021-03-02,,,-1,,-1,,,derived_in_07,match_or_derived
SH600010_20210428_0001,SH600010,SH600010,2021-04-28,,-1,2021-07-14,1092,2021-07-14,,,-1,2021-07-30,1104,2021-07-30,,derived_in_07,match_or_derived
SH600010_20220427_0002,SH600010,SH600010,2022-04-27,,-1,2022-06-24,1320,2022-06-24,,,-1,,-1,,,derived_in_07,match_or_derived
SH600010_20240624_0003,SH600010,SH600010,2024-06-24,,-1,2024-11-06,1894,2024-11-06,,,-1,,-1,,,derived_in_07,match_or_derived
SH600010_20250407_0004,SH600010,SH600010,2025-04-07,,-1,2025-07-24,2068,2025-07-24,,,-1,,-1,,,derived_in_07,match_or_derived
SH600010_20250929_0005,SH600010,SH600010,2025-09-29,,-1,2026-03-02,2211,2026-03-02,,,-1,,-1,,,derived_in_07,match_or_derived
SH600011_20200428_0000,SH600011,SH600011,2020-04-28,,-1,2020-08-20,884,2020-08-20,,,-1,,-1,,,derived_in_07,match_or_derived
SH600011_20210427_0001,SH600011,SH600011,2021-04-27,,-1,2021-09-01,1136,2021-09-01,,,-1,2021-09-06,1139,2021-09-06,,derived_in_07,match_or_derived
SH600011_20211129_0002,SH600011,SH600011,2021-11-29,,-1,2021-12-09,1200,2021-12-09,,,-1,,-1,,,derived_in_07,match_or_derived
SH600011_20220415_0003,SH600011,SH600011,2022-04-15,,-1,2022-08-26,1374,2022-08-26,,,-1,,-1,,,derived_in_07,match_or_derived
