event_split,market_regime_bucket,board_bucket,primary_channel,event_count,executable_event_count,outcome_complete_120d_count,label_completeness_rate,event_big_winner_120d_rate,near_winner_rate,confirm_20_rate,failure_10_rate,forward_20_return_mean,forward_60_return_mean
robustness,risk_off,chinext,E1_early_ema60_repair,67,67,67,1.0,0.373134328358209,0.23880597014925373,0.417910447761194,0.08955223880597014,0.13080830360597862,0.23501347175350742
robustness,risk_off,chinext,E3_rank_persistence,19,19,19,1.0,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.3684210526315789,0.041867343786330176,0.1743810512571268
robustness,risk_off,chinext,E6_continuation_discriminator,28,28,28,1.0,0.5,0.10714285714285714,0.4642857142857143,0.10714285714285714,0.22548485143730307,0.34791516102710096
robustness,risk_off,main_board,E1_early_ema60_repair,400,399,399,0.9975,0.13283208020050125,0.21804511278195488,0.3358395989974937,0.11027568922305764,0.04897001662669471,0.11425384438472959
robustness,risk_off,main_board,E3_rank_persistence,117,117,117,1.0,0.17094017094017094,0.3247863247863248,0.3162393162393162,0.11965811965811966,0.05890267951027842,0.16682466545517435
robustness,risk_off,main_board,E6_continuation_discriminator,245,245,245,1.0,0.1836734693877551,0.24489795918367346,0.3510204081632653,0.12653061224489795,0.04216072913025231,0.14974918812831198
robustness,risk_on,chinext,E1_early_ema60_repair,172,172,172,1.0,0.313953488372093,0.18604651162790697,0.36046511627906974,0.18604651162790697,0.02209233922496202,0.06294474213287846
robustness,risk_on,chinext,E3_rank_persistence,119,119,119,1.0,0.23529411764705882,0.12605042016806722,0.40336134453781514,0.23529411764705882,-0.01888126597727781,0.051478347000220935
robustness,risk_on,chinext,E6_continuation_discriminator,136,136,136,1.0,0.2426470588235294,0.09558823529411764,0.25,0.2647058823529412,-0.00922841192780676,0.00810885970483846
robustness,risk_on,main_board,E1_early_ema60_repair,653,652,652,0.998468606431853,0.13496932515337423,0.1303680981595092,0.3006134969325153,0.12116564417177914,0.009982237995504878,0.04156559991669949
robustness,risk_on,main_board,E2_money_vwap_repair_confirmation,1,1,1,1.0,0.0,0.0,0.0,0.0,0.027461139896372888,0.059585492227979264
robustness,risk_on,main_board,E3_rank_persistence,466,466,466,1.0,0.1609442060085837,0.13733905579399142,0.27682403433476394,0.11158798283261803,0.01566701047475412,0.0518190626167016
robustness,risk_on,main_board,E6_continuation_discriminator,525,525,525,1.0,0.13142857142857142,0.14476190476190476,0.26666666666666666,0.16,0.00604660807332073,0.021289046111342715
robustness,transition,chinext,E1_early_ema60_repair,67,67,67,1.0,0.417910447761194,0.16417910447761194,0.40298507462686567,0.208955223880597,0.05742232466395749,0.1213547095136253
robustness,transition,chinext,E3_rank_persistence,7,7,7,1.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.31366184503314337,0.23633128616312238
robustness,transition,chinext,E6_continuation_discriminator,47,47,47,1.0,0.425531914893617,0.2127659574468085,0.44680851063829785,0.06382978723404255,0.07039026444834173,0.11178029093618773
robustness,transition,main_board,E1_early_ema60_repair,326,326,325,0.9969325153374233,0.2,0.23692307692307693,0.36809815950920244,0.049079754601226995,0.026557128665130825,0.088541499669391
robustness,transition,main_board,E3_rank_persistence,100,100,99,0.99,0.09090909090909091,0.12121212121212122,0.17,0.04,0.0037405721517025127,0.02431446959088718
robustness,transition,main_board,E6_continuation_discriminator,192,192,191,0.9947916666666666,0.17801047120418848,0.13089005235602094,0.25,0.052083333333333336,0.02766183419223514,0.056965712254035926
train,risk_off,chinext,E1_early_ema60_repair,128,128,128,1.0,0.2421875,0.203125,0.3359375,0.1953125,-0.006122134002615689,-0.01578899795421564
train,risk_off,chinext,E3_rank_persistence,71,71,71,1.0,0.28169014084507044,0.19718309859154928,0.23943661971830985,0.2676056338028169,-0.02091581684815115,0.08636849140553633
train,risk_off,chinext,E6_continuation_discriminator,77,77,77,1.0,0.14285714285714285,0.2987012987012987,0.2597402597402597,0.2727272727272727,-0.026978575645480375,-0.02406466126120249
train,risk_off,main_board,E1_early_ema60_repair,626,626,626,1.0,0.16773162939297126,0.1900958466453674,0.21405750798722045,0.15814696485623003,-0.00992736722145905,0.000895117530992593
train,risk_off,main_board,E2_money_vwap_repair_confirmation,2,2,2,1.0,0.0,0.0,0.0,0.0,-0.03853213732640004,-0.099407768767595
train,risk_off,main_board,E3_rank_persistence,362,362,362,1.0,0.19613259668508287,0.18232044198895028,0.1408839779005525,0.20441988950276244,-0.02083197460199192,0.0398104455482161
train,risk_off,main_board,E6_continuation_discriminator,456,456,456,1.0,0.19298245614035087,0.2149122807017544,0.18859649122807018,0.15350877192982457,-0.01626611384525322,0.013954775588796601
train,risk_on,chinext,E1_early_ema60_repair,289,289,289,1.0,0.21107266435986158,0.22491349480968859,0.40484429065743943,0.21453287197231835,0.024698209044635117,-0.002086601991142828
train,risk_on,chinext,E2_money_vwap_repair_confirmation,1,1,1,1.0,0.0,1.0,0.0,1.0,-0.05560271646859083,0.1281833616298811
train,risk_on,chinext,E3_rank_persistence,142,142,142,1.0,0.19718309859154928,0.18309859154929578,0.323943661971831,0.2887323943661972,0.013101900618478456,-0.044559406458175785
train,risk_on,chinext,E6_continuation_discriminator,211,211,211,1.0,0.1943127962085308,0.16587677725118483,0.3127962085308057,0.27488151658767773,-0.01196116188652598,-0.054497224408444796
train,risk_on,main_board,E1_early_ema60_repair,1435,1430,1430,0.9965156794425087,0.14545454545454545,0.16433566433566432,0.32517482517482516,0.12377622377622377,0.01834051558356225,-0.005299612672435655
train,risk_on,main_board,E2_money_vwap_repair_confirmation,3,3,3,1.0,0.0,0.0,0.0,0.0,-0.02550254496310526,-0.04603492603499656
train,risk_on,main_board,E3_rank_persistence,668,667,667,0.9985029940119761,0.1664167916041979,0.17541229385307347,0.31334332833583206,0.25787106446776614,0.012314858334866858,-0.002119299244520797
