episode_split,window,captured_episode_count,lead_time_mean,lead_time_median,lead_time_p25,lead_time_p75,late_continuation_event_share
robustness,before_episode_high,535,35.41495327102804,32.0,5.0,55.0,0.014953271028037384
robustness,before_first_50pct,522,36.764367816091955,33.5,6.0,56.0,0.0
robustness,low_plus_120,555,31.767567567567568,29.0,5.0,54.0,0.04864864864864865
robustness,low_plus_20,322,37.245341614906835,30.5,4.0,63.0,0.012422360248447204
robustness,low_plus_30,364,38.03846153846154,33.0,4.0,64.25,0.016483516483516484
robustness,low_plus_60,479,36.92275574112735,33.0,5.0,59.0,0.014613778705636743
robustness,low_to_first_50pct,528,36.34659090909091,33.0,5.75,56.0,0.0
robustness,low_to_high,537,35.262569832402235,32.0,5.0,55.0,0.01675977653631285
train,before_episode_high,936,49.00961538461539,47.0,24.0,74.0,0.013888888888888888
train,before_first_50pct,921,50.25515743756786,47.0,26.0,74.0,0.0
train,low_plus_120,978,44.10633946830266,44.0,21.0,73.0,0.05623721881390593
train,low_plus_20,508,56.267716535433074,61.0,26.0,84.25,0.00984251968503937
train,low_plus_30,692,54.31936416184971,56.5,27.0,79.0,0.008670520231213872
train,low_plus_60,853,51.75146541617819,51.0,27.0,76.0,0.010550996483001172
train,low_to_first_50pct,923,50.146262188515706,47.0,25.0,74.0,0.0
train,low_to_high,936,49.00961538461539,47.0,24.0,74.0,0.013888888888888888
validation,before_episode_high,367,43.81198910081744,42.0,15.0,68.0,0.01634877384196185
validation,before_first_50pct,353,45.91784702549575,43.0,17.0,69.0,0.0
validation,low_plus_120,379,40.13720316622691,40.0,13.5,67.0,0.047493403693931395
validation,low_plus_20,217,50.70967741935484,50.0,19.0,75.0,0.009216589861751152
validation,low_plus_30,311,46.0096463022508,44.0,15.0,72.0,0.00964630225080386
validation,low_plus_60,359,44.54596100278552,43.0,15.0,68.0,0.013927576601671309
validation,low_to_first_50pct,361,44.90027700831025,42.0,15.0,68.0,0.0
validation,low_to_high,367,43.81198910081744,42.0,15.0,68.0,0.01634877384196185
