metric,topn_07_recommended_union,old_04_setup_inclusive,old_04_reclaim_based,density_gate_limit,comparison_status
events_per_instrument_year_mean,3.937922077922078,3.330893396229425,1.7214162055656377,6.0,diagnostic_denominator_differs
events_per_instrument_year_p95,7.0,3.330893396229425,1.7214162055656377,12.0,diagnostic_denominator_differs
