event_split,market_regime_bucket,primary_channel,event_count,false_repair_10d_count,false_repair_20d_count,false_repair_10d_rate,false_repair_20d_rate,clean_baseline_match_coverage,precision_claim_status
robustness,risk_off,E1_early_ema60_repair,467,28,64,0.059957173447537475,0.13704496788008566,,precision_unproven_no_clean_baseline
robustness,risk_off,E3_rank_persistence,136,15,25,0.11029411764705882,0.18382352941176472,,precision_unproven_no_clean_baseline
robustness,risk_off,E6_continuation_discriminator,273,22,42,0.08058608058608059,0.15384615384615385,,precision_unproven_no_clean_baseline
robustness,risk_on,E1_early_ema60_repair,825,62,148,0.07515151515151515,0.17939393939393938,,precision_unproven_no_clean_baseline
robustness,risk_on,E2_money_vwap_repair_confirmation,1,0,0,0.0,0.0,,precision_unproven_no_clean_baseline
robustness,risk_on,E3_rank_persistence,585,61,137,0.10427350427350428,0.2341880341880342,,precision_unproven_no_clean_baseline
robustness,risk_on,E6_continuation_discriminator,661,91,171,0.13767019667170954,0.2586989409984871,,precision_unproven_no_clean_baseline
robustness,transition,E1_early_ema60_repair,393,21,53,0.05343511450381679,0.13486005089058525,,precision_unproven_no_clean_baseline
robustness,transition,E3_rank_persistence,107,4,18,0.037383177570093455,0.16822429906542055,,precision_unproven_no_clean_baseline
robustness,transition,E6_continuation_discriminator,239,11,24,0.04602510460251046,0.100418410041841,,precision_unproven_no_clean_baseline
train,risk_off,E1_early_ema60_repair,754,84,179,0.11140583554376658,0.23740053050397877,,precision_unproven_no_clean_baseline
train,risk_off,E2_money_vwap_repair_confirmation,2,0,0,0.0,0.0,,precision_unproven_no_clean_baseline
train,risk_off,E3_rank_persistence,433,70,125,0.16166281755196305,0.28868360277136257,,precision_unproven_no_clean_baseline
train,risk_off,E6_continuation_discriminator,533,54,125,0.10131332082551595,0.23452157598499063,,precision_unproven_no_clean_baseline
train,risk_on,E1_early_ema60_repair,1724,158,385,0.09164733178654293,0.22331786542923435,,precision_unproven_no_clean_baseline
train,risk_on,E2_money_vwap_repair_confirmation,4,1,1,0.25,0.25,,precision_unproven_no_clean_baseline
train,risk_on,E3_rank_persistence,810,158,258,0.19506172839506172,0.31851851851851853,,precision_unproven_no_clean_baseline
train,risk_on,E6_continuation_discriminator,1246,185,374,0.14847512038523275,0.3001605136436597,,precision_unproven_no_clean_baseline
train,transition,E1_early_ema60_repair,857,93,180,0.10851808634772463,0.2100350058343057,,precision_unproven_no_clean_baseline
train,transition,E3_rank_persistence,383,45,85,0.1174934725848564,0.22193211488250653,,precision_unproven_no_clean_baseline
train,transition,E6_continuation_discriminator,582,75,138,0.12886597938144329,0.23711340206185566,,precision_unproven_no_clean_baseline
validation,risk_off,E1_early_ema60_repair,666,82,159,0.12312312312312312,0.23873873873873874,,precision_unproven_no_clean_baseline
validation,risk_off,E2_money_vwap_repair_confirmation,2,0,0,0.0,0.0,,precision_unproven_no_clean_baseline
validation,risk_off,E3_rank_persistence,289,43,75,0.14878892733564014,0.25951557093425603,,precision_unproven_no_clean_baseline
validation,risk_off,E6_continuation_discriminator,464,67,119,0.14439655172413793,0.25646551724137934,,precision_unproven_no_clean_baseline
validation,risk_on,E1_early_ema60_repair,414,33,84,0.07971014492753623,0.2028985507246377,,precision_unproven_no_clean_baseline
validation,risk_on,E2_money_vwap_repair_confirmation,2,0,0,0.0,0.0,,precision_unproven_no_clean_baseline
validation,risk_on,E3_rank_persistence,307,28,88,0.09120521172638436,0.28664495114006516,,precision_unproven_no_clean_baseline
validation,risk_on,E6_continuation_discriminator,349,36,101,0.10315186246418338,0.28939828080229224,,precision_unproven_no_clean_baseline
validation,transition,E1_early_ema60_repair,720,62,154,0.08611111111111111,0.21388888888888888,,precision_unproven_no_clean_baseline
validation,transition,E3_rank_persistence,387,24,66,0.06201550387596899,0.17054263565891473,,precision_unproven_no_clean_baseline
validation,transition,E6_continuation_discriminator,546,52,129,0.09523809523809523,0.23626373626373626,,precision_unproven_no_clean_baseline
