source_artifact,aggregate_scalar,provided_flag,provided_row_n,comparable_row_n,abs_diff_mean,abs_diff_p95,mismatch_tol,mismatch_n,mismatch_rate,blocking_flag,reconciliation_status
09A_selected_label_event_bindings,mae_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
09A_selected_label_event_bindings,mae_20d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
09A_selected_label_event_bindings,mae_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
09A_selected_label_event_bindings,mfe_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
09A_selected_label_event_bindings,mfe_20d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
09A_selected_label_event_bindings,mfe_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mae_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mae_20d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mae_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mfe_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mfe_20d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10A_post_dedup_event_bindings,mfe_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10C_scores,mae_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10C_scores,mae_20d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10C_scores,mae_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10C_scores,mfe_120d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
10C_scores,mfe_20d,True,1092,1092,0.001403086510484786,0.00966662419841172,0.02,26,0.023809523809523808,False,non_blocking_downstream_scalar_readout
10C_scores,mfe_60d,False,0,0,,,0.02,0,,False,not_provided_non_blocking
