reporting_view,split,path_regime_state,bucket_type,bucket_name,bucket_value,winner_n,injury_scope_winner_n,injured_winner_n,injury_rate,share_of_injury,share_of_winner,injury_concentration_lift,non_null_metric_n,power_flag
regime_only,all,all,metric_bin,day_to_target,"[0,20)",126,1092,22,0.1746031746031746,0.20952380952380953,0.11538461538461539,0.09413919413919414,126,ok
regime_only,all,all,metric_bin,day_to_target,"[20,40)",224,1092,25,0.11160714285714286,0.23809523809523808,0.20512820512820512,0.03296703296703296,224,ok
regime_only,all,all,metric_bin,day_to_target,"[40,60)",206,1092,16,0.07766990291262135,0.1523809523809524,0.18864468864468864,-0.036263736263736246,206,ok
regime_only,all,all,metric_bin,day_to_target,"[60,90)",273,1092,21,0.07692307692307693,0.2,0.25,-0.04999999999999999,273,ok
regime_only,all,all,metric_bin,day_to_target,"[90,120]",263,1092,21,0.07984790874524715,0.2,0.24084249084249085,-0.040842490842490836,263,ok
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-0.04,0)",313,1092,14,0.04472843450479233,0.13333333333333333,0.2866300366300366,-0.15329670329670328,313,ok
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-0.08,-0.04)",257,1092,11,0.042801556420233464,0.10476190476190476,0.23534798534798534,-0.13058608058608057,257,ok
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-0.12,-0.08)",149,1092,19,0.12751677852348994,0.18095238095238095,0.13644688644688643,0.044505494505494514,149,ok
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-0.2,-0.12)",153,1092,25,0.16339869281045752,0.23809523809523808,0.1401098901098901,0.09798534798534797,153,ok
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-0.3,-0.2)",66,1092,15,0.22727272727272727,0.14285714285714285,0.06043956043956044,0.0824175824175824,66,low_power
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[-1,-0.3)",17,1092,6,0.35294117647058826,0.05714285714285714,0.015567765567765568,0.04157509157509157,17,low_power
regime_only,all,all,metric_bin,deepest_pre_target_ret_low,"[0,0.5]",137,1092,15,0.10948905109489052,0.14285714285714285,0.12545787545787546,0.017399267399267393,137,ok
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[0,1)",433,1092,37,0.08545034642032333,0.3523809523809524,0.3965201465201465,-0.04413919413919409,433,ok
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[1,2)",283,1092,37,0.13074204946996468,0.3523809523809524,0.2591575091575092,0.09322344322344323,283,ok
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[10,120]",0,1092,0,,0.0,0.0,0.0,0,low_power
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[2,3)",175,1092,12,0.06857142857142857,0.11428571428571428,0.16025641025641027,-0.04597069597069599,175,ok
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[3,5)",183,1092,15,0.08196721311475409,0.14285714285714285,0.16758241758241757,-0.02472527472527472,183,ok
regime_only,all,all,metric_bin,limit_like_up_day_count_to_target,"[5,10)",18,1092,4,0.2222222222222222,0.0380952380952381,0.016483516483516484,0.021611721611721615,18,low_power
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-0.04,0]",2,1092,0,0.0,0.0,0.0018315018315018315,-0.0018315018315018315,2,low_power
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-0.08,-0.04)",15,1092,0,0.0,0.0,0.013736263736263736,-0.013736263736263736,15,low_power
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-0.12,-0.08)",200,1092,4,0.02,0.0380952380952381,0.18315018315018314,-0.14505494505494504,200,ok
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-0.2,-0.12)",541,1092,37,0.06839186691312385,0.3523809523809524,0.49542124542124544,-0.14304029304029303,541,ok
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-0.3,-0.2)",263,1092,48,0.18250950570342206,0.45714285714285713,0.24084249084249085,0.21630036630036628,263,ok
regime_only,all,all,metric_bin,max_drawdown_to_target,"[-1,-0.3)",71,1092,16,0.22535211267605634,0.1523809523809524,0.06501831501831502,0.08736263736263737,71,low_power
regime_only,all,all,metric_bin,max_gap_open_return_to_target,"[-0.05,0)",0,1092,0,,0.0,0.0,0.0,0,low_power
regime_only,all,all,metric_bin,max_gap_open_return_to_target,"[-0.2,-0.05)",0,1092,0,,0.0,0.0,0.0,0,low_power
regime_only,all,all,metric_bin,max_gap_open_return_to_target,"[0,0.04)",365,1092,18,0.049315068493150684,0.17142857142857143,0.3342490842490842,-0.1628205128205128,365,ok
regime_only,all,all,metric_bin,max_gap_open_return_to_target,"[0.04,0.08)",482,1092,65,0.13485477178423236,0.6190476190476191,0.4413919413919414,0.1776556776556777,482,ok
