artifact_id,relative_path,resolved_path,required_flag,exists_flag,content_hash,file_size_bytes,mtime_utc,schema_status,row_count,failure_reason
pit_executable_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_largecap_main_chinext_executable_daily.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_largecap_main_chinext_executable_daily.csv,True,True,92c3d52d55354e86e5093f2849dd40da1a6677159f2f5f4c4af57927eb891a13,127121591,2026-06-08T11:12:27.451069+00:00,pass,470682,
upstream_09a_bindings,topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09A_fast_fail_label_frontier/selected_label_event_bindings.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09A_fast_fail_label_frontier/selected_label_event_bindings.parquet,True,True,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,920436,2026-06-14T10:51:45.709072+00:00,pass,41937,
upstream_10a_bindings,topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/local_cache/10A_density_rule_system/post_dedup_event_bindings.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/local_cache/10A_density_rule_system/post_dedup_event_bindings.parquet,True,True,8d5d8993b17a32cb29b68de2e8906cc50dcb698fedbab42c597d76581f9d6b4f,20417143,2026-06-15T08:12:45.142570+00:00,pass,200250,
upstream_10c_scores,topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/local_cache/10C_false_repair_rejector/post_dedup_false_repair_scores.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/local_cache/10C_false_repair_rejector/post_dedup_false_repair_scores.parquet,True,True,3630c2237a315447c8f85936a2bf5add856a39a4659720733afa63108e4f0bfb,8268581,2026-06-15T14:38:28.640998+00:00,pass,158020,
labels_config,topics/02_AFML_BIG_WINNER/configs/labels.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/configs/labels.yaml,True,True,aa35d5050c9700f32bc5622b812160e7a83056cf8b46173a7d3c7d8ad12b28f3,971,2026-06-08T08:01:12.732781+00:00,pass,0,
qfq_dir,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,True,,4598,2026-06-08T10:08:45.895136+00:00,pass,4597,
qfq_fallback_dir,topics/02_AFML_BIG_WINNER/data/interim/qlib_csv/day,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/interim/qlib_csv/day,False,True,,4598,2026-06-08T10:08:45.915837+00:00,fallback_available,4597,
board_metadata,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,True,True,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,412496,2026-06-08T11:00:03.109573+00:00,pass,4915,
sh_name_history_dir,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/sh_name_history,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/status/sh_name_history,False,True,,1706,2026-06-08T09:45:42.984351+00:00,optional_st_history_without_date,1706,
sz_name_history,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/stock_info_sz_change_name_short.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/status/stock_info_sz_change_name_short.csv,False,True,10b869499050656f356f91bea9fe22760bfe6ea1964368112595073cd15041b7,390237,2026-06-08T09:19:17.587574+00:00,optional_st_history,7398,
qfq_used_files,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/{instrument}.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,True,76ea494affc9f0c983c3dd6d6bddb415bb2a35c18d686218bda19c9aaab200c7,313,,pass,313,
