reporting_view,split,path_regime_state,alignment_target,bucket_type,bucket_name,winner_n,non_null_metric_n,n11_bucket_and_target,n10_bucket_only,n01_target_only,n00_neither,jaccard,phi,p_target_given_bucket,p_bucket_given_target,power_flag
regime_only,all,all,E1_missed_winner_flag,seed_flag,seed_early_momentum_flag,1092,1092,43,91,430,528,0.07624113475177305,-0.08472679332866372,0.3208955223880597,0.09090909090909091,ok
regime_only,all,all,E1_missed_winner_flag,seed_flag,seed_gap_or_event_driven_flag,1092,1092,233,352,240,267,0.2824242424242424,-0.0755688664385046,0.39829059829059826,0.492600422832981,ok
regime_only,all,all,E1_missed_winner_flag,seed_flag,seed_late_bloomer_flag,1092,1092,149,150,324,469,0.2391653290529695,0.08076885923354159,0.4983277591973244,0.3150105708245243,ok
regime_only,all,all,E1_missed_winner_flag,seed_flag,seed_shakeout_reversal_flag,1092,1092,184,143,289,476,0.2987012987012987,0.17092160974848308,0.5626911314984709,0.3890063424947146,ok
regime_only,all,all,E1_missed_winner_flag,seed_flag,seed_volatile_chop_flag,1092,1092,70,52,403,567,0.13333333333333333,0.10064422003392336,0.5737704918032787,0.14799154334038056,ok
regime_only,all,all,bridge_winner,seed_flag,seed_early_momentum_flag,1092,1092,124,10,717,241,0.14571092831962398,0.13798237283521345,0.9253731343283582,0.14744351961950058,ok
regime_only,all,all,bridge_winner,seed_flag,seed_gap_or_event_driven_flag,1092,1092,447,138,394,113,0.45658835546475995,-0.015430607705658295,0.764102564102564,0.5315101070154578,ok
regime_only,all,all,bridge_winner,seed_flag,seed_late_bloomer_flag,1092,1092,207,92,634,159,0.22186495176848875,-0.11360123887279983,0.6923076923076923,0.24613555291319858,ok
regime_only,all,all,bridge_winner,seed_flag,seed_shakeout_reversal_flag,1092,1092,205,122,636,129,0.21287642782969884,-0.22257721958271504,0.6269113149847095,0.2437574316290131,ok
regime_only,all,all,bridge_winner,seed_flag,seed_volatile_chop_flag,1092,1092,71,51,770,200,0.0795964125560538,-0.15861844677067982,0.5819672131147541,0.08442330558858502,ok
regime_only,all,risk_off,E1_missed_winner_flag,seed_flag,seed_early_momentum_flag,495,495,13,61,67,354,0.09219858156028368,0.016013316202384737,0.17567567567567569,0.1625,ok
regime_only,all,risk_off,E1_missed_winner_flag,seed_flag,seed_gap_or_event_driven_flag,495,495,42,225,38,190,0.1377049180327869,-0.012678934540207283,0.15730337078651685,0.525,ok
regime_only,all,risk_off,E1_missed_winner_flag,seed_flag,seed_late_bloomer_flag,495,495,15,102,65,313,0.08241758241758242,-0.05049787427268006,0.1282051282051282,0.1875,ok
regime_only,all,risk_off,E1_missed_winner_flag,seed_flag,seed_shakeout_reversal_flag,495,495,17,85,63,330,0.10303030303030303,0.006989961400388435,0.16666666666666666,0.2125,ok
regime_only,all,risk_off,E1_missed_winner_flag,seed_flag,seed_volatile_chop_flag,495,495,2,31,78,384,0.018018018018018018,-0.07333933110610719,0.06060606060606061,0.025,ok
regime_only,all,risk_off,bridge_winner,seed_flag,seed_early_momentum_flag,495,495,74,0,421,0,0.1494949494949495,,1.0,0.1494949494949495,ok
