reporting_view,split,path_regime_state,overlap_type,seed_flag_a,seed_flag_b,seed_flag_overlap_n,winner_n,overlap_count,overlap_rate,power_flag
regime_only,all,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,1268,136,0.10725552050473186,ok
regime_only,all,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,1268,39,0.030757097791798107,ok
regime_only,all,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,1268,240,0.1892744479495268,ok
regime_only,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,1268,196,0.15457413249211358,ok
regime_only,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,1268,0,0.0,ok
regime_only,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,1268,290,0.22870662460567823,ok
regime_only,all,risk_on,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,1268,0,0.0,ok
regime_only,all,risk_on,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,1268,87,0.06861198738170347,ok
regime_only,all,transition,overlap_n,,,0,414,78,0.18840579710144928,ok
regime_only,all,transition,overlap_n,,,1,414,201,0.4855072463768116,ok
regime_only,all,transition,overlap_n,,,2,414,84,0.2028985507246377,ok
regime_only,all,transition,overlap_n,,,3,414,44,0.10628019323671498,ok
regime_only,all,transition,overlap_n,,,4,414,7,0.016908212560386472,ok
regime_only,all,transition,overlap_n,,,5,414,0,0.0,ok
regime_only,all,transition,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,414,0,0.0,ok
regime_only,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,414,79,0.19082125603864733,ok
regime_only,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,414,27,0.06521739130434782,ok
regime_only,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,414,17,0.04106280193236715,ok
regime_only,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,414,44,0.10628019323671498,ok
regime_only,all,transition,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,414,33,0.07971014492753623,ok
regime_only,all,transition,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,414,0,0.0,ok
regime_only,all,transition,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,414,47,0.11352657004830918,ok
regime_only,all,transition,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,414,0,0.0,ok
regime_only,all,transition,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,414,11,0.026570048309178744,ok
split_only,all,all,overlap_n,,,0,3075,618,0.20097560975609757,ok
split_only,all,all,overlap_n,,,1,3075,1291,0.41983739837398376,ok
split_only,all,all,overlap_n,,,2,3075,734,0.23869918699186993,ok
split_only,all,all,overlap_n,,,3,3075,359,0.1167479674796748,ok
split_only,all,all,overlap_n,,,4,3075,73,0.023739837398373983,ok
split_only,all,all,overlap_n,,,5,3075,0,0.0,ok
split_only,all,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,3075,0,0.0,ok
split_only,all,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,3075,561,0.1824390243902439,ok
split_only,all,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,3075,214,0.06959349593495935,ok
split_only,all,all,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,3075,170,0.055284552845528454,ok
split_only,all,all,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,3075,411,0.13365853658536586,ok
split_only,all,all,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,3075,296,0.09626016260162602,ok
split_only,all,all,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,3075,0,0.0,ok
split_only,all,all,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,3075,474,0.15414634146341463,ok
split_only,all,all,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,3075,0,0.0,ok
split_only,all,all,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,3075,123,0.04,ok
split_only,robustness,all,overlap_n,,,0,1761,310,0.17603634298693924,ok
split_only,robustness,all,overlap_n,,,1,1761,763,0.4332765474162408,ok
split_only,robustness,all,overlap_n,,,2,1761,420,0.23850085178875638,ok
