reporting_view,split,path_regime_state,metric,bin_left,bin_right,bin_label,winner_n,non_null_metric_n,bin_count,bin_rate,bin_power_flag,power_flag
regime_only,all,all,day_to_target,0.0,20.0,"[0,20)",3075,3075,365,0.11869918699186992,ok,ok
regime_only,all,all,day_to_target,20.0,40.0,"[20,40)",3075,3075,635,0.20650406504065041,ok,ok
regime_only,all,all,day_to_target,40.0,60.0,"[40,60)",3075,3075,559,0.18178861788617887,ok,ok
regime_only,all,all,day_to_target,60.0,90.0,"[60,90)",3075,3075,746,0.24260162601626017,ok,ok
regime_only,all,all,day_to_target,90.0,120.0,"[90,120)",3075,3075,770,0.25040650406504067,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-1.0,-0.3,"[-1,-0.3)",3075,3075,44,0.014308943089430894,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-0.3,-0.2,"[-0.3,-0.2)",3075,3075,182,0.0591869918699187,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-0.2,-0.12,"[-0.2,-0.12)",3075,3075,438,0.1424390243902439,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-0.12,-0.08,"[-0.12,-0.08)",3075,3075,441,0.14341463414634145,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-0.08,-0.04,"[-0.08,-0.04)",3075,3075,736,0.23934959349593496,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,-0.04,0.0,"[-0.04,0)",3075,3075,834,0.27121951219512197,ok,ok
regime_only,all,all,deepest_pre_target_ret_low,0.0,0.5,"[0,0.5)",3075,3075,400,0.13008130081300814,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,0.0,1.0,"[0,1)",3075,3075,1249,0.4061788617886179,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,1.0,2.0,"[1,2)",3075,3075,786,0.255609756097561,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,2.0,3.0,"[2,3)",3075,3075,492,0.16,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,3.0,5.0,"[3,5)",3075,3075,481,0.15642276422764229,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,5.0,10.0,"[5,10)",3075,3075,67,0.021788617886178863,ok,ok
regime_only,all,all,limit_like_up_day_count_to_target,10.0,120.0,"[10,120)",3075,3075,0,0.0,low_power,ok
regime_only,all,all,max_drawdown_to_target,-1.0,-0.3,"[-1,-0.3)",3075,3075,200,0.06504065040650407,ok,ok
regime_only,all,all,max_drawdown_to_target,-0.3,-0.2,"[-0.3,-0.2)",3075,3075,756,0.24585365853658536,ok,ok
regime_only,all,all,max_drawdown_to_target,-0.2,-0.12,"[-0.2,-0.12)",3075,3075,1524,0.49560975609756097,ok,ok
regime_only,all,all,max_drawdown_to_target,-0.12,-0.08,"[-0.12,-0.08)",3075,3075,552,0.1795121951219512,ok,ok
regime_only,all,all,max_drawdown_to_target,-0.08,-0.04,"[-0.08,-0.04)",3075,3075,41,0.013333333333333334,ok,ok
regime_only,all,all,max_drawdown_to_target,-0.04,0.0,"[-0.04,0)",3075,3075,2,0.0006504065040650406,low_power,ok
regime_only,all,all,max_gap_open_return_to_target,-0.2,-0.05,"[-0.2,-0.05)",3075,3075,0,0.0,low_power,ok
regime_only,all,all,max_gap_open_return_to_target,-0.05,0.0,"[-0.05,0)",3075,3075,0,0.0,low_power,ok
regime_only,all,all,max_gap_open_return_to_target,0.0,0.04,"[0,0.04)",3075,3075,1013,0.32943089430894307,ok,ok
regime_only,all,all,max_gap_open_return_to_target,0.04,0.08,"[0.04,0.08)",3075,3075,1388,0.4513821138211382,ok,ok
regime_only,all,all,max_gap_open_return_to_target,0.08,0.12,"[0.08,0.12)",3075,3075,481,0.15642276422764229,ok,ok
regime_only,all,all,max_gap_open_return_to_target,0.12,0.2,"[0.12,0.2)",3075,3075,154,0.05008130081300813,ok,ok
regime_only,all,all,max_gap_open_return_to_target,0.2,0.5,"[0.2,0.5)",3075,3075,39,0.012682926829268294,ok,ok
regime_only,all,risk_off,day_to_target,0.0,20.0,"[0,20)",1393,1393,176,0.12634601579325197,ok,ok
regime_only,all,risk_off,day_to_target,20.0,40.0,"[20,40)",1393,1393,307,0.22038765254845658,ok,ok
regime_only,all,risk_off,day_to_target,40.0,60.0,"[40,60)",1393,1393,262,0.18808327351040918,ok,ok
regime_only,all,risk_off,day_to_target,60.0,90.0,"[60,90)",1393,1393,366,0.26274228284278534,ok,ok
regime_only,all,risk_off,day_to_target,90.0,120.0,"[90,120)",1393,1393,282,0.2024407753050969,ok,ok
regime_only,all,risk_off,deepest_pre_target_ret_low,-1.0,-0.3,"[-1,-0.3)",1393,1393,7,0.005025125628140704,ok,ok
regime_only,all,risk_off,deepest_pre_target_ret_low,-0.3,-0.2,"[-0.3,-0.2)",1393,1393,30,0.021536252692031587,ok,ok
