reporting_view,split,path_regime_state,comparison_axis,comparison_id,baseline_split,baseline_path_regime_state,metric,winner_n,non_null_metric_n,baseline_winner_n,baseline_non_null_metric_n,standardized_mean_delta,ks_statistic,psi,psi_bin_power_flag,power_flag,p01_delta,p05_delta,p10_delta,p25_delta,p50_delta,p75_delta,p90_delta,p95_delta,p99_delta
split_only,validation,all,split_vs_all,validation_vs_all,all,all,day_to_target,234,234,3075,3075,-0.04626745033424369,0.06904315196998123,0.017404734441922618,ok,ok,2.33,0.0,-2.0,2.0,-2.0,-4.25,-6.0,-9.650000000000006,-4.3300000000000125
regime_only,all,risk_off,regime_pairwise,risk_off_vs_transition,all,transition,deepest_pre_target_ret_low,1393,1393,414,414,0.20334837932796487,0.12195033136697986,0.05860130386382563,low_power,ok,-0.012739591477413048,0.030662397299346528,0.028938345442111546,0.02309851698604748,0.016974441633668458,0.0022400237437172343,0.00432558319685413,0.002760400474742686,0.00886944811699461
regime_only,all,risk_on,regime_pairwise,risk_on_vs_risk_off,all,risk_off,deepest_pre_target_ret_low,1268,1268,1393,1393,-0.6100510620857015,0.22750186262542998,0.33415971733701894,ok,ok,-0.08331251687288149,-0.08479956271900826,-0.08897284231359232,-0.06521814147346006,-0.029659818954443695,-0.013347716006843008,-0.005852861971208448,-0.00990611561425548,-0.0305533368498018
regime_only,all,risk_on,regime_pairwise,risk_on_vs_transition,all,transition,deepest_pre_target_ret_low,1268,1268,414,414,-0.3719132793344458,0.1499222786083299,0.11769748884757432,low_power,ok,-0.09605210835029454,-0.05413716541966174,-0.06003449687148077,-0.04211962448741258,-0.012685377320775237,-0.011107692263125774,-0.001527278774354318,-0.007145715139512794,-0.02168388873280719
regime_only,all,risk_off,regime_vs_all,risk_off_vs_all,all,all,deepest_pre_target_ret_low,1393,1393,3075,3075,0.2320539154234633,0.1069853331699146,0.08549904959825766,ok,ok,0.05825878318198496,0.05898682694314997,0.044364211924833113,0.02720815252297215,0.014121550739648825,0.0038318549569432148,0.002849220636278912,0.006434287090789921,0.004123450912383322
regime_only,all,risk_on,regime_vs_all,risk_on_vs_all,all,all,deepest_pre_target_ret_low,1268,1268,3075,3075,-0.27246667496431154,0.12051652945551539,0.0789072121545175,ok,ok,-0.02505373369089653,-0.025812735775858298,-0.0446086303887592,-0.038009988950487905,-0.01553826821479487,-0.009515861049899793,-0.0030036413349295364,-0.003471828523465559,-0.026429885937418476
regime_only,all,transition,regime_vs_all,transition_vs_all,all,all,deepest_pre_target_ret_low,414,414,3075,3075,0.05371169002382397,0.0379592317662307,0.015436976931669077,low_power,ok,0.07099837465939801,0.02832442964380344,0.015425866482721567,0.004109635536924672,-0.002852890894019633,0.0015918312132259804,-0.0014763625605752183,0.0036738866160472353,-0.004745997204611288
split_only,train,all,split_pairwise,train_vs_robustness,robustness,all,deepest_pre_target_ret_low,1080,1080,1761,1761,0.005494035255541343,0.031259069972868925,0.016443156865030693,ok,ok,0.029220245559955615,0.009425214353763228,0.00742098307053099,0.0023980600038329414,-0.003542084459152939,0.00020785740880763237,-0.0006394030408870561,-0.006670666175464336,-0.05851425005559491
split_only,train,all,split_pairwise,train_vs_validation,validation,all,deepest_pre_target_ret_low,1080,1080,234,234,-0.2840695186454718,0.12770655270655273,0.10553562281268646,low_power,ok,-0.029629614740674826,-0.06143668704558411,-0.054654488627582126,-0.026255156852102224,-0.020293523304371397,-0.002206131099267511,0.00036464181706998174,-0.005709133221830028,0.009838458029491792
split_only,validation,all,split_pairwise,validation_vs_robustness,robustness,all,deepest_pre_target_ret_low,234,234,1761,1761,0.21636112865693793,0.13796793779758004,0.13044701467946318,low_power,ok,0.05884986030063044,0.07086190139934734,0.062075471698113116,0.028653216855935165,0.016751438845218458,0.0024139885080751433,-0.0010040448579570378,-0.000961532953634308,-0.0683527080850867
split_regime,all,risk_off,split_regime_vs_all,all_risk_off_vs_all,all,all,deepest_pre_target_ret_low,1393,1393,3075,3075,0.2320539154234633,0.1069853331699146,0.08549904959825766,ok,ok,0.05825878318198496,0.05898682694314997,0.044364211924833113,0.02720815252297215,0.014121550739648825,0.0038318549569432148,0.002849220636278912,0.006434287090789921,0.004123450912383322
split_regime,all,risk_on,split_regime_vs_all,all_risk_on_vs_all,all,all,deepest_pre_target_ret_low,1268,1268,3075,3075,-0.27246667496431154,0.12051652945551539,0.0789072121545175,ok,ok,-0.02505373369089653,-0.025812735775858298,-0.0446086303887592,-0.038009988950487905,-0.01553826821479487,-0.009515861049899793,-0.0030036413349295364,-0.003471828523465559,-0.026429885937418476
split_regime,all,transition,split_regime_vs_all,all_transition_vs_all,all,all,deepest_pre_target_ret_low,414,414,3075,3075,0.05371169002382397,0.0379592317662307,0.015436976931669077,low_power,ok,0.07099837465939801,0.02832442964380344,0.015425866482721567,0.004109635536924672,-0.002852890894019633,0.0015918312132259804,-0.0014763625605752183,0.0036738866160472353,-0.004745997204611288
