audit_section,population_stage,split,path_regime_state,path_regime_source,row_count,winner_n,unique_instrument_n,unique_trade_open_date_n,pit_universe_row_n,pit_universe_unique_key_n,pit_universe_duplicate_key_n,pit_universe_missing_key_n,pit_universe_joined_n,pit_universe_excluded_n,pit_universe_excluded_rate,exclusion_reason,pit_universe_name,pit_universe_date_key,pit_membership_rule_version,episode_regime_missing_event_fallback_n,path_regime_unresolved_missing_n,audit_status
injury_scope,injury_excluded_non_pit_universe,all,all,all,1555,1555,0,0,470682,470682,0,0,1092,1555,0.5874574990555346,injury_winner_not_matched_to_pit_filtered_profiling_scope,pit_largecap_main_chinext,usable_trade_date,,0,0,excluded_non_pit
injury_scope,injury_excluded_non_pit_universe,robustness,all,all,377,377,0,0,470682,470682,0,0,1092,1555,0.5874574990555346,injury_winner_not_matched_to_pit_filtered_profiling_scope,pit_largecap_main_chinext,usable_trade_date,,0,0,excluded_non_pit
injury_scope,injury_excluded_non_pit_universe,train,all,all,1092,1092,0,0,470682,470682,0,0,1092,1555,0.5874574990555346,injury_winner_not_matched_to_pit_filtered_profiling_scope,pit_largecap_main_chinext,usable_trade_date,,0,0,excluded_non_pit
injury_scope,injury_excluded_non_pit_universe,validation,all,all,86,86,0,0,470682,470682,0,0,1092,1555,0.5874574990555346,injury_winner_not_matched_to_pit_filtered_profiling_scope,pit_largecap_main_chinext,usable_trade_date,,0,0,excluded_non_pit
injury_scope,pit_filtered_injury_scope_winner,all,all,all,1092,1092,282,442,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,251,0,pass
injury_scope,pit_filtered_injury_scope_winner,all,risk_off,all,495,495,169,245,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,0,0,pass
injury_scope,pit_filtered_injury_scope_winner,all,risk_on,all,446,446,187,256,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,251,0,pass
injury_scope,pit_filtered_injury_scope_winner,all,transition,all,151,151,70,122,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,0,0,pass
injury_scope,pit_filtered_injury_scope_winner,robustness,all,all,618,618,196,183,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,153,0,pass
injury_scope,pit_filtered_injury_scope_winner,robustness,risk_off,all,294,294,105,115,470682,470682,0,0,1092,1555,0.5874574990555346,,pit_largecap_main_chinext,usable_trade_date,pit_largecap_akshare_qlib_v0,0,0,pass
