canonical_unit_id,horizon,split,robustness_confirmed
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,False
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,False
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,False
