canonical_unit_id,horizon,split,complete_event_count,complete_event_share,year_count,min_year_complete_event_count,sample_status,sample_gate_pass
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,1370,0.9474412171507607,5,59,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,602,0.9465408805031447,2,265,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,886,0.9385593220338984,2,441,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,1346,0.9308437067773168,5,58,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,592,0.9308176100628931,2,259,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,859,0.909957627118644,2,422,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,1301,0.8997233748271093,5,59,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,581,0.9135220125786163,2,254,sample_pass,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,843,0.8930084745762712,2,405,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,1372,0.9488243430152143,5,60,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,603,0.9481132075471698,2,265,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,886,0.9385593220338984,2,441,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,1357,0.9384508990318119,5,58,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,596,0.9371069182389937,2,262,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,864,0.9152542372881356,2,427,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,1320,0.9128630705394191,5,58,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,588,0.9245283018867925,2,260,sample_pass,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,843,0.8930084745762712,2,407,sample_pass,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,71,1.0,5,4,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,49,0.98,2,23,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,90,0.989010989010989,2,45,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,71,1.0,5,4,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,49,0.98,2,23,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,88,0.967032967032967,2,43,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,68,0.9577464788732394,5,4,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,47,0.94,2,23,blocked_insufficient_sample,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,88,0.967032967032967,2,43,blocked_insufficient_sample,False
