canonical_unit_id,horizon,split,horizon_pass,strongly_negative,adjacent_horizon_shape_status
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,False,False,not_applicable
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,False,False,not_applicable
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,False,False,not_applicable
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,False,False,not_applicable
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,False,False,not_applicable
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,False,False,not_applicable
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,False,False,adjacent_horizon_clean
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,False,False,adjacent_horizon_clean
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,False,False,adjacent_horizon_not_evaluable
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,False,False,adjacent_horizon_not_evaluable
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,False,False,adjacent_horizon_not_evaluable
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,False,False,not_applicable
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,False,False,not_applicable
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,False,False,not_applicable
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,False,False,adjacent_horizon_not_evaluable
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,False,False,adjacent_horizon_not_evaluable
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,False,False,adjacent_horizon_not_evaluable
