canonical_unit_id,split,right_tail_path_status,right_tail_status,event_count
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,censored_provider_end,censored_not_evaluable,24
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,complete_same_split_120d,hit_plus20_only,21
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,complete_same_split_120d,hit_plus50,10
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,complete_same_split_120d,no_hit_complete,35
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus20_only,1
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_cross_split_120d_readonly,no_hit_complete,5
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_same_split_120d,hit_plus20_only,14
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_same_split_120d,hit_plus50,5
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_same_split_120d,no_hit_complete,46
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus20_only,6
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus50,1
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_cross_split_120d_readonly,no_hit_complete,6
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_same_split_120d,hit_plus20_only,3
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_same_split_120d,hit_plus50,1
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_same_split_120d,no_hit_complete,32
r01_launch_breakout_money_surge_fast_fail_v0,robustness,censored_provider_end,censored_not_evaluable,292
r01_launch_breakout_money_surge_fast_fail_v0,robustness,complete_same_split_120d,hit_plus20_only,160
r01_launch_breakout_money_surge_fast_fail_v0,robustness,complete_same_split_120d,hit_plus50,66
r01_launch_breakout_money_surge_fast_fail_v0,robustness,complete_same_split_120d,no_hit_complete,369
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_cross_split_120d_readonly,hit_plus20_only,44
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_cross_split_120d_readonly,hit_plus50,18
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_cross_split_120d_readonly,no_hit_complete,153
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_same_split_120d,hit_plus20_only,332
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_same_split_120d,hit_plus50,203
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_same_split_120d,no_hit_complete,625
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_cross_split_120d_readonly,hit_plus20_only,11
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_cross_split_120d_readonly,hit_plus50,8
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_cross_split_120d_readonly,no_hit_complete,88
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_same_split_120d,hit_plus20_only,99
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_same_split_120d,hit_plus50,36
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_same_split_120d,no_hit_complete,363
r01_launch_breakout_money_surge_natural_exit_v0,robustness,censored_provider_end,censored_not_evaluable,295
r01_launch_breakout_money_surge_natural_exit_v0,robustness,complete_same_split_120d,hit_plus20_only,161
r01_launch_breakout_money_surge_natural_exit_v0,robustness,complete_same_split_120d,hit_plus50,66
r01_launch_breakout_money_surge_natural_exit_v0,robustness,complete_same_split_120d,no_hit_complete,374
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus20_only,45
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus50,18
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_cross_split_120d_readonly,no_hit_complete,153
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_same_split_120d,hit_plus20_only,334
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_same_split_120d,hit_plus50,206
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_same_split_120d,no_hit_complete,627
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus20_only,11
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus50,8
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_cross_split_120d_readonly,no_hit_complete,88
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_same_split_120d,hit_plus20_only,100
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_same_split_120d,hit_plus50,37
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_same_split_120d,no_hit_complete,365
