split,market_state,beta_bucket,row_count
provider_tail,mixed,high_beta,2131
provider_tail,mixed,low_beta,3412
provider_tail,mixed,mid_beta,1321
provider_tail,risk_off,high_beta,4899
provider_tail,risk_off,low_beta,6096
provider_tail,risk_off,mid_beta,2733
provider_tail,risk_on,high_beta,6581
provider_tail,risk_on,low_beta,9407
provider_tail,risk_on,mid_beta,4060
provider_tail,risk_on,unknown,5
robustness,mixed,high_beta,17719
robustness,mixed,low_beta,12636
robustness,mixed,mid_beta,14554
robustness,mixed,unknown,79
robustness,risk_off,high_beta,37682
robustness,risk_off,low_beta,22355
robustness,risk_off,mid_beta,22410
robustness,risk_off,unknown,159
robustness,risk_on,high_beta,50420
robustness,risk_on,low_beta,36312
robustness,risk_on,mid_beta,42108
robustness,risk_on,unknown,259
train,mixed,high_beta,33044
train,mixed,low_beta,35259
train,mixed,mid_beta,32149
train,mixed,unknown,9703
train,risk_off,high_beta,58331
train,risk_off,low_beta,64674
train,risk_off,mid_beta,57309
train,risk_off,unknown,4592
train,risk_on,high_beta,69876
train,risk_on,low_beta,61318
train,risk_on,mid_beta,71792
train,risk_on,unknown,23188
train,unknown,unknown,27142
validation,mixed,high_beta,9704
validation,mixed,low_beta,14098
validation,mixed,mid_beta,14175
validation,mixed,unknown,140
validation,risk_off,high_beta,42297
validation,risk_off,low_beta,61480
validation,risk_off,mid_beta,57397
validation,risk_off,unknown,703
validation,risk_on,high_beta,14148
validation,risk_on,low_beta,21452
validation,risk_on,mid_beta,20300
validation,risk_on,unknown,212
