artifact_role,artifact_path,required,exists,sha256,row_count,status,notes
qlib_provider_uri,data/qlib/cn_data_pit,True,True,47ef0244360c692ffd65f45e2294b97d0906e6298fd6901305bc4db3b60dfb7e,3783,present,
pit_universe_path,data/universe/pit_mcap500_mainboard_daily.csv,True,True,33e037afb7f75c2f64ff6a7a6f205f164f1ba90d61b09976b670c9d3930a3a80,439140,present,
pit_qlib_instrument_universe_path,data/universe/pit_qlib_instrument_universe.csv,True,True,130fb70caa6c0930728af9981e973161e23ee5eac33135b73a130194258835b7,539,present,
pit_industry_path,data/targets/pit_industry_membership.csv,True,True,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,439140,present,
trading_calendar_path,data/qlib/cn_data_pit/calendars/day.txt,True,True,b01cae7c1ea91933e7daddfc5c71847ee5cd5b26d6c49583b95fec4e49e590ad,2263,present,
qlib_instrument_path,data/qlib/cn_data_pit/instruments/pit_mcap500_mainboard.txt,True,True,64510858d1833d469956abdbd182b60ca40bfb3b89407a42c40e95ba7468106d,539,present,
requirement_path,ep5/requirement_01_short_horizon_local_feasibility_probe_v1.md,True,True,bebd15aa2f85b97c6d5129997646ec33023690c33129f7089aa6f4abc3d06d5e,0,present,
config_path,ep5/configs/r01_short_horizon_local_feasibility_probe_v1.yaml,True,True,2368ffa84af6f2b6e5d23838e48cf8f2eedd71415efb6097b04f3600b97bb1bb,0,present,
