canonical_unit_id,horizon,split,matched_comparator_status,event_count
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,blocked_insufficient_comparator,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,comparable,87
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,comparable,71
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,comparable,49
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,blocked_insufficient_comparator,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,comparable,87
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,comparable,68
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,comparable,47
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,blocked_insufficient_comparator,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,comparable,89
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,comparable,71
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,comparable,49
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,comparable,843
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,blocked_insufficient_comparator,1
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,comparable,1356
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,comparable,596
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,comparable,822
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,comparable,1320
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,comparable,588
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,comparable,865
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,comparable,1372
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,comparable,603
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,comparable,838
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,blocked_insufficient_comparator,1
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,comparable,1345
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,comparable,592
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,comparable,822
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,comparable,1301
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,comparable,581
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,blocked_insufficient_comparator,21
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,comparable,865
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,comparable,1370
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,comparable,602
