left_unit,right_unit,left_event_count,right_event_count,overlap_count,overlap_share_of_left,selection_used
r01_launch_breakout_money_surge_natural_exit_v0,r01_launch_breakout_money_surge_natural_exit_v0,3026,3026,3026,1.0,False
r01_launch_breakout_money_surge_natural_exit_v0,r01_launch_breakout_money_surge_fast_fail_v0,3026,3026,3026,1.0,False
r01_launch_breakout_money_surge_natural_exit_v0,r01_base_breakout_vcp_sparse_natural_exit_v0,3026,212,4,0.0013218770654329147,False
r01_launch_breakout_money_surge_fast_fail_v0,r01_launch_breakout_money_surge_natural_exit_v0,3026,3026,3026,1.0,False
r01_launch_breakout_money_surge_fast_fail_v0,r01_launch_breakout_money_surge_fast_fail_v0,3026,3026,3026,1.0,False
r01_launch_breakout_money_surge_fast_fail_v0,r01_base_breakout_vcp_sparse_natural_exit_v0,3026,212,4,0.0013218770654329147,False
r01_base_breakout_vcp_sparse_natural_exit_v0,r01_launch_breakout_money_surge_natural_exit_v0,212,3026,4,0.018867924528301886,False
r01_base_breakout_vcp_sparse_natural_exit_v0,r01_launch_breakout_money_surge_fast_fail_v0,212,3026,4,0.018867924528301886,False
r01_base_breakout_vcp_sparse_natural_exit_v0,r01_base_breakout_vcp_sparse_natural_exit_v0,212,212,212,1.0,False
