canonical_unit_id,unit_role,horizon,split,signal_event_count,entry_executable_count,complete_event_count,blocked_event_count,complete_event_share,mean_gross_return,mean_net_return,median_net_return,p10_net_return,p25_net_return,p75_net_return,p90_net_return,loss_rate,relative_comparable_event_share,blocked_insufficient_comparator_count,fallback_comparator_share,mean_matched_delta_return,median_matched_delta_return,p10_matched_delta_return,matched_loss_rate_delta,matched_comparator_count_mean,matched_comparator_scope_same_industry_same_liquidity_share,matched_comparator_scope_same_industry_only_share,matched_comparator_scope_same_liquidity_only_share,matched_comparator_scope_same_day_pit_universe_share,same_day_universe_delta_mean,industry_only_delta_mean,liquidity_only_delta_mean,SH000300_delta_mean,top1_instrument_event_share,top5_instrument_event_share,top1_industry_event_share,top5_industry_event_share,top1_entry_date_event_share,year_count,min_year_complete_event_count,sample_status,sample_gate_pass,concentration_gate_pass,absolute_positive,relative_positive,weak_comparator_quality,horizon_pass,strongly_negative,adjacent_horizon_shape_status,robustness_confirmed
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H5,validation,636,624,602,34,0.9465408805031447,0.00026787164634185654,-0.010702164832331783,-0.015922348934701624,-0.06913003636544415,-0.04523674562987315,0.017965469693107528,0.05112339388871322,0.632890365448505,1.0,0,0.0,0.003510398169273628,-0.001303235609685427,-0.05194957942383367,-0.12956810631229243,44.22093023255814,0.0,0.0,1.0,0.0,0.0034756814475537206,0.00222444412469536,0.003510398169273628,,0.008305647840531562,0.04152823920265781,0.12790697674418605,0.3687707641196013,0.03156146179401993,2,265,sample_pass,False,True,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H5,robustness,944,922,886,58,0.9385593220338984,-0.0014561240177771765,-0.01240725326583735,-0.018326500378134825,-0.09211833733551905,-0.0552484944002746,0.014500461884405014,0.06927607762226329,0.6523702031602708,0.9762979683972912,21,0.023702031602708805,0.0003751433302849111,-0.007346607697743757,-0.05984968937640895,-0.02196531791907519,44.082392776523704,0.0,0.0,0.9762979683972912,0.023702031602708805,0.00032145007514007405,-0.00012728352870072486,0.0006386568605245104,,0.009029345372460496,0.040632054176072234,0.11173814898419865,0.40857787810383744,0.09932279909706546,2,441,sample_pass,False,False,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H10,validation,636,624,592,44,0.9308176100628931,0.0027285699921196825,-0.0082684532081926,-0.01520976586373085,-0.08793964269231012,-0.0552904302706706,0.028708184987195073,0.08548516844190981,0.6047297297297297,1.0,0,0.0,0.00742127685018369,0.0008344171383304344,-0.06906061643967346,-0.09121621621621623,43.923986486486484,0.0,0.0,1.0,0.0,0.007381765192255889,0.005314722523986612,0.00742127685018369,,0.008445945945945946,0.04222972972972973,0.13006756756756757,0.3716216216216216,0.03209459459459459,2,259,sample_pass,False,True,False,False,False,False,False,not_applicable,False
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H10,robustness,944,922,859,85,0.909957627118644,0.0005134443593045062,-0.01045928533955117,-0.021915791812657792,-0.10231116957701153,-0.05998666027940158,0.025933165496435873,0.09240712768368155,0.6367869615832363,0.9755529685681025,21,0.024447031431897557,-0.0007798403423841358,-0.009413996981454953,-0.08014944984890353,0.039379474940334225,43.81955762514552,0.0,0.0,0.9755529685681025,0.024447031431897557,-0.0017837658825986906,-0.001328189627663381,-0.0005453247319494032,,0.009313154831199068,0.04074505238649592,0.1140861466821886,0.409778812572759,0.10244470314318975,2,422,sample_pass,False,False,False,False,False,False,False,not_applicable,False
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H20,validation,636,624,581,55,0.9135220125786163,-0.006878734952077324,-0.01777039389078824,-0.029237422793397694,-0.13600002950268464,-0.08246064201444059,0.03135239346163021,0.10094782417067671,0.6402753872633391,1.0,0,0.0,0.004366925837623879,-0.006775550430959787,-0.0992608018333303,-0.099827882960413,43.30981067125646,0.0,0.0,1.0,0.0,0.0037942568156913467,0.003149012534524301,0.004366925837623879,,0.008605851979345954,0.043029259896729774,0.13080895008605853,0.37349397590361444,0.03270223752151463,2,254,sample_pass,False,True,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_natural_exit_v0,primary short-horizon exposure unit,H20,robustness,944,922,843,101,0.8930084745762712,0.018887655986441217,0.0077134144950646005,-0.013351801607723868,-0.11364188051392188,-0.06686922937156187,0.058320110208126996,0.15005716063850466,0.5599051008303677,0.9750889679715302,21,0.02491103202846975,0.002992223880239241,-0.01383187690024662,-0.10669359694641743,0.06326034063260344,43.530249110320284,0.0,0.0,0.9750889679715302,0.02491103202846975,0.0026859289271927494,-0.0005036025139063065,0.0033360431017743983,,0.009489916963226572,0.04033214709371293,0.1162514827995255,0.41162514827995256,0.10676156583629894,2,405,sample_pass,False,False,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_fast_fail_v0,secondary loss-control variant,H5,validation,636,624,603,33,0.9481132075471698,-0.00034345632511759193,-0.011306788309587788,-0.016191803712935826,-0.07598100306868809,-0.04723630549381347,0.01791354298488579,0.05106940168364597,0.6351575456053068,1.0,0,0.0,0.0028050223190898256,-0.001710769944825774,-0.053068034374732016,-0.13101160862354888,44.230514096185736,0.0,0.0,1.0,0.0,0.00283230479530596,0.0020126462683864254,0.0028050223190898256,,0.008291873963515755,0.04145936981757877,0.12769485903814262,0.36981757877280264,0.03150912106135987,2,265,sample_pass,False,True,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_fast_fail_v0,secondary loss-control variant,H5,robustness,944,922,886,58,0.9385593220338984,-0.000880175322392529,-0.01183762105664336,-0.01942219667466738,-0.0871801445352911,-0.0600142505687489,0.01408423227092187,0.06666724790955314,0.6557562076749436,0.9762979683972912,21,0.023702031602708805,-0.0005460921455851077,-0.009211190771648559,-0.057571543444167525,-0.030057803468208077,44.159142212189614,0.0,0.0,0.9762979683972912,0.023702031602708805,-0.0008226173312017067,-0.0010599379042947937,-0.0005949063957829341,,0.009029345372460496,0.040632054176072234,0.11173814898419865,0.40857787810383744,0.0981941309255079,2,441,sample_pass,False,False,False,False,False,False,False,adjacent_horizon_clean,False
r01_launch_breakout_money_surge_fast_fail_v0,secondary loss-control variant,H10,validation,636,624,596,40,0.9371069182389937,0.0011619030637429308,-0.009817938345729726,-0.02234957613643901,-0.08665038462619945,-0.0677055813699958,0.026227960212190704,0.0832395268279067,0.62248322147651,1.0,0,0.0,0.005573122226544395,-0.00786173257012307,-0.06644887419015422,-0.09228187919463093,44.00335570469799,0.0,0.0,1.0,0.0,0.005842490893549107,0.004026532546777381,0.005573122226544395,,0.008389261744966443,0.04194630872483222,0.12919463087248323,0.37080536912751677,0.031879194630872486,2,262,sample_pass,False,True,False,False,False,False,False,not_applicable,False
r01_launch_breakout_money_surge_fast_fail_v0,secondary loss-control variant,H10,robustness,944,922,864,80,0.9152542372881356,-0.002713525443378021,-0.01365086464589321,-0.02750550549160924,-0.09137201661987172,-0.07482317593312768,0.022861951787517043,0.0884390799189943,0.6574074074074074,0.9756944444444444,21,0.024305555555555556,-0.0020719956663181626,-0.013442689776547723,-0.07316724154385543,0.022538552787663146,43.86226851851852,0.0,0.0,0.9756944444444444,0.024305555555555556,-0.0032890327556947896,-0.0020393519695483236,-0.002084964939165246,,0.009259259259259259,0.04050925925925926,0.11226851851851852,0.4097222222222222,0.10069444444444445,2,427,sample_pass,False,False,False,False,False,False,False,not_applicable,False
