feature_name,row_count,non_null_count,pit_member_non_null_count,status
rolling_min_close_60_prev,1101821,1032283,423098,present
rolling_max_close_60_prev,1101821,1032283,423098,present
money_ma20_prev,1101821,1071841,433703,present
history_ok,1101821,1101821,439140,present
base_high_20_prev,1101821,1071841,433703,present
base_low_20_prev,1101821,1071841,433703,present
base_drawdown_pct,1101821,1071841,433703,present
breakout_ret_pct,1101821,1071337,433703,present
pre_base_vol20,1101821,1070803,433431,present
recent_vol10,1101821,1081804,436434,present
vol_contraction_ratio,1101821,1070302,433431,present
ma20,1101821,1072375,433978,present
atr20_pct,1101821,1072375,433978,present
money_ratio5_to20,1101821,1072375,433978,present
avg_money20_rank_pct,1101821,433978,433978,present
