canonical_unit_id,raw_formula_hit_count,post_collapse_event_count,dropped_duplicate_episode_member_count,blocked_formula_row_count
r01_base_breakout_vcp_sparse_natural_exit_v0,269,212,57,0
r01_launch_breakout_money_surge_fast_fail_v0,6875,3026,3849,0
r01_launch_breakout_money_surge_natural_exit_v0,6875,3026,3849,0
