canonical_unit_id,horizon,split,signal_event_count,complete_event_count,blocked_event_count,complete_event_share
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,91,88,3,0.967032967032967
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,71,71,0,1.0
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,50,49,1,0.98
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,91,88,3,0.967032967032967
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,71,68,3,0.9577464788732394
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,50,47,3,0.94
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,91,90,1,0.989010989010989
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,71,71,0,1.0
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,50,49,1,0.98
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,944,864,80,0.9152542372881356
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,1446,1357,89,0.9384508990318119
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,636,596,40,0.9371069182389937
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,944,843,101,0.8930084745762712
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,1446,1320,126,0.9128630705394191
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,636,588,48,0.9245283018867925
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,944,886,58,0.9385593220338984
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,1446,1372,74,0.9488243430152143
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,636,603,33,0.9481132075471698
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,944,859,85,0.909957627118644
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,1446,1346,100,0.9308437067773168
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,636,592,44,0.9308176100628931
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,944,843,101,0.8930084745762712
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,1446,1301,145,0.8997233748271093
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,636,581,55,0.9135220125786163
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,944,886,58,0.9385593220338984
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,1446,1370,76,0.9474412171507607
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,636,602,34,0.9465408805031447
