canonical_unit_id,horizon,split,primary_comparator_scope,event_count
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,same_day_pit_universe,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,same_liquidity_only,87
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,same_day_pit_universe,38
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,same_liquidity_only,33
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,same_liquidity_only,49
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,same_day_pit_universe,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,same_liquidity_only,87
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,same_day_pit_universe,39
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,same_liquidity_only,29
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,same_liquidity_only,47
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,same_day_pit_universe,1
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,same_liquidity_only,89
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,same_day_pit_universe,33
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,same_liquidity_only,38
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,same_liquidity_only,49
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,same_liquidity_only,843
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,same_day_pit_universe,424
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,same_liquidity_only,933
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,same_liquidity_only,596
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,same_liquidity_only,822
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,same_day_pit_universe,451
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,same_liquidity_only,869
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,same_liquidity_only,588
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,same_liquidity_only,865
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,same_day_pit_universe,408
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,same_liquidity_only,964
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,same_liquidity_only,603
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,same_liquidity_only,838
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,same_day_pit_universe,434
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,same_liquidity_only,912
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,same_liquidity_only,592
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,same_liquidity_only,822
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,same_day_pit_universe,469
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,same_liquidity_only,832
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,same_liquidity_only,581
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,same_day_pit_universe,21
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,same_liquidity_only,865
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,same_day_pit_universe,412
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,same_liquidity_only,958
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,same_liquidity_only,602
