canonical_unit_id,split,right_tail_path_status,event_count
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,censored_provider_end,24
r01_base_breakout_vcp_sparse_natural_exit_v0,robustness,complete_same_split_120d,66
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_cross_split_120d_readonly,6
r01_base_breakout_vcp_sparse_natural_exit_v0,train,complete_same_split_120d,65
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_cross_split_120d_readonly,13
r01_base_breakout_vcp_sparse_natural_exit_v0,validation,complete_same_split_120d,36
r01_launch_breakout_money_surge_fast_fail_v0,robustness,censored_provider_end,292
r01_launch_breakout_money_surge_fast_fail_v0,robustness,complete_same_split_120d,595
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_cross_split_120d_readonly,215
r01_launch_breakout_money_surge_fast_fail_v0,train,complete_same_split_120d,1160
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_cross_split_120d_readonly,107
r01_launch_breakout_money_surge_fast_fail_v0,validation,complete_same_split_120d,498
r01_launch_breakout_money_surge_natural_exit_v0,robustness,censored_provider_end,295
r01_launch_breakout_money_surge_natural_exit_v0,robustness,complete_same_split_120d,601
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_cross_split_120d_readonly,216
r01_launch_breakout_money_surge_natural_exit_v0,train,complete_same_split_120d,1167
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_cross_split_120d_readonly,107
r01_launch_breakout_money_surge_natural_exit_v0,validation,complete_same_split_120d,502
