canonical_unit_id,horizon,split,blocked_reason,blocked_count,signal_event_count,blocked_share
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,split_boundary,3,91,0.03296703296703297
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,split_boundary,1,50,0.02
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,split_boundary,3,91,0.03296703296703297
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,split_boundary,3,71,0.04225352112676056
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,split_boundary,3,50,0.06
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,split_boundary,1,91,0.01098901098901099
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,split_boundary,1,50,0.02
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,not_universe_member,54,944,0.057203389830508475
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,split_boundary,26,944,0.02754237288135593
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,missing_exit_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,not_universe_member,73,1446,0.050484094052558784
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,split_boundary,14,1446,0.009681881051175657
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,not_universe_member,33,636,0.05188679245283019
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,split_boundary,7,636,0.0110062893081761
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,missing_exit_open,1,944,0.001059322033898305
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,not_universe_member,60,944,0.0635593220338983
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,split_boundary,40,944,0.0423728813559322
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,missing_exit_open,2,1446,0.0013831258644536654
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,not_universe_member,90,1446,0.06224066390041494
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,split_boundary,33,1446,0.022821576763485476
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,not_universe_member,36,636,0.05660377358490566
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,split_boundary,12,636,0.018867924528301886
