canonical_unit_id,horizon,split,top1_instrument_event_share,top5_instrument_event_share,top1_industry_event_share,top1_entry_date_event_share,fallback_comparator_share,concentration_gate_pass
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,0.008029197080291971,0.03941605839416058,0.10948905109489052,0.04817518248175182,0.3007299270072993,False
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,0.008305647840531562,0.04152823920265781,0.12790697674418605,0.03156146179401993,0.0,True
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,0.009029345372460496,0.040632054176072234,0.11173814898419865,0.09932279909706546,0.023702031602708805,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,0.008172362555720654,0.04011887072808321,0.10921248142644874,0.04903417533432392,0.3224368499257058,False
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,0.008445945945945946,0.04222972972972973,0.13006756756756757,0.03209459459459459,0.0,True
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,0.009313154831199068,0.04074505238649592,0.1140861466821886,0.10244470314318975,0.024447031431897557,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,0.008455034588777863,0.04073789392774789,0.11068408916218293,0.05149884704073789,0.36049192928516527,False
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,0.008605851979345954,0.043029259896729774,0.13080895008605853,0.03270223752151463,0.0,True
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,0.009489916963226572,0.04033214709371293,0.1162514827995255,0.10676156583629894,0.02491103202846975,False
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,0.008017492711370262,0.03935860058309038,0.10932944606413994,0.048104956268221574,0.29737609329446063,True
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,0.008291873963515755,0.04145936981757877,0.12769485903814262,0.03150912106135987,0.0,True
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,0.009029345372460496,0.040632054176072234,0.11173814898419865,0.0981941309255079,0.023702031602708805,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,train,0.008106116433308769,0.0397936624907885,0.10906411201179071,0.04863669859985262,0.3124539425202653,False
r01_launch_breakout_money_surge_fast_fail_v0,H10,validation,0.008389261744966443,0.04194630872483222,0.12919463087248323,0.031879194630872486,0.0,True
r01_launch_breakout_money_surge_fast_fail_v0,H10,robustness,0.009259259259259259,0.04050925925925926,0.11226851851851852,0.10069444444444445,0.024305555555555556,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,train,0.008333333333333333,0.04090909090909091,0.11136363636363636,0.05,0.3416666666666667,False
r01_launch_breakout_money_surge_fast_fail_v0,H20,validation,0.008503401360544218,0.04251700680272109,0.13095238095238096,0.03231292517006803,0.0,True
r01_launch_breakout_money_surge_fast_fail_v0,H20,robustness,0.009489916963226572,0.04033214709371293,0.11150652431791222,0.10320284697508897,0.02491103202846975,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,train,0.056338028169014086,0.23943661971830985,0.19718309859154928,0.04225352112676056,0.4647887323943662,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,validation,0.04081632653061224,0.20408163265306123,0.2857142857142857,0.061224489795918366,0.0,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H5,robustness,0.03333333333333333,0.14444444444444443,0.2777777777777778,0.05555555555555555,0.011111111111111112,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,train,0.056338028169014086,0.23943661971830985,0.19718309859154928,0.04225352112676056,0.5352112676056338,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,validation,0.04081632653061224,0.20408163265306123,0.2857142857142857,0.061224489795918366,0.0,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H10,robustness,0.03409090909090909,0.14772727272727273,0.2840909090909091,0.056818181818181816,0.011363636363636364,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,train,0.058823529411764705,0.25,0.19117647058823528,0.04411764705882353,0.5735294117647058,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,validation,0.0425531914893617,0.2127659574468085,0.2765957446808511,0.06382978723404255,0.0,False
r01_base_breakout_vcp_sparse_natural_exit_v0,H20,robustness,0.03409090909090909,0.14772727272727273,0.2840909090909091,0.056818181818181816,0.011363636363636364,False
