instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH600221,2025-01-02,2025-01-03,2025-01-03,ema_state,28600,1.659999966621399,47475.99904537201,23.737999522686007,2025-01-03,2025-01-06,1.5800000429153442,45188.001227378845,67.78200184106826,-2287.997817993164,-2379.5178193569213,1.527199969291687,1.527199969291687,0.13279999732971182,ema60_exit,3,-0.04819272609316896,-0.05009538930937458
SZ002738,2025-01-07,2025-01-08,2025-01-08,ema_state,1300,35.47999954223633,46123.99940490723,23.061999702453615,2025-01-08,2025-01-09,34.61000061035156,44993.00079345703,67.48950119018555,-1130.9986114501953,-1221.5501123428317,32.641599578857424,32.641599578857424,2.8383999633789045,ema60_exit,1,-0.0245208270323988,-0.02647081038665681
SZ000100,2025-01-03,2025-01-06,2025-01-06,ema_state,9700,4.840000152587891,46948.00148010254,23.47400074005127,2025-01-10,2025-01-13,4.679999828338623,45395.99833488464,68.09399750232697,-1552.0031452178955,-1643.5711434602752,4.45280014038086,4.45280014038086,0.38720001220703093,ema60_exit,7,-0.03305791719112185,-0.03499083489788624
SH600887,2025-01-07,2025-01-08,2025-01-08,ema_state,1700,27.31999969482422,46443.99948120117,23.221999740600587,2025-01-10,2025-01-13,26.84000015258789,45628.000259399414,68.44200038909912,-815.9992218017578,-907.6632219314575,25.13439971923828,25.13439971923828,2.185599975585937,ema60_exit,5,-0.017569529560692645,-0.01953340856207057
SZ000725,2025-01-07,2025-01-08,2025-01-08,ema_state,2300,4.320000171661377,9936.000394821167,5.0,2025-01-10,2025-01-13,4.130000114440918,9499.000263214111,14.248500394821168,-437.00013160705566,-456.2486320018761,3.974400157928467,3.974400157928467,0.34560001373291005,ema60_exit,5,-0.04398149297929059,-0.04589564569774708
SH601229,2025-01-02,2025-01-03,2025-01-03,ema_state,5500,8.550000190734863,47025.00104904175,23.512500524520874,2025-01-13,2025-01-14,8.300000190734863,45650.00104904175,68.47500157356262,-1375.0,-1466.9875020980835,7.866000175476074,7.866000175476074,0.6840000152587891,time_stop,11,-0.029239765429585653,-0.03118031562362946
SZ002602,2025-01-02,2025-01-03,2025-01-03,ema_state,2000,4.960000038146973,9920.000076293945,5.0,2025-01-13,2025-01-14,4.690000057220459,9380.000114440918,14.070000171661377,-539.9999618530273,-559.0699620246887,4.563200035095215,4.563200035095215,0.3968000030517578,time_stop,11,-0.05443547960684777,-0.05632946677351047
SH600016,2025-01-07,2025-01-08,2025-01-08,ema_state,12200,3.890000104904175,47458.00127983093,23.729000639915466,2025-01-13,2025-01-14,3.7699999809265137,45993.99976730347,68.9909996509552,-1464.0015125274658,-1556.7215128183336,3.578800096511841,3.578800096511841,0.31120000839233386,ema60_exit,6,-0.030848360087799325,-0.032785694700317405
SZ002938,2025-01-07,2025-01-08,2025-01-08,ema_state,1300,36.220001220703125,47086.00158691406,23.543000793457033,2025-01-13,2025-01-14,34.15999984741211,44407.99980163574,66.61199970245362,-2678.0017852783203,-2768.156785774228,33.32240112304687,33.32240112304687,2.8976000976562517,ema60_exit,6,-0.05687469088525408,-0.05875999884950139
SH600919,2025-01-02,2025-01-03,2025-01-03,ema_state,5200,8.989999771118164,46747.99880981445,23.373999404907227,2025-01-14,2025-01-15,8.960000038146973,46592.00019836426,69.88800029754638,-155.9986114501953,-249.26061115265185,8.270799789428711,8.270799789428711,0.719199981689453,time_stop,12,-0.003337011538929114,-0.00532934135094531
SH605499,2025-01-03,2025-01-06,2025-01-06,ema_state,100,241.80999755859375,24180.999755859375,12.090499877929688,2025-01-16,2025-01-17,230.30999755859375,23030.999755859375,34.54649963378906,-1150.0,-1196.6369995117202,222.46519775390627,222.46519775390627,19.344799804687483,time_stop,11,-0.04755800056287333,-0.049461932595731214
SH601728,2025-01-06,2025-01-07,2025-01-07,ema_state,7000,6.739999771118164,47179.99839782715,23.589999198913574,2025-01-17,2025-01-20,6.699999809265137,46899.99866485596,70.34999799728394,-279.9997329711914,-373.9397301673889,6.200799789428711,6.200799789428711,0.5391999816894533,time_stop,13,-0.00593471264263728,-0.0079218496488489
