split,calendar_month,grouping,J,K,skip_mode,active_vintage_count,complete_vintage_return_count,portfolio_month_status,loser_return,winner_return,contrarian_return,momentum_return,buy_turnover,sell_turnover,turnover,after_cost_return,loser_long_only_buy_turnover,loser_long_only_sell_turnover,loser_long_only_after_cost_return,terminal_settlement_turnover_included,combined_weight_policy,requires_short_exposure
robustness,2024-01,decile,1,1,no_skip,1,1,complete,-0.10118123397660586,-0.09508919033451364,-0.006092043642092218,0.006092043642092218,1.0000000000000004,1.0000000000000002,2.000000000000001,-0.01709204364209222,1.0000000000000004,0.0,-0.10418123397660586,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-02,decile,1,1,no_skip,1,1,complete,0.16692441464146482,0.0279569405430856,0.13896747409837923,-0.13896747409837923,1.8071428571428572,1.807142857142858,3.614285714285715,0.11908890266980779,0.857142857142857,0.8571428571428574,0.1574958432128934,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-03,decile,1,1,no_skip,1,1,complete,0.029030146446416966,0.03919533877505488,-0.010165192328637912,0.010165192328637912,1.9523809523809532,1.952380952380952,3.904761904761905,-0.03164138280482839,0.9523809523809528,0.9523809523809521,0.018553955970226493,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-04,decile,1,1,no_skip,1,1,complete,0.005247576441625934,0.008954364289708253,-0.0037067878480823192,0.0037067878480823192,1.7164502164502164,1.7164502164502171,3.432900432900434,-0.022587740229034706,0.9545454545454543,0.9545454545454548,-0.005252423558374068,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-05,decile,1,1,no_skip,1,1,complete,0.018784797146421218,0.008120434239492007,0.01066436290692921,-0.01066436290692921,1.780632411067194,1.7806324110671925,3.5612648221343868,-0.00892259361480991,0.8260869565217388,0.8260869565217389,0.009697840624682088,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-06,decile,1,1,no_skip,1,1,complete,-0.050019415908374394,-0.020848329667238586,-0.029171086241135808,0.029171086241135808,1.7786561264822127,1.7786561264822125,3.557312252964425,-0.04873630363244015,0.869565217391304,0.869565217391304,-0.05958463329967874,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-07,decile,1,1,no_skip,1,1,complete,-0.019922861115554788,-0.013872752428880308,-0.00605010868667448,0.00605010868667448,1.7351778656126473,1.7351778656126484,3.470355731225296,-0.02513706520841361,0.8260869565217389,0.8260869565217388,-0.029009817637293916,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-08,decile,1,1,no_skip,1,1,complete,-0.052545222461549995,-0.06627206553935092,0.013726843077800921,-0.013726843077800921,1.816017316017317,1.8160173160173163,3.6320346320346335,-0.0062493473983895615,0.8636363636363638,0.8636363636363634,-0.06204522246154999,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-09,decile,1,1,no_skip,1,1,complete,0.19751341627030544,0.17524983887716541,0.022263577393140027,-0.022263577393140027,1.8095238095238104,1.8095238095238098,3.6190476190476204,0.0023588154883781177,0.904761904761905,0.9047619047619051,0.18756103531792448,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
robustness,2024-10,decile,1,1,no_skip,1,1,complete,-0.049619865002439555,0.0020517469941101004,-0.051671611996549655,0.051671611996549655,1.9130434782608696,1.9130434782608694,3.8260869565217392,-0.07271509025741922,0.9999999999999996,1.0000000000000002,-0.06061986500243955,False,combined_weight_i_h = active_vintage_count^-1 * sum_active signed_leg_weight_i,True
