vintage_id,signal_month,first_holding_month,final_holding_month,split,grouping,J,K,skip_mode,vintage_month_count,expected_vintage_month_count,loser_cumulative_return,winner_cumulative_return,contrarian_cumulative_spread,momentum_cumulative_spread,vintage_holding_status,block_reason
decile_J12_K12_no_skip_2018-06,2018-06,2018-07,2019-06,train,decile,12,12,no_skip,12,12,0.28747757261706997,0.11432460578501136,0.1731529668320586,-0.1731529668320586,complete,
decile_J12_K12_no_skip_2018-07,2018-07,2018-08,2019-07,train,decile,12,12,no_skip,12,12,0.23864425625297003,0.2133629267339121,0.025281329519057927,-0.025281329519057927,complete,
decile_J12_K12_no_skip_2018-08,2018-08,2018-09,2019-08,train,decile,12,12,no_skip,12,12,0.16295243646993396,0.21683295598899988,-0.05388051951906592,0.05388051951906592,complete,
decile_J12_K12_no_skip_2018-09,2018-09,2018-10,2019-09,train,decile,12,12,no_skip,12,12,0.2095329199521685,0.2405077600869847,-0.030974840134816217,0.030974840134816217,complete,
decile_J12_K12_no_skip_2019-01,2019-01,2019-02,2020-01,train,decile,12,12,no_skip,12,12,0.23835451496990934,0.3594061775433277,-0.12105166257341837,0.12105166257341837,complete,
decile_J12_K12_no_skip_2019-02,2019-02,2019-03,2020-02,train,decile,12,12,no_skip,12,12,-0.06943883138551599,0.32039603844905784,-0.3898348698345738,0.3898348698345738,complete,
decile_J12_K12_no_skip_2019-03,2019-03,2019-04,2020-03,train,decile,12,12,no_skip,12,12,-0.07745439673515309,0.28734724526130884,-0.3648016419964619,0.3648016419964619,complete,
decile_J12_K12_no_skip_2019-04,2019-04,2019-05,2020-04,train,decile,12,12,no_skip,12,12,-0.004644081442126469,0.32386304773540564,-0.3285071291775321,0.3285071291775321,complete,
decile_J12_K12_no_skip_2019-05,2019-05,2019-06,2020-05,train,decile,12,12,no_skip,12,12,0.010046665694122492,0.4635570047307509,-0.4535103390366284,0.4535103390366284,complete,
decile_J12_K12_no_skip_2019-06,2019-06,2019-07,2020-06,train,decile,12,12,no_skip,12,12,0.10551253121792903,0.49253137941254566,-0.3870188481946166,0.3870188481946166,complete,
decile_J12_K12_no_skip_2019-07,2019-07,2019-08,2020-07,train,decile,12,12,no_skip,12,12,0.11628413218703182,0.8660748702349377,-0.7497907380479059,0.7497907380479059,complete,
decile_J12_K12_no_skip_2019-08,2019-08,2019-09,2020-08,train,decile,12,12,no_skip,12,12,-0.019357049593992537,0.793631547271332,-0.8129885968653245,0.8129885968653245,complete,
decile_J12_K12_no_skip_2019-09,2019-09,2019-10,2020-09,train,decile,12,12,no_skip,12,12,0.007778548919539219,0.7704098850179975,-0.7626313360984582,0.7626313360984582,complete,
decile_J12_K12_no_skip_2019-10,2019-10,2019-11,2020-10,train,decile,12,12,no_skip,12,12,-0.08406462592288377,0.7099504098488467,-0.7940150357717305,0.7940150357717305,complete,
decile_J12_K12_no_skip_2019-11,2019-11,2019-12,2020-11,train,decile,12,12,no_skip,12,12,0.11351294863727035,0.7610522626881091,-0.6475393140508388,0.6475393140508388,complete,
decile_J12_K12_no_skip_2019-12,2019-12,2020-01,2020-12,train,decile,12,12,no_skip,12,12,0.017550378350625007,0.6895020262972238,-0.6719516479465988,0.6719516479465988,complete,
decile_J12_K12_no_skip_2020-01,2020-01,2020-02,2021-01,train,decile,12,12,no_skip,12,12,-0.04302209403727231,0.33125511978404854,-0.37427721382132084,0.37427721382132084,complete,
decile_J12_K12_no_skip_2020-02,2020-02,2020-03,2021-02,train,decile,12,12,no_skip,12,12,0.05544432814477673,0.1546253400125659,-0.09918101186778916,0.09918101186778916,complete,
decile_J12_K12_no_skip_2020-03,2020-03,2020-04,2021-03,train,decile,12,12,no_skip,12,12,0.2209291266552491,0.18735711547029,0.033572011184959116,-0.033572011184959116,complete,
decile_J12_K12_no_skip_2020-04,2020-04,2020-05,2021-04,train,decile,12,12,no_skip,12,12,0.14302077913835043,0.1748782844032557,-0.03185750526490527,0.03185750526490527,complete,
decile_J12_K12_no_skip_2020-05,2020-05,2020-06,2021-05,train,decile,12,12,no_skip,12,12,0.16510655689506026,0.381754791712805,-0.21664823481774476,0.21664823481774476,complete,
decile_J12_K12_no_skip_2020-06,2020-06,2020-07,2021-06,train,decile,12,12,no_skip,12,12,0.16702909460776239,0.22457717216507977,-0.05754807755731739,0.05754807755731739,complete,
decile_J12_K12_no_skip_2020-07,2020-07,2020-08,2021-07,train,decile,12,12,no_skip,12,12,0.020478065989525174,0.02170878336042703,-0.001230717370901857,0.001230717370901857,complete,
decile_J12_K12_no_skip_2020-08,2020-08,2020-09,2021-08,train,decile,12,12,no_skip,12,12,0.10081284898856402,-0.07262513032918638,0.1734379793177504,-0.1734379793177504,complete,
decile_J12_K12_no_skip_2020-09,2020-09,2020-10,2021-09,train,decile,12,12,no_skip,12,12,0.1649084356492132,0.7006418859702466,-0.5357334503210334,0.5357334503210334,complete,
decile_J12_K12_no_skip_2020-10,2020-10,2020-11,2021-10,train,decile,12,12,no_skip,12,12,0.0762609946106052,0.7932102166367359,-0.7169492220261307,0.7169492220261307,complete,
decile_J12_K12_no_skip_2020-11,2020-11,2020-12,2021-11,train,decile,12,12,no_skip,12,12,-0.10568068829374222,0.5177641103500519,-0.6234447986437941,0.6234447986437941,complete,
decile_J12_K12_no_skip_2020-12,2020-12,2021-01,2021-12,train,decile,12,12,no_skip,12,12,0.007161305307640031,0.2590648256732542,-0.25190352036561414,0.25190352036561414,complete,
decile_J12_K12_no_skip_2021-01,2021-01,2021-02,2022-01,train,decile,12,12,no_skip,12,12,-0.0028792699675983524,-0.07289578155229659,0.07001651158469824,-0.07001651158469824,complete,
decile_J12_K12_no_skip_2021-02,2021-02,2021-03,2022-02,train,decile,12,12,no_skip,12,12,0.03505892457048443,0.06999701352689147,-0.03493808895640704,0.03493808895640704,complete,
decile_J12_K12_no_skip_2021-03,2021-03,2021-04,2022-03,train,decile,12,12,no_skip,12,12,-0.09569251310580085,0.025428019048774786,-0.12112053215457563,0.12112053215457563,complete,
decile_J12_K12_no_skip_2021-04,2021-04,2021-05,2022-04,train,decile,12,12,no_skip,12,12,-0.09056426685268315,-0.15920185943281295,0.0686375925801298,-0.0686375925801298,complete,
decile_J12_K12_no_skip_2021-05,2021-05,2021-06,2022-05,train,decile,12,12,no_skip,12,12,-0.2095368870470521,-0.04457746033023369,-0.1649594267168184,0.1649594267168184,complete,
decile_J12_K12_no_skip_2021-06,2021-06,2021-07,2022-06,train,decile,12,12,no_skip,12,12,-0.11936314665698089,0.044147436009213115,-0.163510582666194,0.163510582666194,complete,
decile_J12_K12_no_skip_2021-07,2021-07,2021-08,2022-07,train,decile,12,12,no_skip,12,12,-0.0692196829673496,-0.08401960014467325,0.014799917177323652,-0.014799917177323652,complete,
decile_J12_K12_no_skip_2021-08,2021-08,2021-09,2022-08,train,decile,12,12,no_skip,12,12,-0.09509151334955457,-0.30203387238720825,0.20694235903765368,-0.20694235903765368,complete,
decile_J12_K12_no_skip_2021-09,2021-09,2021-10,2022-09,train,decile,12,12,no_skip,12,12,-0.2166972157415722,-0.24123555012325681,0.024538334381684623,-0.024538334381684623,complete,
decile_J12_K12_no_skip_2021-10,2021-10,2021-11,2022-10,train,decile,12,12,no_skip,12,12,-0.2176783298095727,-0.38357763024532654,0.16589930043575385,-0.16589930043575385,complete,
decile_J12_K12_no_skip_2021-11,2021-11,2021-12,2022-11,train,decile,12,12,no_skip,12,12,-0.11218284145973056,-0.2794524939440072,0.1672696524842766,-0.1672696524842766,complete,
decile_J12_K12_no_skip_2021-12,2021-12,2022-01,2022-12,validation,decile,12,12,no_skip,12,12,-0.15153728101222796,-0.1927089733905506,0.04117169237832263,-0.04117169237832263,complete,
decile_J12_K12_no_skip_2022-01,2022-01,2022-02,2023-01,validation,decile,12,12,no_skip,12,12,-0.03943147761150401,-0.03913893660361423,-0.00029254100788977944,0.00029254100788977944,complete,
decile_J12_K12_no_skip_2022-02,2022-02,2022-03,2023-02,validation,decile,12,12,no_skip,12,12,-0.014941207134945289,-0.17949465431423672,0.16455344717929143,-0.16455344717929143,complete,
decile_J12_K12_no_skip_2022-03,2022-03,2022-04,2023-03,validation,decile,12,12,no_skip,12,12,0.08522856827909853,-0.07279956472052984,0.15802813299962837,-0.15802813299962837,complete,
decile_J12_K12_no_skip_2022-04,2022-04,2022-05,2023-04,validation,decile,12,12,no_skip,12,12,0.21266433580638,0.045202531597262174,0.16746180420911783,-0.16746180420911783,complete,
decile_J12_K12_no_skip_2022-05,2022-05,2022-06,2023-05,validation,decile,12,12,no_skip,12,12,0.03846404295181527,-0.11143202518066675,0.14989606813248202,-0.14989606813248202,complete,
decile_J12_K12_no_skip_2022-06,2022-06,2022-07,2023-06,validation,decile,12,12,no_skip,12,12,-0.05006340110060381,-0.17363141501893553,0.12356801391833172,-0.12356801391833172,complete,
decile_J12_K12_no_skip_2022-07,2022-07,2022-08,2023-07,validation,decile,12,12,no_skip,12,12,0.0234172260758998,-0.15606624806539493,0.17948347414129473,-0.17948347414129473,complete,
decile_J12_K12_no_skip_2022-08,2022-08,2022-09,2023-08,validation,decile,12,12,no_skip,12,12,-0.0705633675089814,-0.12014158977859257,0.04957822226961117,-0.04957822226961117,complete,
decile_J12_K12_no_skip_2022-09,2022-09,2022-10,2023-09,validation,decile,12,12,no_skip,12,12,0.07723352358191238,-0.19114273963004058,0.26837626321195296,-0.26837626321195296,complete,
decile_J12_K12_no_skip_2022-10,2022-10,2022-11,2023-10,validation,decile,12,12,no_skip,12,12,0.012787281499855974,-0.2081289123145592,0.22091619381441518,-0.22091619381441518,complete,
decile_J12_K12_no_skip_2022-11,2022-11,2022-12,2023-11,validation,decile,12,12,no_skip,12,12,-0.1547403924967694,-0.11911480067909352,-0.03562559181767588,0.03562559181767588,complete,
decile_J12_K12_no_skip_2022-12,2022-12,2023-01,2023-12,validation,decile,12,12,no_skip,12,12,-0.10146079527237051,-0.07393474610653394,-0.027526049165836564,0.027526049165836564,complete,
decile_J12_K12_no_skip_2023-01,2023-01,2023-02,2024-01,validation,decile,12,12,no_skip,12,12,-0.2657404895641121,-0.04128771669311504,-0.22445277287099707,0.22445277287099707,complete,
decile_J12_K12_no_skip_2023-02,2023-02,2023-03,2024-02,validation,decile,12,12,no_skip,12,12,-0.29613994091935025,0.014268681241511594,-0.31040862216086185,0.31040862216086185,complete,
decile_J12_K12_no_skip_2023-03,2023-03,2023-04,2024-03,validation,decile,12,12,no_skip,12,12,-0.2746757662504121,-0.1587950410047394,-0.11588072524567272,0.11588072524567272,complete,
decile_J12_K12_no_skip_2023-04,2023-04,2023-05,2024-04,validation,decile,12,12,no_skip,12,12,-0.20445579137085157,-0.06209925505728087,-0.1423565363135707,0.1423565363135707,complete,
decile_J12_K12_no_skip_2023-05,2023-05,2023-06,2024-05,validation,decile,12,12,no_skip,12,12,-0.2112177739177462,-0.0503579129502818,-0.1608598609674644,0.1608598609674644,complete,
decile_J12_K12_no_skip_2023-06,2023-06,2023-07,2024-06,validation,decile,12,12,no_skip,12,12,-0.31281463220848205,-0.09400108806160501,-0.21881354414687704,0.21881354414687704,complete,
decile_J12_K12_no_skip_2023-07,2023-07,2023-08,2024-07,validation,decile,12,12,no_skip,12,12,-0.33442297233984186,-0.05874019124863317,-0.2756827810912087,0.2756827810912087,complete,
decile_J12_K12_no_skip_2023-08,2023-08,2023-09,2024-08,validation,decile,12,12,no_skip,12,12,-0.2602630797537173,-0.07696870111544307,-0.18329437863827425,0.18329437863827425,complete,
decile_J12_K12_no_skip_2023-09,2023-09,2023-10,2024-09,validation,decile,12,12,no_skip,12,12,-0.07477314118258593,0.18371362774434474,-0.2584867689269307,0.2584867689269307,complete,
decile_J12_K12_no_skip_2023-10,2023-10,2023-11,2024-10,validation,decile,12,12,no_skip,12,12,-0.0806993500512182,0.193652447751691,-0.2743517978029092,0.2743517978029092,complete,
decile_J12_K12_no_skip_2023-11,2023-11,2023-12,2024-11,validation,decile,12,12,no_skip,12,12,0.017049470829471947,0.18794633089141777,-0.17089686006194582,0.17089686006194582,complete,
decile_J12_K12_no_skip_2023-12,2023-12,2024-01,2024-12,robustness,decile,12,12,no_skip,12,12,-0.06196505065479696,0.26497292545463735,-0.3269379761094343,0.3269379761094343,complete,
decile_J12_K12_no_skip_2024-01,2024-01,2024-02,2025-01,robustness,decile,12,12,no_skip,12,12,0.051139522326818065,0.20475225465831604,-0.15361273233149797,0.15361273233149797,complete,
decile_J12_K12_no_skip_2024-02,2024-02,2024-03,2025-02,robustness,decile,12,12,no_skip,12,12,-0.06590554658659631,0.09006274352295329,-0.1559682901095496,0.1559682901095496,complete,
decile_J12_K12_no_skip_2024-03,2024-03,2024-04,2025-03,robustness,decile,12,12,no_skip,12,12,-0.029866044517875112,0.04351918220665296,-0.07338522672452807,0.07338522672452807,complete,
