fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,name,code
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,其他社会服务,881179
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,软件开发,881272
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,燃气,881146
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,塑料制品,881265
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,食品加工制造,881134
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,生物制品,881142
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,石油加工贸易,881180
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,通信服务,881162
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,通信设备,881129
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,通用设备,881117
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,文化传媒,881164
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,物流,881152
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,消费电子,881124
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,小家电,881173
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,小金属,881170
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,橡胶制品,881266
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,元件,881270
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,医疗服务,881175
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,医疗器械,881144
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,饮料制造,881133
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,油气开采及服务,881107
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,影视院线,881274
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,游戏,881275
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,银行,881155
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,医药商业,881143
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,养殖业,881102
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,自动化设备,881171
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,综合,881165
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,证券,881157
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,中药,881141
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,专用设备,881118
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,造纸,881137
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,board_list,stock_board_industry_name_ths,种植业与林业,881101
