fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,1,氨纶,BK1412,2798.46,168.62,6.41,55183488000,2.21,1,0,华峰化学,6.41
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,2,燃料电池,BK1305,300.16,17.89,6.34,4923691000,3.82,1,0,亿华通-U,6.34
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,3,生猪养殖,BK1512,3890.28,172.6,4.64,441201552000,2.84,12,0,巨星农牧,9.99
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,4,动力煤,BK1493,2256.06,84.25,3.88,1858676336000,1.32,17,0,昊华能源,10.0
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,5,煤炭开采,BK1250,1741.67,59.25,3.52,2057944496000,1.36,27,0,昊华能源,10.0
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,6,炼油化工,BK1569,3372.79,111.9,3.43,2695088016000,0.33,8,2,东方盛虹,10.04
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,7,养殖业,BK1259,3666.03,114.06,3.21,516494208000,2.92,21,2,巨星农牧,9.99
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,8,钴,BK1620,1223.97,37.5,3.16,32884608000,4.67,2,0,寒锐钴业,4.37
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,9,煤炭,BK0437,12496.54,373.38,3.08,2107814288000,1.36,33,1,昊华能源,10.0
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,10,焦煤,BK1494,1114.23,31.55,2.91,199268162000,1.5,10,0,兰花科创,5.05
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,11,肉鸡养殖,BK1511,3156.66,80.79,2.63,67066679000,4.63,8,0,益生股份,4.3
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,12,农业综合Ⅲ,BK1506,2141.59,54.02,2.59,9833303000,1.54,3,0,大禹节水,3.54
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,13,农业综合Ⅱ,BK1257,2141.59,54.02,2.59,9833303000,1.54,3,0,大禹节水,3.54
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,14,农商行Ⅲ,BK1612,439.22,10.81,2.52,246980435000,0.91,10,0,沪农商行,3.71
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,15,城商行Ⅲ,BK1609,1513.37,37.1,2.51,1228204304000,0.72,17,0,青岛银行,5.31
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,16,医疗研发外包,BK1600,7318.6,175.75,2.46,767814896000,6.08,21,8,诚达药业,12.83
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,,,board_list,stock_board_industry_name_em,17,原材料供应链服务,BK1490,2745.62,65.9,2.46,106855877000,1.42,8,2,厦门象屿,5.31
