family,metric_id,split,short_cluster_cell_count,short_cluster_weekly_mean,short_cluster_after_cost_weekly_mean,short_cluster_t_stat_mean,short_cluster_after_cost_t_stat_mean,short_cluster_positive_cell_share
bivariate_risk_adjusted_imom,IES1,robustness,20,0.0015739962900093458,-0.005039511599730479,0.47031550574811803,-1.3813185354532578,0.75
bivariate_risk_adjusted_imom,IES1,train,20,-0.002389205749577816,-0.00887207612991835,-0.6121648336299232,-2.1804880642519384,0.15
bivariate_risk_adjusted_imom,IES1,validation,20,0.0014869263669582853,-0.005043785626895757,0.34142033244754016,-1.2429626309895339,0.75
bivariate_risk_adjusted_imom,IES5,robustness,20,0.0028430024388507004,-0.0037573426374774123,0.7438326923701023,-0.9322637610460944,0.85
bivariate_risk_adjusted_imom,IES5,train,20,-0.002333954965218663,-0.008741155511299583,-0.5729930651897138,-2.084354751515,0.05
bivariate_risk_adjusted_imom,IES5,validation,20,0.002153712116930408,-0.0044212188539687804,0.49527948061327687,-1.034900272278144,0.75
bivariate_risk_adjusted_imom,IMD,robustness,20,0.002297068601689767,-0.0042989976940242805,0.6959642361816542,-1.2880092368508327,1.0
bivariate_risk_adjusted_imom,IMD,train,20,-0.004345301578393183,-0.010995060014466807,-1.34123059370734,-3.243883659470831,0.05
bivariate_risk_adjusted_imom,IMD,validation,20,-0.0007961003282990833,-0.007372249587781448,-0.27883500894730334,-2.017269812347746,0.3
bivariate_risk_adjusted_imom,IVAR1,robustness,20,0.001046057511733946,-0.005517777170187465,0.30651336209757835,-1.5184106009954015,0.7
bivariate_risk_adjusted_imom,IVAR1,train,20,-0.0032720202465013107,-0.009686390263880844,-0.7542357318063952,-2.1750366181578427,0.0
bivariate_risk_adjusted_imom,IVAR1,validation,20,0.0031806389155775655,-0.003414697243807112,0.7865167236619874,-0.8713091282692578,1.0
bivariate_risk_adjusted_imom,IVAR5,robustness,20,0.0016033908364845085,-0.004914905847064924,0.4399672767489099,-1.2377333560601562,0.7
bivariate_risk_adjusted_imom,IVAR5,train,20,-0.002508617254237595,-0.00889127690502072,-0.6261999855448249,-2.090392022202726,0.3
bivariate_risk_adjusted_imom,IVAR5,validation,20,0.0030666308215685266,-0.0032545967927559336,0.7577990882203036,-0.750310308278728,0.85
bivariate_risk_adjusted_imom,IVOL,robustness,20,0.004382662561037167,-0.001996606706724156,0.9591998716376671,-0.420341821372758,1.0
bivariate_risk_adjusted_imom,IVOL,train,20,-0.0015908776233691676,-0.007874245106731658,-0.3871672556901613,-1.7119308783392218,0.3
bivariate_risk_adjusted_imom,IVOL,validation,20,0.00474297765948293,-0.0015054528097520616,1.078802401921641,-0.3071886528572919,0.9
direct_risk_adjusted_imom,IES1,robustness,20,0.0015603932404108008,-0.005365630152947529,0.6595666223794141,-2.231565195499394,0.9
