family,metric_id,J,K,split,week_count,active_portfolio_count,active_vintage_count_mean,signal_eligible_instrument_count_mean,signal_eligible_instrument_count_min,assigned_long_leg_count_mean,assigned_short_leg_count_mean,label_evaluable_long_leg_count_mean,label_evaluable_short_leg_count_mean,label_evaluable_long_leg_share_mean,label_evaluable_short_leg_share_mean,weekly_mean_return,annualized_mean_return,weekly_volatility,annualized_volatility,sharpe_ratio,t_stat_weekly_mean_newey_west,newey_west_lag_used,positive_week_share,max_drawdown,mean_buy_turnover,mean_sell_turnover,after_cost_weekly_mean_return,after_cost_annualized_mean_return,after_cost_weekly_volatility,after_cost_t_stat_newey_west,after_cost_sharpe_ratio,long_leg_weekly_mean_return,short_leg_weekly_mean_return,blocked_week_count
risk_only,IES1,2,1,robustness,99,1.0,1.0,226.36363636363637,180.0,23.07070707070707,22.171717171717173,23.07070707070707,22.171717171717173,1.0,1.0,-0.0016583035082919238,-0.08623178243118004,0.03241886707969689,0.2337757750965973,-0.36886534712824126,-0.5290249599883972,1,0.5151515151515151,-0.4280379483429667,0.21876724780996332,0.21876724780996332,-0.00406474323420152,-0.21136664817847906,0.03253428499470246,-1.2933914674648264,-0.9009351307333344,0.003419620680007145,0.005077924188299069,0
risk_only,IES1,2,1,train,157,1.0,1.0,190.27388535031847,120.0,19.43312101910828,18.547770700636942,19.426751592356688,18.528662420382165,0.9997550220480156,0.9990830034589299,-0.003326542424596818,-0.17298020607903453,0.0395809523544674,0.28542230649145867,-0.6060500603662909,-1.1649830167939788,1,0.445859872611465,-0.6416165698616685,0.24607472710728115,0.24607472710728115,-0.006033364422776909,-0.31373494998439927,0.03954695504950014,-2.1299117612459977,-1.1001405677202598,0.0002471242512539616,0.0035736666758507804,17
risk_only,IES1,2,1,validation,97,1.0,1.0,226.5463917525773,205.0,23.144329896907216,22.216494845360824,23.144329896907216,22.20618556701031,1.0,0.9995090819833088,0.0032252824034896678,0.16771468498146272,0.03424570302634159,0.24694927645157383,0.6791462902477917,0.9212691950189225,1,0.5360824742268041,-0.28007391449611396,0.18751786868774764,0.18751786868774764,0.0011625858479244438,0.06045446409207108,0.0344982484396656,0.3274663713107231,0.24301308480350162,0.0006063038267695344,-0.002618978576720133,1
risk_only,IES1,2,2,robustness,99,2.0,2.0,226.010101010101,184.0,25.333333333333332,24.383838383838384,25.333333333333332,24.383838383838384,1.0,1.0,-0.0012926176974301822,-0.06721612026636947,0.03201768001394684,0.23088277402336782,-0.2911266141473442,-0.39961115463560953,2,0.5252525252525253,-0.4162956413613389,0.16824612747121584,0.16824612747121587,-0.0031433250996135568,-0.16345290517990496,0.03201491062726908,-0.9737644682764229,-0.7080088371357973,0.003486707469194157,0.0047793251666243385,0
risk_only,IES1,2,2,train,162,1.9320987654320987,1.9320987654320987,187.7962962962963,120.0,20.382716049382715,20.493827160493826,20.37037037037037,20.45679012345679,0.9995590828924164,0.9983679786148921,-0.0030636849087176004,-0.15931161525331522,0.038745209102792534,0.27939567619738515,-0.5702007182844377,-1.083291201540169,2,0.4506172839506173,-0.6257481329130419,0.17872226524247653,0.17872226524247647,-0.0050296298263848415,-0.26154075097201174,0.03869258148291962,-1.7900088978831874,-0.9373677092927433,0.0008485395195035788,0.00391222442822118,12
risk_only,IES1,2,2,validation,98,1.9795918367346939,1.9795918367346939,226.62755102040816,207.0,24.653061224489797,24.367346938775512,24.653061224489797,24.346938775510203,1.0,0.999148181011535,0.003431727171446493,0.17844981291521764,0.033670920700956855,0.24280446215876364,0.7349527736378001,1.033808073897199,2,0.5408163265306123,-0.2705626608821661,0.14200111515550734,0.14200111515550734,0.0018697149047359133,0.09722517504626749,0.03379766743099319,0.5575818909190723,0.3989241549458314,0.00047794938647657413,-0.00295377778496992,0
risk_only,IES1,2,3,robustness,99,3.0,3.0,225.68686868686873,186.33333333333334,27.21212121212121,26.141414141414142,27.19191919191919,26.141414141414142,0.999295843045843,1.0,-0.001251856800198454,-0.0650965536103196,0.031852949539377985,0.22969488567798876,-0.28340445377429524,-0.38298081964757297,3,0.5555555555555556,-0.40704444964021647,0.14655945774596046,0.14655945774596046,-0.002864010835404019,-0.148928563441009,0.0317937282616302,-0.8786608083288591,-0.6495833288602292,0.003609090175628254,0.004860946975826708,0
risk_only,IES1,2,3,train,164,2.8536585365853657,2.8536585365853657,186.6260162601626,120.0,21.298780487804876,22.121951219512194,21.28048780487805,22.073170731707318,0.9993541992070167,0.9979155329765086,-0.002843619224823776,-0.14786819969083634,0.03814891350812362,0.27509572751356104,-0.537515435180821,-1.0013777786833382,3,0.43902439024390244,-0.6181043341229042,0.15215575161019337,0.15215575161019337,-0.0045173324925359025,-0.23490128961186693,0.03812209842438763,-1.6018244328524929,-0.8544898944879831,0.0009686817714857026,0.0038123009963094783,10
risk_only,IES1,2,3,validation,98,2.9693877551020407,2.9693877551020407,226.90136054421768,207.66666666666666,26.03061224489796,26.132653061224488,26.03061224489796,26.112244897959183,1.0,0.999215070643642,0.003337362789944268,0.17354286507710193,0.03391411292690787,0.2445581462396849,0.7096180100540066,0.9752872092225047,3,0.5204081632653061,-0.28305156439351664,0.12488186583646509,0.12488186583646509,0.0019636622657431524,0.10211043781864393,0.03407184951992848,0.566661165562251,0.4155973383651873,0.00043792275710742383,-0.0028994400328368436,0
risk_only,IES1,2,4,robustness,99,4.0,4.0,225.39141414141415,188.75,29.02020202020202,27.77777777777778,28.97979797979798,27.77777777777778,0.9987146732339668,1.0,-0.0011676387936913094,-0.06071721727194809,0.031505906532826984,0.22719232296816713,-0.26725030352568485,-0.34138291189420744,4,0.5555555555555556,-0.3970268665487571,0.1319635871988633,0.13196358719886328,-0.002619238252878805,-0.13620038914969787,0.03147294560663992,-0.7684371195336853,-0.6001216372590729,0.003588838228302242,0.004756477021993552,0
