state_axis,state_value,family,metric_id,split,week_count,weekly_mean_return,after_cost_weekly_mean_return,positive_week_share
market_state_26w,downside,bivariate_risk_adjusted_imom,IES1,robustness,526,0.004800873674955787,-0.0013108018548113407,0.5513307984790875
market_state_26w,upside,bivariate_risk_adjusted_imom,IES1,robustness,1118,-0.00014262663249887389,-0.006699002201568456,0.5348837209302325
market_state_26w,downside,bivariate_risk_adjusted_imom,IES1,train,616,0.0007184615622981052,-0.005543761263873517,0.5
market_state_26w,upside,bivariate_risk_adjusted_imom,IES1,train,1111,-0.004216159345502812,-0.010165774008809199,0.459045904590459
market_state_26w,downside,bivariate_risk_adjusted_imom,IES1,validation,1364,0.00135397501452236,-0.004772968181883369,0.5593841642228738
market_state_26w,upside,bivariate_risk_adjusted_imom,IES1,validation,212,0.0009742739706123412,-0.005709542852798128,0.47641509433962265
market_state_26w,downside,bivariate_risk_adjusted_imom,IES5,robustness,553,0.007844389708464464,0.002117160795413675,0.5822784810126582
market_state_26w,upside,bivariate_risk_adjusted_imom,IES5,robustness,1102,9.538702115429098e-05,-0.006604938771561043,0.5517241379310345
market_state_26w,downside,bivariate_risk_adjusted_imom,IES5,train,551,0.0005043396230329308,-0.0056226102606270565,0.4954627949183303
market_state_26w,upside,bivariate_risk_adjusted_imom,IES5,train,1102,-0.003643830635141073,-0.009498084804944655,0.46007259528130673
market_state_26w,downside,bivariate_risk_adjusted_imom,IES5,validation,1266,0.0021328727213879113,-0.003958318892654422,0.5387045813586098
market_state_26w,upside,bivariate_risk_adjusted_imom,IES5,validation,198,0.0014815499421918746,-0.0054684115089209855,0.5555555555555556
market_state_26w,downside,bivariate_risk_adjusted_imom,IMD,robustness,538,0.004264902711504561,-0.001537604549909054,0.5985130111524164
market_state_26w,upside,bivariate_risk_adjusted_imom,IMD,robustness,1283,0.0013408941631155725,-0.00527455333585988,0.5354637568199533
market_state_26w,downside,bivariate_risk_adjusted_imom,IMD,train,762,-0.0025450903288955122,-0.008768483104267977,0.468503937007874
market_state_26w,upside,bivariate_risk_adjusted_imom,IMD,train,1556,-0.005710587639108292,-0.01192621118651983,0.4318766066838046
market_state_26w,downside,bivariate_risk_adjusted_imom,IMD,validation,1458,-0.00152201395162352,-0.007725761314959158,0.4890260631001372
market_state_26w,upside,bivariate_risk_adjusted_imom,IMD,validation,221,0.001822571192843634,-0.004733555359032377,0.5520361990950227
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR1,robustness,559,0.005692352226159483,-0.00019470805991607737,0.5974955277280859
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR1,robustness,1093,-0.0014980420444563832,-0.008073064722275201,0.5361390667886551
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR1,train,544,0.0015358303298536305,-0.004282196496288953,0.5183823529411765
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR1,train,1066,-0.0057952419972421365,-0.011783245106990553,0.4277673545966229
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR1,validation,1308,0.003255976631584424,-0.0028918991578983796,0.536697247706422
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR1,validation,201,0.0010863669839688262,-0.005618790449796504,0.527363184079602
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR5,robustness,554,0.006448205472958631,0.000729180468038875,0.6028880866425993
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR5,robustness,1040,-0.0011488897839632105,-0.00769429252405414,0.5480769230769231
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR5,train,564,0.00081670581587453,-0.005247472169727999,0.4716312056737589
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR5,train,1056,-0.004364041327864223,-0.010181122170161525,0.4403409090909091
market_state_26w,downside,bivariate_risk_adjusted_imom,IVAR5,validation,1226,0.002841722937262982,-0.0029851741588163287,0.5309951060358891
market_state_26w,upside,bivariate_risk_adjusted_imom,IVAR5,validation,194,0.0037918396020642136,-0.0026704845508417514,0.5721649484536082
market_state_26w,downside,bivariate_risk_adjusted_imom,IVOL,robustness,488,0.009609855503625775,0.004071210797815914,0.6086065573770492
market_state_26w,upside,bivariate_risk_adjusted_imom,IVOL,robustness,847,0.0006541254824839613,-0.005706022717195119,0.5832349468713105
market_state_26w,downside,bivariate_risk_adjusted_imom,IVOL,train,464,0.005731748094979653,-0.00031018346129332456,0.4978448275862069
market_state_26w,upside,bivariate_risk_adjusted_imom,IVOL,train,873,-0.005926661121617436,-0.011501363655399778,0.41122565864833904
market_state_26w,downside,bivariate_risk_adjusted_imom,IVOL,validation,1085,0.0045733146787486105,-0.001169477320140622,0.5714285714285714
market_state_26w,upside,bivariate_risk_adjusted_imom,IVOL,validation,174,0.005140366639334642,-0.0014628768567178814,0.5229885057471264
market_state_26w,downside,imom,,robustness,640,0.001041263536414733,-0.005476390697155681,0.5359375
market_state_26w,upside,imom,,robustness,1307,0.0020032729757953694,-0.004642990617750314,0.5156847742922723
market_state_26w,downside,imom,,train,1180,0.0007100486523745139,-0.005882207535386892,0.5194915254237288
market_state_26w,upside,imom,,train,2148,-0.0013788592869560074,-0.008093630702576305,0.4720670391061452
market_state_26w,downside,imom,,validation,1694,-0.002549174632774745,-0.009218617307077666,0.45985832349468714
market_state_26w,upside,imom,,validation,237,-0.002066041088804989,-0.009135970943673615,0.41350210970464135
market_state_52w,downside,bivariate_risk_adjusted_imom,IES1,robustness,609,0.009288521792210437,0.002798846965875852,0.6206896551724138
market_state_52w,upside,bivariate_risk_adjusted_imom,IES1,robustness,1035,-0.0031796200903991823,-0.009549240617587143,0.4927536231884058
market_state_52w,downside,bivariate_risk_adjusted_imom,IES1,train,428,0.001119269379064609,-0.004987227693414779,0.5046728971962616
market_state_52w,upside,bivariate_risk_adjusted_imom,IES1,train,1299,-0.003634047732654075,-0.009680214326059724,0.4634334103156274
market_state_52w,downside,bivariate_risk_adjusted_imom,IES1,validation,1540,-3.4941893477006685e-05,-0.00625791025547349,0.5376623376623376
market_state_52w,upside,bivariate_risk_adjusted_imom,IES1,validation,36,0.058532736598136265,0.053234169681862696,1.0
market_state_52w,downside,bivariate_risk_adjusted_imom,IES5,robustness,646,0.011896718718756645,0.00571233760650754,0.6362229102167183
