gate,passed,value,threshold,final_decision,risk_filter_strong_metric,risk_filter_weak_metric
validation_evaluable_short_cluster_cell_count,True,20,16,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_evaluable_short_cluster_cell_count,True,20,16,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_short_cluster_min_week_count_per_cell,True,81.0,52,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_short_cluster_min_week_count_per_cell,True,78.0,52,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_imom_beats_raw_best_direction,False,-0.0024669963290857395,0.0035201664228558327,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_imom_mean_positive,False,-0.0024669963290857395,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_imom_t_stat_positive,False,-0.8956693644062781,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_imom_mean_positive,True,0.0017360409976614997,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_imom_t_stat_positive,True,0.6525419564210975,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
single_IVOL_or_IMD_bivariate_metric_passes_both_splits,True,IVOL,same metric validation and robustness >= IMOM,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_imom_after_cost_mean_positive,False,-0.009262129740175123,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
validation_imom_after_cost_t_stat_positive,False,-3.234615312354035,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_imom_after_cost_mean_positive,False,-0.004958027735471125,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
robustness_imom_after_cost_t_stat_positive,False,-1.8106140146216454,0,ep6_weekly_imom_local_proxy_not_supported,IVOL,
