fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,18,游戏,0.48,967.82,163.18,5.14,12,11,16.86,名臣健康,22.06,10.03
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,19,中药,0.48,1120.22,120.7,3.86,47,20,10.78,众生药业,28.99,5.65
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,20,教育,0.47,313.12,17.67,-4.23,8,7,5.64,*ST开元,3.13,10.21
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,21,物流,0.4,768.89,83.07,2.03,24,21,10.8,*ST瑞茂,1.54,10.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,22,房地产,0.28,3484.41,151.77,-7.73,40,38,4.36,万通发展,16.91,10.02
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,23,旅游及酒店,0.24,351.92,27.8,0.35,18,16,7.9,西藏旅游,14.95,6.25
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,24,造纸,0.19,618.02,38.96,-3.21,9,15,6.3,宜宾纸业,17.61,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,25,证券,0.14,3846.45,508.99,-11.95,31,16,13.23,光大证券,15.42,3.21
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,26,油气开采及服务,0.1,787.92,51.37,0.96,9,10,6.52,贝肯能源,11.46,9.98
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,27,汽车整车,-0.03,1097.67,133.72,-10.27,11,11,12.18,长城汽车,15.77,2.6
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,28,美容护理,-0.07,193.02,37.24,-0.9,13,19,19.29,洁雅股份,26.35,10.85
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,29,医疗器械,-0.19,961.58,257.21,-6.24,65,73,26.75,博拓生物,41.63,12.51
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,30,化学原料,-0.28,1602.29,173.9,-9.2,28,29,10.85,金浦钛业,2.71,10.16
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,31,汽车服务及其他,-0.33,219.24,42.56,1.99,8,16,19.41,涛涛车业,258.02,11.69
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,32,小家电,-0.37,118.39,22.76,-1.27,11,13,19.22,爱仕达,11.78,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,33,钢铁,-0.38,1923.0,83.74,-6.47,20,20,4.36,南钢股份,4.84,2.98
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,34,半导体,-0.4,4913.81,5151.69,76.54,71,108,104.84,银河微电,80.75,18.7
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,35,环境治理,-0.45,2099.46,193.31,-9.29,51,56,9.21,中持股份,15.57,10.04
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,36,种植业与林业,-0.47,685.28,43.15,-2.77,14,15,6.3,大禹节水,4.09,3.54
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,37,其他电源设备,-0.48,722.75,244.48,-3.23,10,23,33.83,中远通,15.6,7.96
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,38,其他电子,-0.48,867.99,358.95,-11.52,14,20,41.35,国力电子,85.26,16.78
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,39,燃气,-0.49,320.93,37.67,-2.57,10,16,11.74,德龙汇能,24.66,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,40,零售,-0.49,1540.4,94.67,-3.71,28,39,6.15,全新好,12.88,6.45
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,41,家居用品,-0.61,783.93,95.52,-2.17,42,56,12.19,爱丽家居,11.78,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,42,能源金属,-0.64,455.44,227.48,-11.06,6,6,49.95,寒锐钴业,37.75,4.37
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,43,白色家电,-0.69,1049.55,283.47,-16.79,15,29,27.01,海达尔,125.65,15.27
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,44,纺织制造,-0.72,396.72,46.03,-3.5,10,23,11.6,华孚时尚,3.86,9.97
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,45,多元金融,-0.73,700.51,52.3,-3.03,12,14,7.47,渤海租赁,4.61,4.54
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,46,影视院线,-0.83,734.0,53.95,-3.23,6,13,7.35,欢瑞世纪,3.76,9.94
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,47,厨卫电器,-0.84,99.82,9.28,-0.1,6,3,9.3,万和电气,6.65,2.94
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,48,化学制品,-1.13,2978.98,749.85,-17.06,59,118,25.17,东岳硅材,22.02,12.92
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,49,其他社会服务,-1.19,386.16,65.56,-4.63,9,30,16.98,杰恩股份,63.81,5.07
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,50,服装家纺,-1.21,1030.27,85.54,-1.24,23,49,8.3,ST际华,1.8,7.78
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,51,建筑装饰,-1.21,3148.46,318.89,-18.71,50,93,10.13,交建股份,6.11,10.09
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,52,工业金属,-1.23,4348.41,495.5,-25.29,16,39,11.39,华峰铝业,14.86,4.5
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,53,电力,-1.25,5659.47,449.93,-24.24,27,76,7.95,韶能股份,7.19,8.94
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,54,综合,-1.38,479.99,66.74,-4.25,5,14,13.9,南京新百,5.61,3.89
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,55,化学纤维,-1.42,1056.75,106.64,-2.4,8,20,10.09,华峰化学,11.12,6.41
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,56,计算机设备,-1.42,1242.95,424.26,-3.51,21,62,34.13,中国长城,18.82,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,57,贸易,-1.46,273.15,19.33,-3.54,4,8,7.08,云维股份,3.22,1.9
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,58,包装印刷,-1.56,678.27,85.66,-5.47,12,34,12.63,新巨丰,6.94,11.22
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,59,文化传媒,-1.61,2441.38,232.92,-21.77,24,59,9.54,南方传媒,11.75,5.48
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,60,轨交设备,-1.62,440.56,42.1,0.1,6,24,9.56,康尼机电,6.06,1.85
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,61,工程机械,-1.75,735.83,124.67,-0.84,12,23,16.94,唯万密封,40.35,7.09
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,62,互联网电商,-1.78,333.32,45.41,-3.07,4,15,13.62,赛维时代,19.09,4.32
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,63,黑色家电,-1.81,361.84,40.84,-4.86,2,7,11.29,兆驰股份,10.54,5.72
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,64,软件开发,-1.89,1560.4,429.42,-24.43,19,119,27.52,概伦电子,48.76,20.01
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,65,建筑材料,-1.94,2072.96,448.61,-5.37,22,48,21.64,青龙管业,14.07,10.01
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,66,贵金属,-2.01,1722.76,409.95,-2.51,6,8,23.8,湖南白银,8.61,2.01
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,67,汽车零部件,-2.04,3967.96,892.76,-56.21,58,209,22.5,晋拓股份,39.53,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,68,IT服务,-2.11,2642.06,484.62,-27.85,21,107,18.34,当虹科技,43.56,20.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,69,通用设备,-2.17,4574.21,1159.06,-54.84,60,189,25.34,鑫磊股份,62.21,20.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,70,专用设备,-2.18,2575.97,606.51,-26.83,31,165,23.55,华依科技,40.29,11.27
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,71,电子化学品,-2.38,1357.44,778.37,-11.06,11,31,57.34,中石科技,74.41,20.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,72,通信设备,-2.38,2388.64,1901.63,-35.73,17,74,79.61,菲菱科思,135.01,20.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,73,电池,-2.41,2408.99,919.42,-44.81,20,83,38.17,蔚蓝锂芯,22.37,9.98
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,74,电网设备,-2.41,2642.73,480.44,-27.42,19,119,18.18,白云电器,13.82,10.03
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,75,橡胶制品,-2.42,310.56,66.96,-4.46,2,20,21.56,三维股份,10.21,2.61
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,76,非金属材料,-2.48,183.62,108.86,-2.76,3,13,59.29,金戈新材,50.26,5.81
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,77,军工装备,-2.49,1737.42,528.68,-53.31,13,69,30.43,松发股份,163.35,10.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,78,通信服务,-2.52,1167.48,173.69,-10.23,8,36,14.88,*ST元道,4.04,10.08
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,79,军工电子,-2.69,1282.85,454.13,-24.49,11,51,35.4,华丰科技,201.26,11.81
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,80,消费电子,-2.74,2562.35,858.83,-77.32,21,75,33.52,飞荣达,49.47,6.5
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,81,风电设备,-2.75,728.16,134.34,-19.05,4,27,18.45,中环海陆,25.15,4.05
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,82,光伏设备,-2.8,2122.91,429.7,-35.5,5,65,20.24,*ST泉为,29.09,19.07
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,83,环保设备,-3.1,369.57,53.34,-4.24,3,27,14.43,保丽洁,10.74,4.27
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,84,自动化设备,-3.28,1542.01,864.99,-49.61,15,80,56.09,新睿电子,180.5,14.04
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,85,塑料制品,-3.33,1402.37,321.62,-19.49,14,62,22.93,兴业股份,15.85,7.82
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,86,电机,-3.52,667.05,144.9,-13.18,3,23,21.72,神力股份,13.6,10.03
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,87,光学光电子,-3.62,9481.01,1116.94,-105.15,14,93,11.78,*ST清越,1.03,19.77
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,88,元件,-3.89,2252.92,1419.69,-53.93,6,56,63.02,崇达技术,16.36,10.02
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,89,小金属,-4.14,1374.54,617.23,-43.4,6,23,44.91,华锡有色,62.76,1.41
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,90,金属新材料,-5.1,761.71,191.37,-19.01,1,32,25.12,铂科新材,87.9,0.57
