pool_id,source_family_id,r04e_reconstructed_event_count,r04c_event_count,overlap_event_count,overlap_share_vs_r04e,overlap_share_vs_r04c,entry_date_mismatch_count,entry_price_rel_diff_p95,entry_price_rel_diff_max,entry_price_rel_diff_tolerance,reconciliation_status
r02_precision_volume_money,volume_money,7940,7940,7940,1.0,1.0,0,0.0,0.0,0.0001,passed
r02_precision_range_breakout,range_breakout,6558,6558,6558,1.0,1.0,0,0.0,0.0,0.0001,passed
r02_precision_pullback_drawdown,pullback_drawdown,6266,6266,6266,1.0,1.0,0,0.0,0.0,0.0001,passed
