split,portfolio_id,portfolio_weighting_id,daily_active_cap,policy_id,trading_day_count,active_day_count,active_day_share,daily_return_mean,daily_return_median,daily_return_p10,daily_return_p25,daily_return_p75,daily_return_p90,period_compounded_return,annualized_return,annualized_vol,sharpe_like,max_drawdown,worst_20d_return,best_20d_return,active_count_mean,active_count_p50,active_count_p90,active_count_p95,active_count_p99,turnover_event_count,avg_holding_days,portfolio_denominator_status,monthly_count,monthly_return_mean,monthly_return_median,monthly_return_p10,monthly_return_min,positive_month_rate,worst_month,worst_month_return,baseline_A_period_compounded_return,baseline_A_daily_return_mean,baseline_A_monthly_return_p10,baseline_A_max_drawdown,baseline_A_worst_20d_return,baseline_A_active_count_p95,portfolio_period_return_delta_vs_baseline_A,portfolio_daily_mean_delta_vs_baseline_A,portfolio_monthly_p10_delta_vs_baseline_A,portfolio_max_drawdown_delta_vs_baseline_A,portfolio_worst_20d_delta_vs_baseline_A,active_count_p95_delta_vs_baseline_A
train,active_equal_weight_uncapped,active_equal_weight,none,hold_20d__break_even_after_gain__activation_gain_pct_0p08,1097,1036,0.9443938012762079,0.00026664591572521417,0.0,-0.012509376282905918,-0.005659901379795137,0.006494957296293465,0.013471331437598563,0.2437556947755699,0.05138626164590532,0.18452792975795188,0.3641441750898869,0.3081267155318458,-0.14868801579130264,0.21071327071046797,146.8841698841699,148.0,223.0,240.25,262.0,7102,20.42664038299071,sufficient,54,0.005027452709945281,0.004558901885432731,-0.04602705176003974,-0.09618463254968734,0.5185185185185185,2018-06,-0.09618463254968734,0.4532700934308391,0.0004327004676576328,-0.055676305965992996,0.3393257531577414,-0.16845616402665553,264.0,-0.20951439865526922,-0.0001660545519324186,0.009649254205953257,-0.031199037625895598,0.01976814823535289,-23.75
validation,active_equal_weight_uncapped,active_equal_weight,none,hold_20d__break_even_after_gain__activation_gain_pct_0p08,484,484,1.0,-0.0005660939076155969,-0.0006972565171836279,-0.012455536270906224,-0.005766808465866088,0.005404143770081829,0.01121369456035718,-0.25896879485771174,-0.14448245645400304,0.16317196305345172,-0.8742657871462844,0.22183379772983414,-0.10413026008918347,0.1055755579169706,187.20867768595042,188.0,268.0,282.84999999999997,304.34000000000003,4191,20.619899785254116,sufficient,24,-0.011151588258960806,-0.024090684425724374,-0.059642718934805466,-0.12779465139434543,0.3333333333333333,2022-01,-0.12779465139434543,-0.22219582528229553,-0.00046595288210728934,-0.06260190703487072,0.24583796554797277,-0.11502641145534087,264.69999999999993,-0.0367729695754162,-0.00010014102550830753,0.0029591881000652492,-0.024004167818138633,0.010896151366157403,18.150000000000034
robustness,active_equal_weight_uncapped,active_equal_weight,none,hold_20d__break_even_after_gain__activation_gain_pct_0p08,485,458,0.9443298969072165,0.0004409264849781783,0.0,-0.009245120187133008,-0.004387221230806954,0.004890955012031651,0.010034680797302487,0.20765190257051747,0.10300106031283285,0.1616248500106044,0.6874776632876111,0.1429540618911066,-0.0651252278953276,0.21748328943308537,187.5,190.0,259.0,275.15,322.29,3977,20.59290922806135,sufficient,24,0.008879646114484982,0.0041301900006421866,-0.03469920790265143,-0.05200618630592879,0.625,2024-08,-0.05200618630592879,0.09118779527575316,0.00023717245612266203,-0.032690502251129905,0.17979152913134433,-0.10422431958132827,237.79999999999995,0.11646410729476431,0.00020375402885551626,-0.0020087056515215237,-0.03683746724023773,0.039099091686000675,37.35000000000002
train,active_equal_weight_cap20,active_equal_weight,cap20,hold_20d__break_even_after_gain__activation_gain_pct_0p08,1097,1036,0.9443938012762079,0.00028192038839230216,0.0,-0.014621860682078026,-0.006390222369533165,0.007027781692091737,0.015545342048400102,0.2495186124830795,0.05250335624635438,0.1990811310904947,0.3568592236024934,0.33085273365772117,-0.15767621459615755,0.19446515320579882,19.97876447876448,20.0,20.0,20.0,20.0,7102,20.42664038299071,sufficient,54,0.005184068927585102,0.0036820448026163577,-0.0499234611619861,-0.110402708623629,0.6111111111111112,2018-06,-0.110402708623629,0.21073016093218078,0.00027551598232159987,-0.07663422978530104,0.3548769375472425,-0.18048090340215694,20.0,0.03878845155089872,6.404406070702293e-06,0.026710768623314944,-0.02402420388952131,0.022804688805999396,0.0
validation,active_equal_weight_cap20,active_equal_weight,cap20,hold_20d__break_even_after_gain__activation_gain_pct_0p08,484,484,1.0,-0.0003799999264256899,-0.0005999339442328854,-0.013053416972475128,-0.00611686575632138,0.0061390626999986275,0.0130817605728179,-0.19209341107976075,-0.10511639978508014,0.17454952644505478,-0.5486120954296457,0.21314846317601388,-0.12252539757461467,0.10929822522893873,19.90909090909091,20.0,20.0,20.0,20.0,4191,20.619899785254116,sufficient,24,-0.006925218671111806,-0.008752740051552799,-0.08178853259097084,-0.12868012530457962,0.4166666666666667,2022-01,-0.12868012530457962,-0.3129597148144705,-0.0007128193288669502,-0.08121821367519917,0.3473759542175434,-0.1391743919795515,20.0,0.12086630373470975,0.0003328194024412603,-0.000570318915771667,-0.13422749104152953,0.016648994404936834,0.0
robustness,active_equal_weight_cap20,active_equal_weight,cap20,hold_20d__break_even_after_gain__activation_gain_pct_0p08,485,458,0.9443298969072165,8.839500959357735e-05,0.0,-0.0108282964083451,-0.004949356600966774,0.00491504851866261,0.011496226617770012,0.014511152383299475,0.0075137204812929514,0.1718773131937598,0.1296014116329009,0.20078375541094284,-0.08528561883451191,0.18127755986114713,19.91484716157205,20.0,20.0,20.0,20.0,3977,20.59290922806135,sufficient,24,0.0018167628770562189,-0.002296233500540368,-0.04776239992901416,-0.07025494194275961,0.4166666666666667,2024-08,-0.07025494194275961,0.11772886107006197,0.0002969104037093725,-0.04683873915225844,0.1725391232122333,-0.10879689817921623,20.0,-0.1032177086867625,-0.00020851539411579517,-0.000923660776755722,0.02824463219870954,0.023511279344704317,0.0
train,active_equal_weight_cap40,active_equal_weight,cap40,hold_20d__break_even_after_gain__activation_gain_pct_0p08,1097,1036,0.9443938012762079,0.0002539581473537638,0.0,-0.012841531813506746,-0.0059056558662519435,0.006636567948865444,0.014513517775358808,0.22015717776324695,0.04676985924771615,0.19095007395155705,0.3351528062219251,0.3287527745670582,-0.1616082986168016,0.19720952752248833,39.86776061776062,40.0,40.0,40.0,40.0,7102,20.42664038299071,sufficient,54,0.004682308573695249,0.006169825816185415,-0.04354519574271239,-0.10745287125409853,0.5370370370370371,2018-10,-0.10745287125409853,0.2050132451500153,0.0002682913466124688,-0.06643599985658134,0.3670128089379222,-0.17258192096473957,40.0,0.015143932613231659,-1.4333199258705022e-05,0.02289080411386895,-0.038260034370864004,0.010973622347937972,0.0
validation,active_equal_weight_cap40,active_equal_weight,cap40,hold_20d__break_even_after_gain__activation_gain_pct_0p08,484,484,1.0,-0.0005940621918274599,-0.0006064061007388316,-0.01232837641167961,-0.00664966340376053,0.005826624431797774,0.012592994696932666,-0.27053103849914617,-0.15145872712137465,0.16998235896849453,-0.8807012283449177,0.2339754554113751,-0.12344671272599539,0.1115201246553501,39.52892561983471,40.0,40.0,40.0,40.0,4191,20.619899785254116,sufficient,24,-0.011499179981921783,-0.020070796127459434,-0.07109282281292426,-0.13180316249724422,0.3333333333333333,2022-01,-0.13180316249724422,-0.263942899296181,-0.0005742032400986182,-0.07353138371054546,0.3014869480404485,-0.13930642789878045,40.0,-0.006588139202965193,-1.9858951728841663e-05,0.002438560897621206,-0.06751149262907341,0.01585971517278506,0.0
robustness,active_equal_weight_cap40,active_equal_weight,cap40,hold_20d__break_even_after_gain__activation_gain_pct_0p08,485,458,0.9443298969072165,0.00036753312038334367,0.0,-0.009712189855895146,-0.004656592878480888,0.004851484660546155,0.010181541532267411,0.16427018906543966,0.08223288322056455,0.16465410723897886,0.5625024962309406,0.196753151251156,-0.08118947291938128,0.20083750710859394,39.64192139737991,40.0,40.0,40.0,40.0,3977,20.59290922806135,sufficient,24,0.007547619120290838,0.0003782079268404015,-0.04758271965129821,-0.060141449095500676,0.5,2024-08,-0.060141449095500676,0.13953316258841486,0.00033097869914922566,-0.036460199269142686,0.19382772306122042,-0.11424200146128416,40.0,0.024737026477024804,3.655442123411801e-05,-0.011122520382155526,0.002925428189935575,0.03305252854190288,0.0
train,active_equal_weight_cap60,active_equal_weight,cap60,hold_20d__break_even_after_gain__activation_gain_pct_0p08,1097,1036,0.9443938012762079,0.0002762349443422869,0.0,-0.012897547905725122,-0.0058299225448591955,0.00660304328305032,0.014327100585083803,0.25244594244353635,0.053069275999315435,0.18888683894652578,0.36853391354578896,0.32417853493238,-0.15266514117148522,0.214651324499463,59.38127413127413,60.0,60.0,60.0,60.0,7102,20.42664038299071,sufficient,54,0.0052112142139668065,0.0020456554189113296,-0.04521573043568496,-0.09973471307915516,0.5370370370370371,2018-10,-0.09973471307915516,0.2809207997858907,0.0003208600712675663,-0.06556571188589808,0.3444097759243395,-0.1774482230037021,60.0,-0.02847485734235433,-4.462512692527938e-05,0.020349981450213113,-0.020231240991959498,0.02478308183221689,0.0
