policy_id,policy_family_id,hold_rule_id,hold_rule_max_days,exit_rule_family_id,exit_rule_id,sizing_rule_id,parameter_set_id,parameter_values_json,is_train_selectable,is_validation_selectable,is_active_cap_sensitivity_policy,invalid_policy_reason,formula_text,formula_hash
hold_20d__break_even_after_gain__activation_gain_pct_0p08,break_even_after_gain,hold_20d,20,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,f600d613dde8,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",87ff3fe7874b887ac9d70be849b612238acb65162f7817145fab646e037b73ce
hold_20d__break_even_after_gain__activation_gain_pct_0p1,break_even_after_gain,hold_20d,20,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,1bf1c857136d,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",57ecf3f5a5c9fa4239a9f29c3bd912d0396dfd708b5e1de576b4dae0facbe502
hold_20d__break_even_after_gain__activation_gain_pct_0p15,break_even_after_gain,hold_20d,20,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,382a2a20a8a9,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size;cost=a_share_daily_replay_default_v1",f7abc33082a6118991fe0a3903d65af2a418c77d2be4747141969c50b740243e
hold_20d__fixed_stop__stop_loss_pct_m0p05,fixed_stop,hold_20d,20,fixed_stop,fixed_stop__78286487,fixed_size,184bb3b55294,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size;cost=a_share_daily_replay_default_v1",d9c7eece910bdd53bf7d7aec30b298437d401e48f9cc8175764faabf32db8d14
hold_20d__fixed_stop__stop_loss_pct_m0p08,fixed_stop,hold_20d,20,fixed_stop,fixed_stop__84933a9b,fixed_size,a76054f209c2,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",465810ba35b393900f9228bdd65cd3c12c184d7e4cc6cabe1f5a1d36022b71c0
hold_20d__fixed_stop__stop_loss_pct_m0p1,fixed_stop,hold_20d,20,fixed_stop,fixed_stop__f30b1382,fixed_size,820234c09639,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",b282bff11579bc7ea0e935378aa014bd074cf1b646f73b7343dafd41c47d0252
hold_20d__no_exit__none,no_exit,hold_20d,20,no_exit,no_exit,fixed_size,ecaf22503df5,"{""exit"":{},""sizing"":{""position_weight"":1.0}}",True,True,False,,entry=next_open;hold=20;exit=no_exit;params={};sizing=fixed_size;cost=a_share_daily_replay_default_v1,77505c62ed66f34f5ac8f2152384cec1ab446fd4d3805f6ddb19d2940e7cdfbf
hold_40d__break_even_after_gain__activation_gain_pct_0p08,break_even_after_gain,hold_40d,40,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,f600d613dde8,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",a06208bb72f6f609d0e4c4ec6e9764bade9f4a0b39d264aedadd0b7049ae7147
hold_40d__break_even_after_gain__activation_gain_pct_0p1,break_even_after_gain,hold_40d,40,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,1bf1c857136d,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",aa890455c2b2b161439d175d2b9045d9c7cec84a25fc981613ca4b64f38b1ad1
hold_40d__break_even_after_gain__activation_gain_pct_0p15,break_even_after_gain,hold_40d,40,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,382a2a20a8a9,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size;cost=a_share_daily_replay_default_v1",daae0aa7a27d9444d7180fd77a80d5386f4375edf0292980c45d28442fc1773c
hold_40d__fixed_stop__stop_loss_pct_m0p05,fixed_stop,hold_40d,40,fixed_stop,fixed_stop__78286487,fixed_size,184bb3b55294,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size;cost=a_share_daily_replay_default_v1",9466bd306c7d30eeb24ca4fcc57e5ba141eb7069644c65604c465ffd69541dad
hold_40d__fixed_stop__stop_loss_pct_m0p08,fixed_stop,hold_40d,40,fixed_stop,fixed_stop__84933a9b,fixed_size,a76054f209c2,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",ddcc779a591a0b9b57df44e2654783786a57158dede1728951802ae76515f080
hold_40d__fixed_stop__stop_loss_pct_m0p1,fixed_stop,hold_40d,40,fixed_stop,fixed_stop__f30b1382,fixed_size,820234c09639,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",650195c26033d78b716e7abc676baca6e96c7d2e02ac704561ae4642af6e787c
hold_40d__no_exit__none,no_exit,hold_40d,40,no_exit,no_exit,fixed_size,ecaf22503df5,"{""exit"":{},""sizing"":{""position_weight"":1.0}}",True,True,False,,entry=next_open;hold=40;exit=no_exit;params={};sizing=fixed_size;cost=a_share_daily_replay_default_v1,bfe45b65271d9985aab9b1463052c62b855c0b1cbe039e36a3bca8786de7293e
hold_60d__break_even_after_gain__activation_gain_pct_0p08,break_even_after_gain,hold_60d,60,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,f600d613dde8,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",fc1bb827f55ce2a770b6f7add7b17aa699f3ff5e9916bffb09c04abc5e3d07ef
hold_60d__break_even_after_gain__activation_gain_pct_0p1,break_even_after_gain,hold_60d,60,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,1bf1c857136d,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",f5c7743734466669cfbea208286b54eb59053facaa24ac5848522d3becc99815
hold_60d__break_even_after_gain__activation_gain_pct_0p15,break_even_after_gain,hold_60d,60,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,382a2a20a8a9,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size;cost=a_share_daily_replay_default_v1",d66fd57fcf85353fa9430195cb790668e202f230a98897b3752c76a2358ccbdb
hold_60d__fixed_stop__stop_loss_pct_m0p05,fixed_stop,hold_60d,60,fixed_stop,fixed_stop__78286487,fixed_size,184bb3b55294,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size;cost=a_share_daily_replay_default_v1",f526f5755cb6e3ebb00680de47d2e6a8f7cc593e59537208ff1ab317101393f9
hold_60d__fixed_stop__stop_loss_pct_m0p08,fixed_stop,hold_60d,60,fixed_stop,fixed_stop__84933a9b,fixed_size,a76054f209c2,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size;cost=a_share_daily_replay_default_v1",8a77b0511a5d6795c8b19fbedc40ecd5bc6acc2bd92b66dcb36b421eeaea713b
hold_60d__fixed_stop__stop_loss_pct_m0p1,fixed_stop,hold_60d,60,fixed_stop,fixed_stop__f30b1382,fixed_size,820234c09639,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,False,,"entry=next_open;hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size;cost=a_share_daily_replay_default_v1",ca260b3785299d698d31347001cfa4e50fdce30df5f3b109d8cb6002d04c06f7
