split,portfolio_id,policy_id,source_family_id,active_weight_share_mean,event_count,daily_return_contribution_sum,daily_return_contribution_mean,monthly_return_contribution_mean,loss_day_contribution_share,positive_day_contribution_share,max_gain50_event_count,source_family_status
robustness,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,range_breakout,0.2831196457456596,1707,0.046241770359866444,1.4191992867405224e-06,,0.053432741555285226,0.05762989606496033,183,additive_source_family
robustness,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,pullback_drawdown,0.3291676560400146,1739,0.09331407085502276,2.756856264920313e-06,,0.06542414840779026,0.07511639170441112,183,additive_source_family
robustness,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,volume_money,0.3877126982143258,2200,0.07429350399952728,1.8013603278017427e-06,,0.07078651149785456,0.07796402647727081,224,additive_source_family
train,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,range_breakout,0.28870659137468,3047,0.07733391518301906,1.2328255700396796e-06,,0.14863820887283177,0.15394828280953954,364,additive_source_family
train,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,pullback_drawdown,0.3201253446338972,2863,0.11038501186765343,1.885440711024723e-06,,0.1865842461070264,0.19490127486062492,376,additive_source_family
train,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,volume_money,0.3911680639914227,3664,0.1047916424998874,1.3887597240797727e-06,,0.22157576547768656,0.22818984394449365,455,additive_source_family
validation,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,range_breakout,0.29908792229268005,1797,-0.06533884325981047,-1.784970448294235e-06,,0.07481730032712397,0.06455269745056492,103,additive_source_family
validation,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,volume_money,0.38387828347378694,2074,-0.11478501932038634,-2.696699619884561e-06,,0.09522962034661675,0.07824107443860062,112,additive_source_family
validation,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,pullback_drawdown,0.317033794233533,1660,-0.09386558870575207,-2.722161960029931e-06,,0.08351145740778441,0.06945651224953403,104,additive_source_family
robustness,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,multi_family_collapsed,0.2151655298726757,1019,0.0678000095229804,1.6633549108947378e-06,,,,127,non_additive_diagnostic_subset
train,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,multi_family_collapsed,0.2469618654561266,1892,0.06421298726380034,7.735199757125345e-07,,,,244,non_additive_diagnostic_subset
validation,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,multi_family_collapsed,0.21800628712038908,1002,-0.04736912619780814,-1.0964314098050632e-06,,,,56,non_additive_diagnostic_subset
robustness,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,range_breakout,0.3333333333333333,1707,0.09001707575866635,2.7627006647229033e-06,,0.06339249424424163,0.072277417238523,183,additive_source_family
robustness,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,pullback_drawdown,0.3333333333333333,1739,0.07619115536884175,2.25097953701376e-06,,0.06563429404377685,0.07278087922098596,183,additive_source_family
robustness,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,volume_money,0.3333333333333333,2200,0.06863583390505956,1.664181410301374e-06,,0.06163467810390478,0.06799432111613192,224,additive_source_family
train,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,range_breakout,0.33333333333333326,3047,0.06155081154413889,9.81217802677213e-07,,0.18490055125514984,0.1865597761447196,364,additive_source_family
