pool_id,replay_universe,policy_id,policy_family_id,hold_rule_id,exit_rule_family_id,split,event_count,replay_complete_count,censored_count,censored_share,net_return_mean,net_return_median,net_return_p10,net_return_p25,net_return_p75,net_return_p90,loss_le_minus5_rate,loss_le_minus10_rate,max_drawdown_p50,max_drawdown_p90,max_gain50_count,max_gain50_rate,hold120_no_exit_max_gain50_count,policy_retained_hold120_max_gain50_count,policy_max_gain50_retention_rate_vs_hold120_no_exit,max_gain120d_p90,avg_holding_days,matched_baseline_replay_complete_count,matched_comparator_effective_sample_size,matched_baseline_net_return_mean,matched_baseline_net_return_p10,matched_baseline_loss_le_minus5_rate,matched_comparator_status,net_return_mean_delta_vs_matched_baseline_A,p10_delta_vs_matched_baseline_A,loss_le_minus5_delta_vs_matched_baseline_A
r02_precision_pullback_drawdown,source_pool,hold_20d__break_even_after_gain__activation_gain_pct_0p08,break_even_after_gain,hold_20d,break_even_after_gain,train,2863,2748,115,0.04016765630457562,0.006863544975797456,-0.0073375356383069785,-0.12873876701623405,-0.06255193332703803,0.06550925312648714,0.15856870055689093,0.2878457059679767,0.15065502183406113,-0.04531331583627851,0.001124944312023288,19,0.006914119359534207,376,18,0.047872340425531915,0.5981193439457296,20.30494905385735,6585.0,2995.961516468007,0.00138922915753733,-0.15547423357751244,0.34099843725774265,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__break_even_after_gain__activation_gain_pct_0p1,break_even_after_gain,hold_20d,break_even_after_gain,train,2863,2748,115,0.04016765630457562,0.007192980522369358,-0.007182587558341956,-0.13048074554137473,-0.06436298970318516,0.06770525015179224,0.16257181260968498,0.29366812227074235,0.15429403202328967,-0.04696246881574756,0.001124944312023288,20,0.00727802037845706,376,19,0.05053191489361702,0.5981193439457296,20.620451237263463,6585.0,2995.961516468007,0.0016993508061754073,-0.1575828189402284,0.3508268945652199,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__break_even_after_gain__activation_gain_pct_0p15,break_even_after_gain,hold_20d,break_even_after_gain,train,2863,2748,115,0.04016765630457562,0.007188878415374807,-0.006358075758163782,-0.13240183980126582,-0.06613394941589146,0.06994798434582511,0.16336698911143377,0.30385735080058224,0.15975254730713245,-0.049080732304009445,0.001124944312023288,20,0.00727802037845706,376,19,0.05053191489361702,0.5981193439457296,20.885007278020378,6585.0,2995.961516468007,0.0021068664282077373,-0.16177936550904393,0.35705025610711966,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__fixed_stop__stop_loss_pct_m0p05,fixed_stop,hold_20d,fixed_stop,train,2863,2778,85,0.029689137268599373,0.003944914308176163,-0.04469947872313375,-0.08125850456736802,-0.0644121957663617,0.051975753499393415,0.1488485395306861,0.462922966162707,0.04427645788336933,-0.05012864287876195,0.0007792869306886142,19,0.006839452843772498,376,18,0.047872340425531915,0.5981193439457296,14.792656587473003,6585.0,2995.961516468007,0.003263218970299222,-0.08889402654525536,0.5081550265895003,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__fixed_stop__stop_loss_pct_m0p08,fixed_stop,hold_20d,fixed_stop,train,2863,2767,96,0.033531260915124,0.00433387898765108,-0.017724985448084436,-0.10515785818238448,-0.08622310224052987,0.06322871860283774,0.15781420841162228,0.389230213227322,0.13371882905674015,-0.05053193023999181,0.0008473104598115532,20,0.007228044813877846,376,19,0.05053191489361702,0.5981193439457296,17.510299963859776,6585.0,2995.961516468007,0.00185463120061729,-0.11312139479929106,0.45174642303385903,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__fixed_stop__stop_loss_pct_m0p1,fixed_stop,hold_20d,fixed_stop,train,2863,2763,100,0.0349283967865875,0.0042328770838831655,-0.012233461608738738,-0.12100483669669584,-0.09561641976315571,0.06627133974108668,0.159227103643644,0.35323923271806007,0.23525153818313427,-0.05043860130693123,0.0008809326435550144,20,0.007238508867173362,376,19,0.05053191489361702,0.5981193439457296,18.626492942453854,6585.0,2995.961516468007,0.0017304580222020588,-0.12943584573205946,0.40979597002377294,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_20d__no_exit__none,no_exit,hold_20d,no_exit,train,2863,2748,115,0.04016765630457562,0.006847185140210079,-0.0062892538754896294,-0.1345099849022009,-0.06756884481838288,0.07009022002814402,0.1638453895314654,0.3064046579330422,0.16266375545851527,-0.04998455914476996,0.001124944312023288,20,0.00727802037845706,376,19,0.05053191489361702,0.5981193439457296,21.0,6585.0,2995.961516468007,0.0017972433194680336,-0.16203167414625252,0.359651718140278,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_40d__break_even_after_gain__activation_gain_pct_0p08,break_even_after_gain,hold_40d,break_even_after_gain,train,2863,2666,197,0.06880894166957736,0.010011445296944371,-0.014087478513729223,-0.15427108726418615,-0.07801023168643034,0.07179687288416314,0.21059419839315519,0.3402100525131283,0.1935483870967742,-0.06056187153581338,-0.0029256313250702326,81,0.030382595648912228,376,79,0.21010638297872342,0.5981193439457296,37.23818454613654,6538.0,2966.1596575245453,0.011501860198922267,-0.1799089054747829,0.3625114349093763,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_40d__break_even_after_gain__activation_gain_pct_0p1,break_even_after_gain,hold_40d,break_even_after_gain,train,2863,2666,197,0.06880894166957736,0.011266971089662268,-0.014982301817082943,-0.15825688394236886,-0.08153027591440526,0.07753157613506717,0.21424761848698903,0.354463615903976,0.20180045011252815,-0.06616766059330742,-0.003592477345906786,84,0.03150787696924231,376,82,0.21808510638297873,0.5981193439457296,38.57951987996999,6538.0,2966.1596575245453,0.013028749553808923,-0.1851427943332099,0.3783464385055062,sufficient,,,
r02_precision_pullback_drawdown,source_pool,hold_40d__break_even_after_gain__activation_gain_pct_0p15,break_even_after_gain,hold_40d,break_even_after_gain,train,2863,2661,202,0.07055536150890675,0.011138801388951469,-0.016831375810736803,-0.16507786257015233,-0.08768561025758337,0.08527419003125059,0.21907195861551165,0.3784291619691845,0.21721157459601653,-0.073698484493945,-0.004642543046395109,86,0.03231867718902668,376,84,0.22340425531914893,0.5981193439457296,40.14317925591883,6538.0,2966.1596575245453,0.015191643547865378,-0.18784780076872276,0.40096848919644335,sufficient,,,
