split,gate0_status,readiness_status,readiness_failure_reason,gate0_stop_category,portfolio_id,policy_id,validation_portfolio_gate_status,failed_gate_list,period_compounded_return,monthly_return_p10,portfolio_monthly_p10_delta_vs_baseline_A,max_drawdown,portfolio_max_drawdown_delta_vs_baseline_A,active_count_p95,policy_max_gain50_retention_rate_vs_hold120_no_exit
validation,gate0_stop_low_quality_union,stop,pseudo_diversification_concentrated|absolute_validation_net_too_weak,input_or_comparator_failure,,,,,,,,,,,
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.25896879485771174,-0.059642718934805466,0.0029591881000652492,0.22183379772983414,-0.024004167818138633,282.84999999999997,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p08,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.2676860066017681,-0.057705283969788156,0.00489662306508256,0.23916779082192585,-0.006670174726046918,282.84999999999997,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p1,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.26392490091866183,-0.06032095649773678,0.002632332975680454,0.227038267129685,-0.02227252360984222,285.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p1,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.27172252475950154,-0.0587484412663441,0.0042048482070731336,0.24336150151845992,-0.0059492892210673,285.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p15,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.25568488687043733,-0.06026456049996721,0.0017339949712203012,0.22032906357065696,-0.023017208471628026,286.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__break_even_after_gain__activation_gain_pct_0p15,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.26081691428967,-0.058882841855320535,0.0031157136158669746,0.23483556894935576,-0.008510703092929228,286.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p05,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;max_drawdown_delta;monthly_p10_delta;right_tail_retention;active_count_p95,-0.3171934285208059,-0.07790028764521885,-0.02275286957890227,0.295118413436945,0.03666894700089185,251.5499999999999,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p05,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;max_drawdown_delta;monthly_p10_delta;right_tail_retention;active_count_p95,-0.31087366740023503,-0.07784119760398012,-0.022693779537663536,0.29902891108903473,0.04057944465298158,251.5499999999999,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p08,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.29932431874538834,-0.06546872410421005,0.0026023398773967615,0.2695737482663977,-0.0322509795257534,270.0,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p08,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;monthly_p10_delta;right_tail_retention;active_count_p95,-0.30693601961235417,-0.07320035929008213,-0.005129295308475321,0.28296633915467895,-0.018858388637472134,270.0,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p1,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.28941053421092977,-0.060967975889957414,0.0064468058522355945,0.2564054967528876,-0.03969208770923571,276.5499999999999,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__fixed_stop__stop_loss_pct_m0p1,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.29317751394526503,-0.06437090601264187,0.003043875729551143,0.266728295299294,-0.029369289162829326,276.5499999999999,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_20d__no_exit__none,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.2563744982319819,-0.06007406404365587,0.0024000880166380745,0.22084569714123337,-0.024752548177508715,286.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,family_balanced_active_equal_weight_uncapped,hold_20d__no_exit__none,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.26118600644558343,-0.05865416141350105,0.0038199906467928924,0.23521763422512365,-0.01038061109361843,286.69999999999993,0.05511811023622047
validation,gate0_stop_low_quality_union,,,input_or_comparator_failure,active_equal_weight_uncapped,hold_40d__break_even_after_gain__activation_gain_pct_0p08,validation_portfolio_failed,gate0_status;period_compounded_return;daily_return_mean;monthly_return_p10;right_tail_retention;active_count_p95,-0.29709897885806047,-0.06461479483662116,0.008102610167294674,0.2735712388149337,-0.008042243442703656,443.0,0.2204724409448819
