upstream_id,validation_status,validation_final_decision,final_decision_csv,required_status_pass,required_final_decision_pass,block_reason
r04c,passed,r04c_no_candidate_pool_passed_validation,r04c_no_candidate_pool_passed_validation,True,True,
r04d,passed,r04d_no_policy_passed_validation,r04d_no_policy_passed_validation,True,True,
r04b,passed,r04b_policy_not_robust_hold_exit_diagnostic_complete,,True,True,
