split,pool_id,entry_execution_date,daily_candidate_count,unique_instrument_count,volume_money_count,range_breakout_count,pullback_drawdown_count
train,r02_precision_pullback_drawdown,2017-11-23,12,12,0,0,12
train,r02_precision_pullback_drawdown,2018-01-25,1,1,0,0,1
train,r02_precision_pullback_drawdown,2018-07-24,18,18,0,0,18
train,r02_precision_pullback_drawdown,2018-10-23,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-12-05,10,10,0,0,10
train,r02_precision_pullback_drawdown,2019-02-26,27,27,0,0,27
train,r02_precision_pullback_drawdown,2019-04-08,15,15,0,0,15
train,r02_precision_pullback_drawdown,2019-06-13,11,11,0,0,11
train,r02_precision_pullback_drawdown,2019-10-14,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-04-30,6,6,0,0,6
train,r02_precision_pullback_drawdown,2020-07-03,11,11,0,0,11
train,r02_precision_pullback_drawdown,2020-11-30,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-02-03,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-04-21,1,1,0,0,1
validation,r02_precision_pullback_drawdown,2023-07-31,30,30,0,0,30
robustness,r02_precision_pullback_drawdown,2024-05-07,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2024-07-15,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2024-08-20,19,19,0,0,19
robustness,r02_precision_pullback_drawdown,2024-09-25,40,40,0,0,40
robustness,r02_precision_pullback_drawdown,2024-12-25,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-03-19,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2025-06-23,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-08-07,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2025-10-16,11,11,0,0,11
robustness,r02_precision_pullback_drawdown,2025-12-31,9,9,0,0,9
train,r02_precision_pullback_drawdown,2017-10-13,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-01-17,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-05-03,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-09-25,14,14,0,0,14
train,r02_precision_pullback_drawdown,2019-02-14,12,12,0,0,12
train,r02_precision_pullback_drawdown,2019-08-19,5,5,0,0,5
train,r02_precision_pullback_drawdown,2019-11-05,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-03-09,7,7,0,0,7
train,r02_precision_pullback_drawdown,2020-04-24,3,3,0,0,3
train,r02_precision_pullback_drawdown,2020-08-13,5,5,0,0,5
train,r02_precision_pullback_drawdown,2020-11-11,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-01-05,11,11,0,0,11
train,r02_precision_pullback_drawdown,2021-03-17,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-06-04,1,1,0,0,1
train,r02_precision_pullback_drawdown,2021-10-11,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2022-03-22,12,12,0,0,12
validation,r02_precision_pullback_drawdown,2022-08-02,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-09-13,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-01-17,12,12,0,0,12
validation,r02_precision_pullback_drawdown,2023-04-06,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2023-08-01,17,17,0,0,17
validation,r02_precision_pullback_drawdown,2023-10-31,20,20,0,0,20
robustness,r02_precision_pullback_drawdown,2024-01-17,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2024-07-12,9,9,0,0,9
robustness,r02_precision_pullback_drawdown,2024-09-26,61,61,0,0,61
robustness,r02_precision_pullback_drawdown,2024-11-08,13,13,0,0,13
robustness,r02_precision_pullback_drawdown,2025-04-11,11,11,0,0,11
