source_pool_id_a,source_pool_id_b,split,event_count_a,event_count_b,intersection_event_count,union_event_count,jaccard,overlap_share_vs_a,overlap_share_vs_b,same_instrument_overlap_count,same_instrument_overlap_share_vs_a,same_entry_date_overlap_count,same_entry_date_overlap_share_vs_a,overlap_status
r02_precision_volume_money,r02_precision_range_breakout,train,3664,3047,1247,5464,0.22822108345534406,0.3403384279475983,0.409255004922875,368,1.0,669,0.8404522613065326,low_overlap
r02_precision_volume_money,r02_precision_pullback_drawdown,train,3664,2863,512,6015,0.08512053200332502,0.13973799126637554,0.17883339154732797,366,0.9945652173913043,656,0.8241206030150754,low_overlap
r02_precision_range_breakout,r02_precision_pullback_drawdown,train,3047,2863,763,5147,0.14824169419079075,0.25041023957991465,0.2665036674816626,392,0.9924050632911392,662,0.8803191489361702,low_overlap
r02_precision_volume_money,r02_precision_range_breakout,validation,2074,1797,665,3206,0.2074235807860262,0.3206364513018322,0.37006121313299944,297,0.99,349,0.8703241895261845,low_overlap
r02_precision_volume_money,r02_precision_pullback_drawdown,validation,2074,1660,273,3461,0.07887893672349032,0.13162970106075217,0.1644578313253012,296,0.9866666666666667,340,0.8478802992518704,low_overlap
r02_precision_range_breakout,r02_precision_pullback_drawdown,validation,1797,1660,348,3109,0.11193309745899004,0.19365609348914858,0.20963855421686747,298,0.9933333333333333,339,0.87146529562982,low_overlap
r02_precision_volume_money,r02_precision_range_breakout,robustness,2200,1707,662,3245,0.20400616332819724,0.3009090909090909,0.3878148799062683,323,0.9969135802469136,359,0.8507109004739336,low_overlap
r02_precision_volume_money,r02_precision_pullback_drawdown,robustness,2200,1739,311,3628,0.08572216097023153,0.14136363636363636,0.17883841288096608,322,0.9938271604938271,363,0.8601895734597157,low_overlap
r02_precision_range_breakout,r02_precision_pullback_drawdown,robustness,1707,1739,350,3096,0.11304909560723514,0.2050380785002929,0.20126509488211616,330,0.9969788519637462,355,0.9125964010282777,low_overlap
