artifact_id,path,required_flag,exists_flag,hash,expected_hash,status,note
upstream_10a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/manifests/10A_density_rule_system_manifest.json,True,True,7286e02ebb313bbb6ec33d0902a5754efeee012521acd00d179674e70a8a3b59,,pass,
upstream_10a_population_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/publishable/tables/10A_density_rule_system/post_dedup_population_contract.csv,True,True,985968e647adb12dbd64e5c3a518260a6ca07ccff15e6e827a5c8c1f835c1d50,985968e647adb12dbd64e5c3a518260a6ca07ccff15e6e827a5c8c1f835c1d50,pass,
upstream_10a_sample_count_by_split,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/publishable/tables/10A_density_rule_system/post_dedup_sample_count_by_split.csv,True,True,8044096b0f91c46ebbf03c52ec12a2e49bc4879d9de0c6ffb41909051f9a94a4,8044096b0f91c46ebbf03c52ec12a2e49bc4879d9de0c6ffb41909051f9a94a4,pass,
upstream_10a_fast_fail_power_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/publishable/tables/10A_density_rule_system/post_dedup_fast_fail_power_audit.csv,True,True,19a73b8f69dce4a25b631ea67131d4d6b2cb1a8b7e6bb95fa1085468d4319896,19a73b8f69dce4a25b631ea67131d4d6b2cb1a8b7e6bb95fa1085468d4319896,pass,
upstream_10a_power_audit_config,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/publishable/tables/10A_density_rule_system/power_audit_config.csv,True,True,a81e7117969ebec29436ed4e21a32198558961be78bebaef5fabeb269dead141,a81e7117969ebec29436ed4e21a32198558961be78bebaef5fabeb269dead141,pass,
upstream_10a_event_bindings,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/10_riskon_layered_rejector_system_v0/outputs/local_cache/10A_density_rule_system/post_dedup_event_bindings.parquet,True,True,8d5d8993b17a32cb29b68de2e8906cc50dcb698fedbab42c597d76581f9d6b4f,8d5d8993b17a32cb29b68de2e8906cc50dcb698fedbab42c597d76581f9d6b4f,pass,
upstream_09b_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/feature_contract.csv,True,True,89cf7d02bd9a4ed082001288654e5ec00d0afd0a80f391583002c9f73dcb80d5,89cf7d02bd9a4ed082001288654e5ec00d0afd0a80f391583002c9f73dcb80d5,pass,
upstream_09b_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09B_feature_foundation/feature_matrix.parquet,True,True,e5240be7a8b12c5a8b213c360accc5fc60b749b25b78ecd6e525220b9f8eb6d9,e5240be7a8b12c5a8b213c360accc5fc60b749b25b78ecd6e525220b9f8eb6d9,pass,
upstream_09b_sample_weights,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09B_feature_foundation/sample_uniqueness_weights.parquet,True,True,7998fdfa1adaf8634e10d254feec59589d58355972e08274660b4a069e50d464,7998fdfa1adaf8634e10d254feec59589d58355972e08274660b4a069e50d464,pass,
upstream_08_event_labels,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,True,True,a6fbb17753e2f6c7bf54bfeccc2aff03419a9891bd87bb4f75e1667a1f0bd5b8,,pass,
upstream_09c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/manifests/09C_riskon_cost_rejector_uplift_manifest.json,False,True,c46ada25ff71cee2c7e74b8f4655c3c656907f7437535b2ef71be4d088135aaa,,pass,
upstream_09c_event_scores,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09C_riskon_cost_rejector/event_scores.csv.gz,False,True,8db6d567a9130a522f7c1a6f790ff32cfdc9f043a4290c65dc3c72c8d5c20b3b,,pass,
