score_source,model_id_09c,threshold_id_09c,split,joined_post_dedup_admitted_n,diagnostic_rejected_n,diagnostic_rejected_fast_fail_positive_n,diagnostic_capture_rate,overlap_with_10b_selected_rejected_n,diagnostic_status,note
09C_hybrid_prededup_event_scores,regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,keep_7000,robustness,4970,1155,68,0.19883040935672514,105,pass,diagnostic_only_pre_dedup_hybrid_score
09C_hybrid_prededup_event_scores,regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,keep_7000,train,8318,2392,203,0.28917378917378916,194,pass,diagnostic_only_pre_dedup_hybrid_score
09C_hybrid_prededup_event_scores,regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,keep_7000,validation,2514,316,31,0.13135593220338984,31,pass,diagnostic_only_pre_dedup_hybrid_score
