model_id,ablation_id,split,capacity_id,post_dedup_winner_n,candidate_rejected_winner_n,rule_baseline_rejected_winner_n,random_baseline_rejected_winner_n,winner_retention,wrong_kill_rate,winner_injury_status
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9000,1491,148,98,158,0.9007377598926894,0.09926224010731052,fail
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9000,161,10,10,19,0.937888198757764,0.062111801242236024,fail
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9000,995,68,86,109,0.9316582914572864,0.06834170854271357,fail
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9250,1491,111,71,114,0.9255533199195171,0.0744466800804829,fail
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9250,161,8,8,13,0.9503105590062112,0.049689440993788817,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9250,995,51,70,89,0.9487437185929648,0.05125628140703518,pass
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9300,1491,103,65,101,0.9309188464118041,0.06908115358819585,fail
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9300,161,6,7,12,0.9627329192546584,0.037267080745341616,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9300,995,47,67,68,0.9527638190954774,0.04723618090452261,pass
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9400,1491,89,55,87,0.9403085177733065,0.059691482226693494,pass
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9400,161,6,6,7,0.9627329192546584,0.037267080745341616,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9400,995,42,63,62,0.9577889447236181,0.04221105527638191,pass
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9500,1491,71,45,76,0.9523809523809523,0.047619047619047616,pass
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9500,161,5,5,5,0.968944099378882,0.031055900621118012,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9500,995,32,51,53,0.9678391959798995,0.032160804020100506,pass
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9600,1491,61,37,57,0.9590878604963112,0.0409121395036888,pass
