population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,threshold_id,capacity_id,post_dedup_sample_n,post_dedup_fast_fail_positive_n,post_dedup_fast_fail_winner_n,post_dedup_winner_n,random_rejected_fast_fail_positive_n,random_rejected_fast_fail_winner_n,random_rejected_fast_fail_non_winner_n,rule_baseline_rejected_fast_fail_positive_n,rule_baseline_rejected_fast_fail_winner_n,rule_baseline_rejected_fast_fail_non_winner_n,rule_baseline_status,capture_lift_power_status,winner_injury_power_status,fast_fail_ml_supported_gate_allowed,tenb_supported_row_allowed,tenb_supported_row_block_reason
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9000,keep_9000,4970,342,39,995,35,3,32,79,8,71,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9250,keep_9250,4970,342,39,995,39,4,35,65,8,57,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9300,keep_9300,4970,342,39,995,23,4,19,59,7,52,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9400,keep_9400,4970,342,39,995,17,1,16,50,6,44,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9500,keep_9500,4970,342,39,995,20,4,16,41,5,36,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9600,keep_9600,4970,342,39,995,13,1,12,29,4,25,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9700,keep_9700,4970,342,39,995,10,0,10,23,4,19,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9000,keep_9000,8318,702,70,1491,61,8,53,92,10,82,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9250,keep_9250,8318,702,70,1491,44,4,40,73,7,66,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9300,keep_9300,8318,702,70,1491,53,6,47,68,6,62,pass,pass,pass,True,True,pass
