model_id,ablation_id,split,capacity_id,dropped_feature_n,retained_feature_n,candidate_capture_rate,capacity_matched_capture_lift_over_rule_baseline,capacity_matched_capture_lift_over_random,winner_retention,wrong_kill_rate,accepted_MAE_10_improves,ablation_status,conclusion_effect
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9000,0,48,0.3660968660968661,0.23504273504273504,0.25925925925925924,0.9007377598926894,0.09926224010731052,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9000,0,48,0.3220338983050847,0.16101694915254236,0.19067796610169488,0.937888198757764,0.062111801242236024,False,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9000,0,48,0.30116959064327486,0.07017543859649125,0.1929824561403509,0.9316582914572864,0.06834170854271357,False,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9250,0,48,0.29914529914529914,0.19515669515669515,0.20655270655270655,0.9255533199195171,0.0744466800804829,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9250,0,48,0.2754237288135593,0.15254237288135591,0.1864406779661017,0.9503105590062112,0.049689440993788817,False,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9250,0,48,0.25146198830409355,0.06140350877192982,0.19005847953216373,0.9487437185929648,0.05125628140703518,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9300,0,48,0.2849002849002849,0.18803418803418803,0.2136752136752137,0.9309188464118041,0.06908115358819585,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9300,0,48,0.2754237288135593,0.15677966101694912,0.19915254237288132,0.9627329192546584,0.037267080745341616,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9300,0,48,0.2309941520467836,0.05847953216374269,0.14619883040935672,0.9527638190954774,0.04723618090452261,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9400,0,48,0.26495726495726496,0.18233618233618235,0.198005698005698,0.9403085177733065,0.059691482226693494,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9400,0,48,0.2627118644067797,0.1610169491525424,0.23305084745762714,0.9627329192546584,0.037267080745341616,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9400,0,48,0.19883040935672514,0.05263157894736842,0.15497076023391812,0.9577889447236181,0.04221105527638191,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9500,0,48,0.22934472934472935,0.1623931623931624,0.17806267806267806,0.9523809523809523,0.047619047619047616,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9500,0,48,0.2330508474576271,0.1483050847457627,0.13559322033898302,0.968944099378882,0.031055900621118012,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9500,0,48,0.17251461988304093,0.05263157894736842,0.1286549707602339,0.9678391959798995,0.032160804020100506,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9600,0,48,0.19230769230769232,0.1381766381766382,0.15384615384615385,0.9590878604963112,0.0409121395036888,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9600,0,48,0.1906779661016949,0.11864406779661016,0.15677966101694915,0.968944099378882,0.031055900621118012,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9600,0,48,0.14619883040935672,0.06140350877192982,0.11695906432748537,0.9718592964824121,0.02814070351758794,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9700,0,48,0.17094017094017094,0.1396011396011396,0.14245014245014245,0.9664654594232059,0.0335345405767941,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9700,0,48,0.16101694915254236,0.1059322033898305,0.13559322033898302,0.9751552795031055,0.024844720496894408,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9700,0,48,0.11403508771929824,0.04678362573099415,0.09649122807017543,0.9768844221105528,0.023115577889447236,True,reference,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9000,21,27,0.28062678062678065,0.1495726495726496,0.1737891737891738,0.9020791415157612,0.09792085848423876,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9000,21,27,0.3220338983050847,0.16101694915254236,0.19067796610169488,0.937888198757764,0.062111801242236024,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9000,21,27,0.260233918128655,0.02923976608187137,0.152046783625731,0.9125628140703518,0.08743718592964825,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9250,21,27,0.23219373219373218,0.1282051282051282,0.1396011396011396,0.9242119382964453,0.07578806170355466,True,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9250,21,27,0.2584745762711864,0.13559322033898302,0.1694915254237288,0.9503105590062112,0.049689440993788817,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9250,21,27,0.2222222222222222,0.03216374269005848,0.1608187134502924,0.9346733668341709,0.06532663316582915,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9300,21,27,0.21794871794871795,0.12108262108262109,0.14672364672364674,0.9282360831656606,0.07176391683433937,True,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9300,21,27,0.2457627118644068,0.1271186440677966,0.1694915254237288,0.9503105590062112,0.049689440993788817,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9300,21,27,0.19883040935672514,0.02631578947368421,0.11403508771929824,0.9376884422110553,0.062311557788944726,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9400,21,27,0.18945868945868946,0.10683760683760685,0.1225071225071225,0.9403085177733065,0.059691482226693494,True,pass,selected_capacity_readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9400,21,27,0.211864406779661,0.11016949152542371,0.18220338983050846,0.9565217391304348,0.043478260869565216,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9400,21,27,0.1783625730994152,0.03216374269005848,0.13450292397660818,0.9457286432160804,0.054271356783919596,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9500,21,27,0.15954415954415954,0.09259259259259259,0.10826210826210826,0.9490274983232729,0.05097250167672703,True,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9500,21,27,0.1906779661016949,0.1059322033898305,0.09322033898305083,0.9565217391304348,0.043478260869565216,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9500,21,27,0.15497076023391812,0.03508771929824561,0.1111111111111111,0.9527638190954774,0.04723618090452261,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9600,21,27,0.1267806267806268,0.07264957264957267,0.08831908831908833,0.9584171696847753,0.04158283031522468,True,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9600,21,27,0.1652542372881356,0.09322033898305085,0.13135593220338984,0.9751552795031055,0.024844720496894408,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9600,21,27,0.11403508771929824,0.029239766081871343,0.0847953216374269,0.9597989949748744,0.04020100502512563,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9700,21,27,0.10398860398860399,0.07264957264957264,0.0754985754985755,0.9698189134808853,0.030181086519114688,True,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9700,21,27,0.1228813559322034,0.06779661016949154,0.09745762711864407,0.9751552795031055,0.024844720496894408,False,pass,readout
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9700,21,27,0.0935672514619883,0.02631578947368421,0.07602339181286549,0.9678391959798995,0.032160804020100506,False,pass,readout
