model_id,ablation_id,split,capacity_id,threshold_id,reject_fraction,reject_n,accepted_n,post_dedup_sample_n,post_dedup_fast_fail_positive_n,post_dedup_fast_fail_winner_n,post_dedup_winner_n,candidate_rejected_fast_fail_positive_n,rule_baseline_rejected_fast_fail_positive_n,random_baseline_rejected_fast_fail_positive_n,candidate_capture_rate,rule_baseline_capture_rate,random_baseline_capture_rate,capacity_matched_capture_lift_over_rule_baseline,capacity_matched_capture_lift_over_random,winner_retention,wrong_kill_rate,candidate_accepted_mean_MAE_10,rule_baseline_accepted_mean_MAE_10,random_baseline_accepted_mean_MAE_10,accepted_MAE_10_improves,rolling_10d_executable_event_day_density,rolling_20d_executable_event_day_density,utility_weight_profile_id,random_lift_weight,winner_injury_excess_weight,mae_worse_excess_weight,density_excess_weight,oos_threshold_instability_weight,fast_fail_benefit,winner_injury_excess,mae_worse_excess,density_excess,train_constrained_utility,oos_threshold_instability,supported_constrained_utility,tenb_supported_row_allowed,tenb_supported_row_block_reason,status,selected_operating_point_flag,supported_pass_flag
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9000,keep_9000,0.1,832,7486,8318,702,70,1491,257,92,75,0.3660968660968661,0.13105413105413105,0.10683760683760683,0.23504273504273504,0.25925925925925924,0.9007377598926894,0.09926224010731052,0.07404971961231598,0.07665588646252233,0.07457816895178812,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.36467236467236464,0.039262240107310525,0.0,0.0,-0.02795003640074062,0.0,-0.02795003640074062,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9000,keep_9000,0.1,252,2262,2514,236,5,161,76,38,31,0.3220338983050847,0.16101694915254236,0.13135593220338984,0.16101694915254236,0.19067796610169488,0.937888198757764,0.062111801242236024,0.06182377661316658,0.062380893928380574,0.060918377654616426,False,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.2563559322033898,0.0021118012422360263,0.0009053989585501507,0.0,0.23433252082247938,0.0,-0.02795003640074062,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9000,keep_9000,0.1,497,4473,4970,342,39,995,103,79,37,0.30116959064327486,0.2309941520467836,0.10818713450292397,0.07017543859649125,0.1929824561403509,0.9316582914572864,0.06834170854271357,0.06587220940865054,0.06646499216368147,0.0652940516691149,False,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.16666666666666669,0.008341708542713572,0.0005781577395356507,0.0,0.08267142349999532,0.0,-0.02795003640074062,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9250,keep_9250,0.075,624,7694,8318,702,70,1491,210,73,65,0.29914529914529914,0.10398860398860399,0.09259259259259259,0.19515669515669515,0.20655270655270655,0.9255533199195171,0.0744466800804829,0.07411850881668694,0.07583037555989858,0.07513185228148782,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.2984330484330484,0.014446680080482902,0.0,0.0,0.1539662476282194,0.0,0.1539662476282194,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9250,keep_9250,0.075,189,2325,2514,236,5,161,65,29,21,0.2754237288135593,0.1228813559322034,0.08898305084745763,0.15254237288135591,0.1864406779661017,0.9503105590062112,0.049689440993788817,0.061641172221231125,0.0619108931917515,0.0615407632723343,False,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.24576271186440676,0.0,0.00010040894889682545,0.0,0.24566230291550994,0.0,0.1539662476282194,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9250,keep_9250,0.075,373,4597,4970,342,39,995,86,65,21,0.25146198830409355,0.19005847953216373,0.06140350877192982,0.06140350877192982,0.19005847953216373,0.9487437185929648,0.05125628140703518,0.06560762309407557,0.06607989003918982,0.06592334119252831,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.1564327485380117,0.0,0.0,0.0,0.1564327485380117,0.0,0.1539662476282194,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9300,keep_9300,0.07,583,7735,8318,702,70,1491,200,68,50,0.2849002849002849,0.09686609686609686,0.07122507122507123,0.18803418803418803,0.2136752136752137,0.9309188464118041,0.06908115358819585,0.07404508690109746,0.07570284863550845,0.07479522766981929,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.2948717948717949,0.009081153588195848,0.0,0.0,0.2040602589898364,0.0,0.2040602589898364,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9300,keep_9300,0.07,176,2338,2514,236,5,161,65,28,18,0.2754237288135593,0.11864406779661017,0.07627118644067797,0.15677966101694912,0.19915254237288132,0.9627329192546584,0.037267080745341616,0.061563529748474975,0.06183546076445285,0.061667136714693,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.2563559322033898,0.0,0.0,0.0,0.2563559322033898,0.0,0.2040602589898364,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9300,keep_9300,0.07,348,4622,4970,342,39,995,79,59,29,0.2309941520467836,0.17251461988304093,0.0847953216374269,0.05847953216374269,0.14619883040935672,0.9527638190954774,0.04723618090452261,0.06556699094827129,0.06604087944500252,0.06587797566798594,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.13157894736842105,0.0,0.0,0.0,0.13157894736842105,0.0,0.2040602589898364,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9400,keep_9400,0.06,500,7818,8318,702,70,1491,186,58,47,0.26495726495726496,0.08262108262108261,0.06695156695156695,0.18233618233618235,0.198005698005698,0.9403085177733065,0.059691482226693494,0.07397774917924378,0.07552600077346217,0.07496814144775746,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.2813390313390314,0.0,0.0,0.0,0.2813390313390314,0.0,0.2813390313390314,True,pass,candidate_readout,True,True
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9400,keep_9400,0.06,151,2363,2514,236,5,161,62,24,7,0.2627118644067797,0.1016949152542373,0.029661016949152543,0.1610169491525424,0.23305084745762714,0.9627329192546584,0.037267080745341616,0.06134338053272012,0.06172622909317666,0.06199410412396807,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.27754237288135597,0.0,0.0,0.0,0.27754237288135597,0.0,0.2813390313390314,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9400,keep_9400,0.06,299,4671,4970,342,39,995,68,50,15,0.19883040935672514,0.14619883040935672,0.043859649122807015,0.05263157894736842,0.15497076023391812,0.9577889447236181,0.04221105527638191,0.06540905858904095,0.06590920213546238,0.0655635855209218,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.13011695906432746,0.0,0.0,0.0,0.13011695906432746,0.0,0.2813390313390314,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9500,keep_9500,0.05,416,7902,8318,702,70,1491,161,47,36,0.22934472934472935,0.06695156695156695,0.05128205128205128,0.1623931623931624,0.17806267806267806,0.9523809523809523,0.047619047619047616,0.07404221349379637,0.0753345287071665,0.07497678198223151,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.25142450142450146,0.0,0.0,0.0,0.25142450142450146,0.0,0.25142450142450146,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9500,keep_9500,0.05,126,2388,2514,236,5,161,55,20,23,0.2330508474576271,0.0847457627118644,0.09745762711864407,0.1483050847457627,0.13559322033898302,0.968944099378882,0.031055900621118012,0.06123941589703616,0.061612719849566504,0.06189987692010062,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.21610169491525422,0.0,0.0,0.0,0.21610169491525422,0.0,0.25142450142450146,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9500,keep_9500,0.05,249,4721,4970,342,39,995,59,41,15,0.17251461988304093,0.11988304093567251,0.043859649122807015,0.05263157894736842,0.1286549707602339,0.9678391959798995,0.032160804020100506,0.06540892998864134,0.06568076472977412,0.06557118299014082,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.11695906432748537,0.0,0.0,0.0,0.11695906432748537,0.0,0.25142450142450146,True,pass,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9600,keep_9600,0.04,333,7985,8318,702,70,1491,135,38,27,0.19230769230769232,0.05413105413105413,0.038461538461538464,0.1381766381766382,0.15384615384615385,0.9590878604963112,0.0409121395036888,0.07412202903874389,0.07523011037422238,0.07505446163667438,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.21509971509971512,0.0,0.0,0.0,0.21509971509971512,0.0,0.21509971509971512,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9600,keep_9600,0.04,101,2413,2514,236,5,161,45,17,8,0.1906779661016949,0.07203389830508475,0.03389830508474576,0.11864406779661016,0.15677966101694915,0.968944099378882,0.031055900621118012,0.06121205757119612,0.061665490995803304,0.061820665215285446,True,0.1,0.1,10B_default_v1,0.5,10.0,1.0,100.0,10.0,0.19703389830508472,0.0,0.0,0.0,0.19703389830508472,0.0,0.21509971509971512,False,capture_lift_power_status;winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n,candidate_readout,False,False
