model_id,ablation_id,split,capacity_id,baseline_id,post_dedup_sample_n,reject_n,candidate_rejected_fast_fail_positive_n,baseline_rejected_fast_fail_positive_n,candidate_capture_rate,baseline_capture_rate,capture_lift
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9700,rule_baseline,2514,76,38,13,0.16101694915254236,0.05508474576271186,0.1059322033898305
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9700,random_baseline,2514,76,38,6,0.16101694915254236,0.025423728813559324,0.13559322033898302
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9700,rule_baseline,4970,150,39,23,0.11403508771929824,0.06725146198830409,0.04678362573099415
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9700,random_baseline,4970,150,39,6,0.11403508771929824,0.017543859649122806,0.09649122807017543
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9000,rule_baseline,8318,832,197,92,0.28062678062678065,0.13105413105413105,0.1495726495726496
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9000,random_baseline,8318,832,197,75,0.28062678062678065,0.10683760683760683,0.1737891737891738
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9000,rule_baseline,2514,252,76,38,0.3220338983050847,0.16101694915254236,0.16101694915254236
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9000,random_baseline,2514,252,76,31,0.3220338983050847,0.13135593220338984,0.19067796610169488
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9000,rule_baseline,4970,497,89,79,0.260233918128655,0.2309941520467836,0.02923976608187137
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9000,random_baseline,4970,497,89,37,0.260233918128655,0.10818713450292397,0.152046783625731
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9250,rule_baseline,8318,624,163,73,0.23219373219373218,0.10398860398860399,0.1282051282051282
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9250,random_baseline,8318,624,163,65,0.23219373219373218,0.09259259259259259,0.1396011396011396
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9250,rule_baseline,2514,189,61,29,0.2584745762711864,0.1228813559322034,0.13559322033898302
