variant,seed,feature,gain,split_count
core_plus_reversal,20260723,STD5,19.898430109024048,6
core_plus_reversal,20260723,RSQR20,0.0,0
core_plus_reversal,20260723,CORD60,34.74242877960205,7
core_plus_reversal,20260723,CORD10,6.706140041351318,2
core_plus_reversal,20260723,CORR20,19.114619374275208,2
core_plus_reversal,20260723,KLOW,8.612350106239319,3
core_plus_reversal,20260723,close_momentum_20d,20.600182242691517,8
core_plus_reversal,20260723,volume_surprise_20d,43.62431001663208,8
core_plus_reversal,20260723,reversal_5d,15.440629839897156,5
core_plus_reversal,20260724,RESI5,72.42800522595644,18
core_plus_reversal,20260724,WVMA5,16.853590667247772,7
core_plus_reversal,20260724,RSQR5,17.688392907381058,9
core_plus_reversal,20260724,KLEN,66.94377303123474,16
core_plus_reversal,20260724,RSQR10,21.395512849092484,11
core_plus_reversal,20260724,CORR5,40.59651254117489,13
core_plus_reversal,20260724,CORD5,12.49637097120285,6
core_plus_reversal,20260724,CORR10,41.2082399725914,15
core_plus_reversal,20260724,ROC60,34.37947188317776,12
core_plus_reversal,20260724,RESI10,56.97739368677139,19
core_plus_reversal,20260724,VSTD5,5.132809199392796,4
core_plus_reversal,20260724,RSQR60,12.751559734344482,6
core_plus_reversal,20260724,CORR60,30.60112953186035,11
core_plus_reversal,20260724,WVMA60,37.56630951166153,12
core_plus_reversal,20260724,STD5,50.503594651818275,11
core_plus_reversal,20260724,RSQR20,20.940210461616516,7
core_plus_reversal,20260724,CORD60,56.12995004653931,15
core_plus_reversal,20260724,CORD10,13.28376019001007,4
core_plus_reversal,20260724,CORR20,36.64863061904907,8
core_plus_reversal,20260724,KLOW,17.33559739589691,6
core_plus_reversal,20260724,close_momentum_20d,52.223742455244064,18
core_plus_reversal,20260724,volume_surprise_20d,69.31795451045036,17
core_plus_reversal,20260724,reversal_5d,44.441528260707855,15
core_plus_reversal,20260725,RESI5,67.40824665874243,17
core_plus_reversal,20260725,WVMA5,21.136430025100708,10
core_plus_reversal,20260725,RSQR5,19.974496006965637,9
core_plus_reversal,20260725,KLEN,55.368455067276955,13
core_plus_reversal,20260725,RSQR10,23.43714964389801,6
core_plus_reversal,20260725,CORR5,34.74441969394684,9
core_plus_reversal,20260725,CORD5,20.242423437535763,15
core_plus_reversal,20260725,CORR10,26.828162144869566,12
core_plus_reversal,20260725,ROC60,37.06964221596718,13
core_plus_reversal,20260725,RESI10,59.2482932806015,17
core_plus_reversal,20260725,VSTD5,14.368224263191223,8
core_plus_reversal,20260725,RSQR60,25.53555279970169,12
core_plus_reversal,20260725,CORR60,13.243570029735565,7
core_plus_reversal,20260725,WVMA60,34.11296397447586,10
core_plus_reversal,20260725,STD5,40.35738471057266,16
core_plus_reversal,20260725,RSQR20,4.724499940872192,3
core_plus_reversal,20260725,CORD60,45.263825833797455,10
core_plus_reversal,20260725,CORD10,25.109857320785522,9
core_plus_reversal,20260725,CORR20,35.307468354701996,6
core_plus_reversal,20260725,KLOW,11.643860394135118,2
core_plus_reversal,20260725,close_momentum_20d,65.05110071599483,27
core_plus_reversal,20260725,volume_surprise_20d,85.45396819710732,21
core_plus_reversal,20260725,reversal_5d,23.538093507289886,6
core_plus_reversal,20260726,RESI5,72.57937780022621,19
core_plus_reversal,20260726,WVMA5,45.997176110744476,19
core_plus_reversal,20260726,RSQR5,49.67100644111633,21
core_plus_reversal,20260726,KLEN,99.38728409446776,26
core_plus_reversal,20260726,RSQR10,31.707280814647675,15
core_plus_reversal,20260726,CORR5,41.26000094413757,14
core_plus_reversal,20260726,CORD5,27.2040431573987,14
core_plus_reversal,20260726,CORR10,38.13203056156635,14
core_plus_reversal,20260726,ROC60,64.0107227563858,18
core_plus_reversal,20260726,RESI10,69.22375696897507,22
core_plus_reversal,20260726,VSTD5,3.543201506137848,3
core_plus_reversal,20260726,RSQR60,17.24002446094528,9
core_plus_reversal,20260726,CORR60,48.62624207511544,20
core_plus_reversal,20260726,WVMA60,38.50776734948158,11
core_plus_reversal,20260726,STD5,58.31932830810547,19
core_plus_reversal,20260726,RSQR20,32.39395695924759,14
core_plus_reversal,20260726,CORD60,52.64248138666153,18
core_plus_reversal,20260726,CORD10,34.10780430585146,15
core_plus_reversal,20260726,CORR20,37.36163632571697,11
core_plus_reversal,20260726,KLOW,38.433390498161316,11
core_plus_reversal,20260726,close_momentum_20d,76.40955065190792,28
core_plus_reversal,20260726,volume_surprise_20d,108.43928721547127,30
core_plus_reversal,20260726,reversal_5d,60.323149440810084,16
core_plus_reversal,20260727,RESI5,40.30601966381073,9
core_plus_reversal,20260727,WVMA5,30.371649146080017,12
core_plus_reversal,20260727,RSQR5,14.02078828215599,7
core_plus_reversal,20260727,KLEN,59.759500260192,15
core_plus_reversal,20260727,RSQR10,4.46847403049469,3
core_plus_reversal,20260727,CORR5,22.784235656261444,7
core_plus_reversal,20260727,CORD5,29.06466417014599,14
core_plus_reversal,20260727,CORR10,20.061375930905342,8
core_plus_reversal,20260727,ROC60,26.536744445562363,10
core_plus_reversal,20260727,RESI10,44.26828193664551,15
core_plus_reversal,20260727,VSTD5,1.056190013885498,1
core_plus_reversal,20260727,RSQR60,13.143575012683868,6
core_plus_reversal,20260727,CORR60,25.16490724682808,9
core_plus_reversal,20260727,WVMA60,17.586700599640608,6
core_plus_reversal,20260727,STD5,48.89295042306185,14
core_plus_reversal,20260727,RSQR20,10.483839988708496,3
core_plus_reversal,20260727,CORD60,51.809134006500244,15
core_plus_reversal,20260727,CORD10,17.39393311738968,8
core_plus_reversal,20260727,CORR20,35.78319954872131,5
core_plus_reversal,20260727,KLOW,10.854999542236328,1
core_plus_reversal,20260727,close_momentum_20d,45.77337718009949,17
core_plus_reversal,20260727,volume_surprise_20d,83.74686014652252,16
core_plus_reversal,20260727,reversal_5d,39.93395633868931,14
core_plus_volatility,20260723,RESI5,89.72246447205544,21
core_plus_volatility,20260723,WVMA5,38.05570721626282,16
core_plus_volatility,20260723,RSQR5,23.807944979518652,14
core_plus_volatility,20260723,KLEN,65.75684712827206,19
core_plus_volatility,20260723,RSQR10,24.816341936588287,12
core_plus_volatility,20260723,CORR5,63.68654480576515,19
core_plus_volatility,20260723,CORD5,24.80005818605423,11
core_plus_volatility,20260723,CORR10,52.07510358840227,24
core_plus_volatility,20260723,ROC60,46.44683100283146,18
core_plus_volatility,20260723,RESI10,89.97094133496284,25
core_plus_volatility,20260723,VSTD5,19.30511761829257,7
core_plus_volatility,20260723,RSQR60,45.689304918050766,21
core_plus_volatility,20260723,CORR60,34.16771026700735,16
core_plus_volatility,20260723,WVMA60,52.8690632795915,17
core_plus_volatility,20260723,STD5,56.87126285582781,20
core_plus_volatility,20260723,RSQR20,35.73310403525829,16
core_plus_volatility,20260723,CORD60,60.341287076473236,19
core_plus_volatility,20260723,CORD10,31.140976779162884,17
core_plus_volatility,20260723,CORR20,53.606729388237,18
core_plus_volatility,20260723,KLOW,26.53339720889926,9
core_plus_volatility,20260723,close_momentum_20d,65.39421412348747,23
core_plus_volatility,20260723,volume_surprise_20d,80.83081012964249,25
core_plus_volatility,20260723,volatility_20d,87.006583572831,29
core_plus_volatility,20260724,RESI5,59.381466527469456,16
core_plus_volatility,20260724,WVMA5,31.566412806510925,16
core_plus_volatility,20260724,RSQR5,24.233307033777237,13
core_plus_volatility,20260724,KLEN,46.89276772737503,13
core_plus_volatility,20260724,RSQR10,15.194020926952362,7
core_plus_volatility,20260724,CORR5,34.28288960456848,9
core_plus_volatility,20260724,CORD5,18.654849469661713,9
core_plus_volatility,20260724,CORR10,31.689138129353523,13
core_plus_volatility,20260724,ROC60,45.12731742858887,14
core_plus_volatility,20260724,RESI10,47.67041063308716,13
core_plus_volatility,20260724,VSTD5,10.080637216567993,5
core_plus_volatility,20260724,RSQR60,15.988365322351456,7
core_plus_volatility,20260724,CORR60,22.051939606666565,8
core_plus_volatility,20260724,WVMA60,27.05471980571747,8
core_plus_volatility,20260724,STD5,45.10321024060249,11
core_plus_volatility,20260724,RSQR20,11.858729839324951,3
core_plus_volatility,20260724,CORD60,51.043118208646774,14
core_plus_volatility,20260724,CORD10,13.69549110531807,6
core_plus_volatility,20260724,CORR20,50.607598174363375,10
core_plus_volatility,20260724,KLOW,18.374639796093106,9
core_plus_volatility,20260724,close_momentum_20d,43.71805080771446,24
core_plus_volatility,20260724,volume_surprise_20d,54.99189078807831,12
core_plus_volatility,20260724,volatility_20d,49.091441214084625,15
core_plus_volatility,20260725,RESI5,81.65793236717582,18
core_plus_volatility,20260725,WVMA5,23.942415177822113,14
core_plus_volatility,20260725,RSQR5,14.767565846443176,7
core_plus_volatility,20260725,KLEN,65.247956097126,15
core_plus_volatility,20260725,RSQR10,14.441877901554108,6
core_plus_volatility,20260725,CORR5,27.453969955444336,8
core_plus_volatility,20260725,CORD5,33.13756027072668,18
core_plus_volatility,20260725,CORR10,27.72200333699584,11
core_plus_volatility,20260725,ROC60,40.29737204313278,16
