contrast,current_variant,reference_variant,metric,positive_seed_count,seed_count,median_paired_delta,min_paired_delta,max_paired_delta
reversal_given_core,core_plus_reversal,core,validation_paper_proxy_ic,5,5,0.0011567960352010867,2.8468431323087733e-05,0.005448320398718461
reversal_given_core,core_plus_reversal,core,validation_executable_bridge_ic,4,5,0.002883891889037359,-0.0019015013450192977,0.010230341475627045
reversal_given_core,core_plus_reversal,core,historical_test_paper_proxy_ic,4,5,0.0015895006253027893,-1.7235119795700263e-05,0.005281072503158488
reversal_given_core,core_plus_reversal,core,historical_test_executable_bridge_ic,4,5,0.0006364345354333018,-0.0019814712920311756,0.008312385359082465
reversal_given_core,core_plus_reversal,core,historical_test_paper_proxy_net_arr,3,5,0.011944244971297646,-0.05805404397048508,0.06091546131007419
reversal_given_core,core_plus_reversal,core,historical_test_executable_bridge_net_arr,2,5,-0.011936906351731169,-0.051344813745235474,0.0862448817063366
reversal_given_core,core_plus_reversal,core,historical_test_paper_proxy_mdd,1,5,-0.010392031139073943,-0.056900771153637786,0.018522169669952793
reversal_given_core,core_plus_reversal,core,historical_test_executable_bridge_mdd,1,5,-0.010191782007599737,-0.05457928223349806,0.009662177540037287
volatility_given_core,core_plus_volatility,core,validation_paper_proxy_ic,4,5,0.001065850969720665,-0.000532026700726931,0.0073292210846073475
volatility_given_core,core_plus_volatility,core,validation_executable_bridge_ic,4,5,0.0020795003734097144,-1.7818649212171175e-05,0.008941742615156529
volatility_given_core,core_plus_volatility,core,historical_test_paper_proxy_ic,4,5,0.0020737703360770125,-0.0009461665877825483,0.0056334854141519616
volatility_given_core,core_plus_volatility,core,historical_test_executable_bridge_ic,5,5,0.002335422367643487,0.0010071085608793946,0.006914804721539047
volatility_given_core,core_plus_volatility,core,historical_test_paper_proxy_net_arr,4,5,0.03791402104154917,-0.02503280440739486,0.115172911439134
volatility_given_core,core_plus_volatility,core,historical_test_executable_bridge_net_arr,4,5,0.017181163666226684,-0.0377484482765289,0.13244681010021675
volatility_given_core,core_plus_volatility,core,historical_test_paper_proxy_mdd,2,5,-0.0009924159235452645,-0.08299035553256906,0.028972350292532645
volatility_given_core,core_plus_volatility,core,historical_test_executable_bridge_mdd,1,5,-0.023145734901586112,-0.041041343111101525,0.011381112038072794
intraday_range_given_core,core_plus_intraday_range,core,validation_paper_proxy_ic,3,5,0.0034570627915160596,-0.00184691651475361,0.008617603209250773
intraday_range_given_core,core_plus_intraday_range,core,validation_executable_bridge_ic,5,5,0.0029367495292060754,0.0011655520499261485,0.011725041560085525
