factor,given_core_validation_paper_proxy_ic_median_delta,given_core_validation_paper_proxy_ic_positive_seed_count,given_core_historical_test_paper_proxy_ic_median_delta,given_core_historical_test_paper_proxy_ic_positive_seed_count,given_core_historical_test_paper_proxy_net_arr_median_delta,given_core_historical_test_paper_proxy_net_arr_positive_seed_count,given_core_validation_executable_bridge_ic_median_delta,given_core_validation_executable_bridge_ic_positive_seed_count,given_core_historical_test_executable_bridge_ic_median_delta,given_core_historical_test_executable_bridge_ic_positive_seed_count,given_core_historical_test_executable_bridge_net_arr_median_delta,given_core_historical_test_executable_bridge_net_arr_positive_seed_count,leave_one_out_paper_proxy_median_delta_arr,leave_one_out_paper_proxy_positive_seed_count,leave_one_out_executable_bridge_median_delta_arr,leave_one_out_executable_bridge_positive_seed_count,single_addition_decision,library_action
reversal_5d,0.0011567960352010867,5,0.0015895006253027893,4,0.011944244971297646,3,0.002883891889037359,4,0.0006364345354333018,4,-0.011936906351731169,2,-0.0315381414359901,1,-0.05559410570357981,1,reject,reject
volatility_20d,0.001065850969720665,4,0.0020737703360770125,4,0.03791402104154917,4,0.0020795003734097144,4,0.002335422367643487,5,0.017181163666226684,4,-0.023619976016463706,2,-0.03436865977490511,1,individually_supported,retain_primary
intraday_range_1d,0.0034570627915160596,3,0.0024784649574203996,4,0.04238989573676033,4,0.0029367495292060754,5,0.001958219824742622,3,0.03285272940336492,4,-0.0011209276593333595,2,-0.0499065107825869,1,individually_supported,supported_alternative_not_combined
