variant,metric,median,baseline_median,delta
core_plus_reversal,validation_paper_proxy_ic,0.012973489946498646,0.010963636903393146,0.0020098530431055008
core_plus_reversal,validation_executable_bridge_ic,0.011512881903979045,0.009374463519479959,0.0021384183844990867
core_plus_reversal,historical_test_paper_proxy_ic,0.01133953674054611,0.009224889293839127,0.002114647446706983
core_plus_reversal,historical_test_executable_bridge_ic,0.013529220313699334,0.012859696269520085,0.0006695240441792483
core_plus_reversal,historical_test_paper_proxy_net_arr,0.19839201975544585,0.20020182540040832,-0.00180980564496247
core_plus_reversal,historical_test_executable_bridge_net_arr,0.24338170399655223,0.22485602492099144,0.018525679075560797
core_plus_reversal,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.11817953687958686,-0.11637963814291477,-0.0017998987366720925
core_plus_reversal,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,0.1139789098076297,-0.028935539518833958,0.14291444932646366
core_plus_reversal,historical_test_paper_proxy_mdd,-0.196353305263109,-0.16753977303769996,-0.028813532225409055
core_plus_reversal,historical_test_executable_bridge_mdd,-0.2190336216179819,-0.19285022559560072,-0.026183396022381178
core_plus_volatility,validation_paper_proxy_ic,0.013834514762594997,0.010963636903393146,0.002870877859201851
core_plus_volatility,validation_executable_bridge_ic,0.011919758662642003,0.009374463519479959,0.0025452951431620442
core_plus_volatility,historical_test_paper_proxy_ic,0.01129865962991614,0.009224889293839127,0.0020737703360770125
core_plus_volatility,historical_test_executable_bridge_ic,0.0149061751135719,0.012859696269520085,0.0020464788440518154
core_plus_volatility,historical_test_paper_proxy_net_arr,0.20852551603966973,0.20020182540040832,0.008323690639261416
core_plus_volatility,historical_test_executable_bridge_net_arr,0.23624094621361902,0.22485602492099144,0.011384921292627581
core_plus_volatility,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.014959904698330393,-0.11637963814291477,0.10141973344458438
core_plus_volatility,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,0.0733216440488322,-0.028935539518833958,0.10225718356766615
core_plus_volatility,historical_test_paper_proxy_mdd,-0.16853218896124522,-0.16753977303769996,-0.0009924159235452645
core_plus_volatility,historical_test_executable_bridge_mdd,-0.21973337981236285,-0.19285022559560072,-0.02688315421676213
core_plus_intraday_range,validation_paper_proxy_ic,0.012679180166011954,0.010963636903393146,0.0017155432626188086
core_plus_intraday_range,validation_executable_bridge_ic,0.014429424274314819,0.009374463519479959,0.00505496075483486
core_plus_intraday_range,historical_test_paper_proxy_ic,0.011013157174687,0.009224889293839127,0.0017882678808478734
core_plus_intraday_range,historical_test_executable_bridge_ic,0.014604044024894727,0.012859696269520085,0.0017443477553746416
core_plus_intraday_range,historical_test_paper_proxy_net_arr,0.1972445889631269,0.20020182540040832,-0.0029572364372814075
core_plus_intraday_range,historical_test_executable_bridge_net_arr,0.24318295738504592,0.22485602492099144,0.01832693246405448
core_plus_intraday_range,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.14763450723873583,-0.11637963814291477,-0.031254869095821064
core_plus_intraday_range,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,0.11865879545910472,-0.028935539518833958,0.14759433497793867
core_plus_intraday_range,historical_test_paper_proxy_mdd,-0.1746694538710719,-0.16753977303769996,-0.007129680833371954
core_plus_intraday_range,historical_test_executable_bridge_mdd,-0.19273790818365677,-0.19285022559560072,0.00011231741194395184
core_plus_reversal_volatility,validation_paper_proxy_ic,0.012122552165827954,0.010963636903393146,0.0011589152624348082
core_plus_reversal_volatility,validation_executable_bridge_ic,0.012152136440897642,0.009374463519479959,0.0027776729214176836
core_plus_reversal_volatility,historical_test_paper_proxy_ic,0.011882715876169648,0.009224889293839127,0.002657826582330521
core_plus_reversal_volatility,historical_test_executable_bridge_ic,0.013909845400306492,0.012859696269520085,0.0010501491307864062
core_plus_reversal_volatility,historical_test_paper_proxy_net_arr,0.15901565570673815,0.20020182540040832,-0.04118616969367017
core_plus_reversal_volatility,historical_test_executable_bridge_net_arr,0.18694105873133426,0.22485602492099144,-0.03791496618965717
