label_id,selection_scope,selection_reason,frozen_for_ep2_2,horizon,upside,drawdown,same_day_policy,candidate_positive_rate,episode_any_positive_rate,episode_first_valid_positive_rate,episode_weighted_positive_rate,top1_instrument_year_positive_share,same_day_ambiguity_rate
confirm_h10_u08_d04_conservative_fail,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.04,conservative_fail,0.2628427355814686,0.5186500888099467,0.3007696862048549,0.2670963632775355,0.0077937649880095,0.0010242672549637
confirm_h10_u08_d04_drop_ambiguous,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.04,drop_ambiguous,0.2631122328259326,0.5195729537366548,0.3013048635824436,0.2678340556899276,0.0077937649880095,0.0010242672549637
confirm_h10_u08_d04_target_first_optimistic,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.04,target_first_optimistic,0.2638670028364324,0.522202486678508,0.3031379514505624,0.2700489415853536,0.0077635114959689,0.0010242672549637
confirm_h10_u08_d06_conservative_fail,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.06,conservative_fail,0.3001103057043807,0.5346358792184724,0.3439905269390171,0.3057127991408631,0.0076135468626936,0.0001575795776867
confirm_h10_u08_d06_drop_ambiguous,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.06,drop_ambiguous,0.3001576044129235,0.534952606635071,0.3441943127962085,0.3059080137871606,0.0076135468626936,0.0001575795776867
confirm_h10_u08_d06_target_first_optimistic,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.08,0.06,target_first_optimistic,0.3002678852820674,0.5352279455298994,0.344582593250444,0.3063894463539223,0.0076095512988716,0.0001575795776867
confirm_h10_u10_d06_conservative_fail,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.1,0.06,conservative_fail,0.224156949259376,0.4316163410301953,0.2670219064535228,0.2431878840848645,0.0091388400702987,0.0
confirm_h10_u10_d06_drop_ambiguous,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.1,0.06,drop_ambiguous,0.224156949259376,0.4316163410301953,0.2670219064535228,0.2431878840848645,0.0091388400702987,0.0
confirm_h10_u10_d06_target_first_optimistic,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.1,0.06,target_first_optimistic,0.224156949259376,0.4316163410301953,0.2670219064535228,0.2431878840848645,0.0091388400702987,0.0
confirm_h10_u10_d08_conservative_fail,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.1,0.08,conservative_fail,0.2325874566656161,0.4458259325044404,0.2818235642391948,0.2599563041392526,0.0094850948509485,0.0
confirm_h10_u10_d08_drop_ambiguous,2017_2023_core_research_years,passes_pre_registered_gates,True,10,0.1,0.08,drop_ambiguous,0.2325874566656161,0.4458259325044404,0.2818235642391948,0.2599563041392526,0.0094850948509485,0.0
