artifact_name,artifact_path,required_for_requirement,exists,recorded_content_hash,current_content_hash
ep2_engineering_baseline_manifest.json,ep2/engineering_baseline/outputs/manifests/ep2_engineering_baseline_manifest.json,True,True,f10d04cbd28addad275f07c771a41eb4c7aa835dfc0cc25bc3361d13563e8996,f10d04cbd28addad275f07c771a41eb4c7aa835dfc0cc25bc3361d13563e8996
ep2_launch_observation_pool.parquet,ep2/engineering_baseline/outputs/cache/ep2_launch_observation_pool.parquet,True,True,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed
ep2_launch_episode_dictionary.csv,ep2/engineering_baseline/outputs/reports/ep2_launch_episode_dictionary.csv,True,True,acc6dbc8e4a1b9e0ad89d2017b7f2db2efdbc09beb212fdf9d3e4500da1beaab,acc6dbc8e4a1b9e0ad89d2017b7f2db2efdbc09beb212fdf9d3e4500da1beaab
ep2_pool_freeze_manifest.json,ep2/engineering_baseline/outputs/manifests/ep2_pool_freeze_manifest.json,True,True,1d11502b82a77a7a1d763c33781e2fe672305f93dd84f82f22c87eb1215ef30e,1d11502b82a77a7a1d763c33781e2fe672305f93dd84f82f22c87eb1215ef30e
ep2_launch_detector_dictionary.csv,ep2/engineering_baseline/outputs/reports/ep2_launch_detector_dictionary.csv,True,True,659f5cb8bc8f90418da7e5b8588035621b02848a0a7d3606c7ee0d80bf4f9c45,659f5cb8bc8f90418da7e5b8588035621b02848a0a7d3606c7ee0d80bf4f9c45
ep2_pool_frequency_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_pool_frequency_audit.csv,True,True,b972763b544089354a7b542a474479d20d0015027de852fbfabf88335fa4f7b3,b972763b544089354a7b542a474479d20d0015027de852fbfabf88335fa4f7b3
ep2_pit_input_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_pit_input_audit.csv,True,True,23f1037474d24943e0bf0c89e4082afb3fa0b76456cf8fe7ac80c6c556393a8a,23f1037474d24943e0bf0c89e4082afb3fa0b76456cf8fe7ac80c6c556393a8a
ep2_feature_asof_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_feature_asof_audit.csv,True,True,991b3988aff2bc314e1023ff753804837fa0befdffb30c9ad8251b6551938841,991b3988aff2bc314e1023ff753804837fa0befdffb30c9ad8251b6551938841
ep2_execution_block_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_execution_block_audit.csv,True,True,1f11e959c8fa81d48d38699f3184e1103c33a220ee359c0e78501cc7e2c2e474,1f11e959c8fa81d48d38699f3184e1103c33a220ee359c0e78501cc7e2c2e474
ep2_candidate_probe_grid.parquet,ep2/engineering_baseline/outputs/cache/ep2_candidate_probe_grid.parquet,True,True,1263f834328611ad71906d05d52543d9f851aa2ba23834cda918c9e82954f259,1263f834328611ad71906d05d52543d9f851aa2ba23834cda918c9e82954f259
